指标,口径一致度,相对离散度,综合权重
rps_doc_word_count,0.8381387900417244,0.4241646426174005,0.10545226248248175
rps_doc_num_sentences,0.5688124353775259,0.5021553368470154,0.07386882632153437
rps_doc_unigram_entropy,0.9684066552796371,0.2788304869642833,0.11453748297454773
rps_doc_frac_unique_words,0.8562653528212105,0.4113750863452835,0.1071645117620129
rps_doc_frac_no_alph_words,0.5515252770795612,2.0,0.1144994133048535
rps_doc_frac_chars_top_2gram,0.7554487174263302,0.31637658750277553,0.09082219704344853
rps_doc_frac_chars_top_3gram,0.673809459233798,0.6115960063778715,0.09133157518210769
rps_lines_uppercase_letter_fraction,0.557109960607427,1.3655680046582863,0.09731440737241231
rps_lines_numerical_chars_fraction,0.6774976060486648,0.8900369003905648,0.10162229566553421
rps_doc_mean_word_length,0.9442615901604153,0.10957940919955651,0.10338702789106696
