配方域,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
arxiv,6213.835864485981,656.213785046729,6.1019329179387904,34.37879773921636,6.720702853473547,2.4627531049003184,1.7502329759286372,3.994827523553998,3.2049961975343675,6.389757045119924
dm_mathematics,1760.1810613943808,343.00052029136316,4.613077072574834,31.748848532819824,40.43342883610881,3.6957647941061365,2.486220332402079,3.304825333671191,24.726295447590235,4.024640595501763
enron_emails,228.2009900990099,41.76435643564356,4.127560619053128,74.25502169868369,7.229721099460256,4.570742082704384,3.570285052820502,9.389354853158604,4.6625888972318865,5.585754700364936
europarl,7623.1910828025475,397.0127388535032,5.879288425093852,49.22388402314595,1.8509371200534233,2.619213161450039,1.013388419846335,2.6346939120909636,0.4917043452521976,6.019148529918584
freelaw,2420.9643333333333,299.59,5.291479712697808,48.11707341700428,8.95136643110804,2.810188157788626,1.9548898359572133,9.528292080767594,5.510507396170437,5.241580995920626
github,533.189,199.36066666666667,4.10052722072777,59.52441829900233,22.572261204438924,4.147573677154671,3.022775389519641,9.589517447288502,3.9893453953155342,9.132442307513388
gutenberg_pg_19,65783.70886075949,8882.088607594937,6.7058307322284385,18.957205050537823,1.932943256069727,3.2756953877635935,2.2042385725013856,3.6551461863921997,0.6711740110730633,4.637343138999319
hackernews,843.3442796610169,141.97139830508473,4.749720519464127,67.20338842757262,5.15129710465625,2.5347198893103267,1.4915668659683403,3.4394222553249283,1.860276290567072,6.128065052672661
nih_exporter,304.06422505307853,13.298301486199575,4.62920371205574,58.37663539421323,1.2339596650071234,2.625143928658251,1.464420451593503,3.4932210525248597,0.6631744230909182,5.895671978082989
philpapers,12226.238095238095,803.7777777777778,6.249878953275838,29.939120949039534,4.426655900084234,2.6723021460742142,1.562183902943922,3.556675903898206,2.0707984519842504,5.357140030403934
pile_cc,723.2116666666667,55.87466666666667,4.845734618368687,60.03997925822173,2.2715325207134596,2.722961640186133,1.6127855923137926,4.600266174098642,1.224628890992965,5.5032187375930395
pubmed_abstracts,194.252,11.653,4.383911484663928,61.40556399527799,2.930025672178399,2.702358273794617,1.4515263628071353,3.162885307895608,1.5732702277304564,5.934477991278208
pubmed_central,4119.406580493537,405.94163728946336,5.751611246503424,40.41276637484277,8.480394004138573,2.9173290501018005,2.3037371585935937,4.280766549459878,6.5418578553259605,6.958313781381484
stackexchange,293.39866666666666,63.58133333333333,4.645497885021101,60.13523841192197,7.980389531436341,2.780432394970598,1.7176237041629308,5.575666676319542,2.0355781187703985,5.923283115498552
ubuntu_irc,34980.4375,4663.0,5.774382952042017,40.34525014186906,4.771099843666439,2.1114748710313234,1.1441529662474594,2.747609919573743,4.3339692738099025,5.839604013837107
uspto_backgrounds,641.578,35.01433333333333,4.69968723420249,46.49188421348246,1.5132152165363277,2.773352149776046,1.7988463017433094,1.9138391426166192,1.0749072534882342,5.381720119873885
wikipedia_en,465.01366666666667,42.81066666666667,4.430788790586337,61.42232559299585,5.055319188107261,2.8995309105205482,1.7543583993935876,7.295330898499325,3.083698460970158,5.682235819398921
