损失域,训练R²,自身logp系数,loss均值(1M),Lc_sd(1M),Lc_sd(70B),test_1m_R²,test_60m_R²,test_1B_R²,est_10b_R²,est_70b_R²
arxiv,0.9211883681049102,-0.24383382072922874,5.04406272014603,0.9398274548637278,0.24348945335972505,0.8170964406686796,0.8101743474672471,0.28027970950718606,0.9422416510748683,0.9381184527705556
freelaw,0.900248516025333,-0.1866817729756276,5.28257419122383,0.7754266030538529,0.20991776176620397,0.8098773407897228,0.8032656902027117,0.32895386590016407,0.8775213626059042,0.8696557820650058
pubmed_central,0.9184463199666801,-0.15102186111723587,5.1759300655685365,0.791398613464285,0.1923118091841819,0.8779523003554718,0.8621616425962529,0.08634989423651163,0.8713887798900487,0.8613037283156838
wikipedia_en,0.8640905346656294,-0.14104209885410005,5.810897937975824,0.5209061568714808,0.1372465620968996,0.8005816916949784,0.7672703911849696,0.4949280026822951,0.8345676097655808,0.8280898842034355
dm_mathematics,0.9753831475733727,-0.895605264378349,3.8935756706632674,1.3702111270008268,0.3736593917985578,0.9487351516059527,0.9019553409618747,0.7971035549812142,0.9456087087153369,0.9402042258978041
github,0.899241732123972,-0.11179539131202687,5.27951684454456,0.9577947051389192,0.20726948650750426,0.81261742551647,0.7898688211656537,0.16301443537546878,0.851925201644824,0.8478642764464399
stackexchange,0.8876186357067927,-0.10402813094627283,5.245853285305202,0.6630516230330028,0.14565661913014855,0.8048632839138068,0.795709954110493,0.32786121429807646,0.8179169710713845,0.8125899508067335
gutenberg_pg_19,0.8461277087092405,-0.13482246532585004,5.445764048025012,0.443158234138029,0.12966556390643794,0.7728747141693444,0.7526508175692836,0.3593845599722011,0.7543644508335282,0.7484719450609156
pile_cc,0.8962286057785187,-0.10142804057272647,5.727793703787029,0.354731650771579,0.11448073560193747,0.8036370451897952,0.7148650156723491,-0.04733437358689141,0.8766349493677594,0.8672109203790087
ubuntu_irc,0.9370189420920115,-0.4191691113883458,6.55348688736558,0.8843213571983172,0.2357892448300625,0.9084192860482452,0.8764515853423734,0.7104139633696738,0.8578189115138958,0.8400309699353592
hackernews,0.9052599589484785,-0.21019545119631428,5.403714658692479,0.34301272913498615,0.08976856174231054,0.8719609936857351,0.8140816690328501,-0.21774799898311992,0.8878000289719308,0.8824768800317646
pubmed_abstracts,0.815836742486996,-0.09925140876640895,5.439561689272523,0.5682678012977987,0.1367100113293312,0.6850806959728273,0.6763666534446087,0.3545301413861923,0.7286291058629302,0.7218618665766516
uspto_backgrounds,0.8616710596141097,-0.2162979130866777,5.177806387655437,0.5371595606708127,0.14276320653998556,0.776030622581373,0.772745509582632,0.4965503039948036,0.8749690022099728,0.8678313225332461
