域,train,test_1m,test_60m,test_1B,est_10b,est_70b
arxiv,-0.8128300860836989,-0.8168915009004583,-0.8050689643044379,-0.8030977535840165,-0.8682662814071394,-0.8720755100585567
freelaw,-0.7970722770739014,-0.8184312496348896,-0.8382189724424177,-0.94112781507722,-0.7397163889583281,-0.7410858085166134
pubmed_central,0.0013193966675353463,-0.026255722466122348,-0.03855108810526452,-0.23618773501650359,0.01842393022817772,0.0180357241931921
wikipedia_en,0.17888065142135923,0.21513905933787383,0.18078590912969084,0.324689064512336,0.20042339107977883,0.20312627011221032
dm_mathematics,-0.06345841555585043,-0.026810017054576724,0.030775877355297524,0.11307597259838408,-0.2694364112897979,-0.2701655565334689
github,0.06277399453384533,0.1475943813131334,0.10942735534038504,0.0950863097648158,-0.05990301611417603,-0.059520564309295046
stackexchange,-0.2851044149715153,-0.3233443743017109,-0.34012400511410235,-0.14773722178434295,-0.27697464379833703,-0.2713478141306935
gutenberg_pg_19,0.032683243992464826,0.01999559308251784,-0.020166412675271802,0.14491421268906512,0.1333788559578377,0.1368759967826606
pile_cc,0.3979542784162875,0.23136629585843085,0.21603948144483948,0.148950671462279,0.6420262412102931,0.6427064983235314
ubuntu_irc,-0.18652814423224554,-0.10101330735481923,-0.0927017562040255,0.17167611337867655,-0.15423645736156383,-0.15067699188467193
hackernews,0.055439319234512424,0.08149275425249444,0.07930196924376366,0.07870967511662413,0.0035115980681197888,0.0058410853703531685
pubmed_abstracts,0.07539956790029838,0.10512499417672927,0.09371040487117381,0.4293131210694534,0.08129325623004882,0.07702435868164513
uspto_backgrounds,0.20269343377440935,0.11832404821491699,0.07121294883105525,0.3975779927445747,0.2878311102435124,0.2882659274526659
