域,Lc相关(1M vs 60M),秩相关,双重中心化后相关
arxiv,0.9914551182621798,0.9932257095445179,0.9914551182621798
freelaw,0.9939968661026349,0.9913874742504003,0.9939968661026347
pubmed_central,0.9914619465065108,0.992162108033875,0.9914619465065109
wikipedia_en,0.9902269917597497,0.9878211547264818,0.9902269917597495
dm_mathematics,0.9806269840507594,0.9842312314030669,0.9806269840507598
github,0.9889452379019049,0.9926170176241702,0.9889452379019048
stackexchange,0.9934686234785315,0.9937442778667885,0.9934686234785317
gutenberg_pg_19,0.9839463404099369,0.9842333772030212,0.9839463404099372
pile_cc,0.9665291745714067,0.9508361467154953,0.9665291745714065
ubuntu_irc,0.9864735005060489,0.9812678816662851,0.9864735005060489
hackernews,0.9775432757088878,0.9739993419546806,0.9775432757088878
pubmed_abstracts,0.986513376814762,0.9873176070038909,0.9865133768147618
uspto_backgrounds,0.9898655267288372,0.9827828164339664,0.989865526728837
