N_params_B,D_tokens_B,val_loss,pred_add
0.070542,0.134,4.7388,4.738596541395461
0.070542,0.268,4.3541,4.354728149301212
0.070542,0.537,4.0384,4.037780660736108
0.070542,1.074,3.7776,3.777493726189614
0.070542,2.097,3.5698,3.56986293410579
0.070542,4.194,3.3922,3.392088334489552
0.070542,6.291,3.3024,3.3030079604929736
0.070542,8.389,3.2452,3.245639583656447
0.070542,10.486,3.2041,3.20423772562549
0.070542,12.583,3.172,3.1722768280133424
0.070542,14.68,3.1466,3.146497507254891
0.070542,16.777,3.1248,3.125047734882022
0.070542,18.874,3.1064,3.106781583058792
0.070542,20.972,3.0913,3.0909372588409534
0.070542,23.069,3.077,3.077008247180472
0.070542,25.166,3.0646,3.0646123269944896
0.070542,27.263,3.0531,3.053472617102944
0.070542,29.36,3.0432,3.043378916398524
0.070542,31.457,3.0342,3.0341681774754785
0.070542,33.554,3.0254,3.0257115841887012
0.070542,35.652,3.018,3.0179021548336955
0.070542,37.749,3.0105,3.010663146191282
0.070542,39.846,3.0039,3.0039213559214804
0.070542,41.943,2.9975,2.997619037905326
0.070542,44.04,2.9921,2.991707627815595
0.070542,46.137,2.9861,2.986145925920379
0.070542,48.234,2.9807,2.9808987040049955
0.070542,50.332,2.9761,2.975933320353338
0.070542,52.429,2.971,2.9712282004010757
0.070542,54.526,2.9668,2.96675798030992
0.070542,56.623,2.9621,2.962502552674342
0.070542,58.72,2.9582,2.9584441968127546
0.070542,60.817,2.9546,2.9545672219761108
0.070542,62.915,2.951,2.95085594306398
0.070542,65.012,2.9473,2.947301433400939
0.070542,67.109,2.9439,2.9438907176654356
0.070542,69.206,2.9406,2.940613750756457
0.070542,71.303,2.9372,2.9374614671301242
0.070542,73.4,2.9343,2.934425659746398
0.070542,75.497,2.9314,2.931498876953788
0.070542,77.595,2.9289,2.9286730106744323
0.070542,79.692,2.926,2.925944559193344
0.070542,81.789,2.923,2.9233064844653223
0.070542,83.886,2.9208,2.9207535882055033
