数据集,字段,类型,非空,缺失,缺失率,最小,中位,最大,均值,取值示例
B1,run_id,int64,1176,0,0.0,8.0,620.0,1232.0,620.0,
B1,N_params_B,float64,1176,0,0.0,0.070542,1.2285255,11.965825,3.088587875,
B1,D_tokens_B,float64,1176,0,0.0,0.134,146.801,299.893,146.89993197278912,
B1,C_FLOPs_1e21,float64,1176,0,0.0,0.0001,0.7321,21.5308,2.722279761904762,
B1,steps,int64,1176,0,0.0,64.0,70000.0,143000.0,70047.3469387755,
B1,batch_tokens_M,float64,1176,0,0.0,2.09,2.1,2.1,2.0998639455782317,
B1,lr,float64,1176,0,0.0,0.00019,0.000239,0.000318,0.00024562499999999997,
B1,wd,float64,1176,0,0.0,0.01,0.056,0.1,0.05547704081632654,
B1,precision,str,1176,0,0.0,,,,,bf16|fp16
B1,gpu_days,float64,1176,0,0.0,0.0,27.15,798.7,100.9875850340136,
B1,step_time_ms,float64,1176,0,0.0,100.4,417.70000000000005,1307.4,532.2125,
B1,train_loss,float64,1176,0,0.0,1.943,2.2634,4.4729,2.3541622448979593,
B1,val_loss,float64,1176,0,0.0,2.0933,2.37425,4.7388,2.4768346938775507,
B1,ppl,float64,1176,0,0.0,8.11,10.745000000000001,114.3,12.869634353741498,
B1,grad_norm_avg,float64,1176,0,0.0,0.392,1.0095,25.788,1.5869124149659863,
B2,run_id,str,1029,0,0.0,,,,,cerebras_0.111B|cerebras_0.256B|cerebras_0.59B|cerebras_1.3B|cerebras_2.7B
B2,N_params_B,float64,1029,0,0.0,0.111,1.3,13.0,3.522428571428572,
B2,D_tokens_B,float64,1029,0,0.0,14.0,1061.0,2050.0,1059.8639455782313,
B2,C_FLOPs_1e21,float64,1029,0,0.0,0.009548,6.27042,159.9,22.399770262390668,
B2,steps,int64,1029,0,0.0,1000.0,74000.0,147000.0,74000.0,
B2,batch_tokens_M,float64,1029,0,0.0,14.3,14.3,14.3,14.300000000000004,
B2,lr,float64,1029,0,0.0,0.0006,0.0006,0.0006,0.0006,
B2,wd,float64,1029,0,0.0,0.1,0.1,0.1,0.1,
B2,precision,str,1029,0,0.0,,,,,bf16
B2,gpu_days,float64,0,1029,1.0,,,,,
