N,D,c0,Q斜率,R2,n,类型
0.07,5,0.9210185685347747,2.446196488858878,0.9991094621375505,12.0,B8实测切片斜率
0.07,20,0.8411142133693461,2.269912221471977,0.9990624532781085,12.0,B8实测切片斜率
0.07,100,0.7983607022282248,2.1103187035786615,0.9984816656243526,12.0,B8实测切片斜率
0.07,500,0.7536055367994602,2.055051316677919,0.9993837818613781,12.0,B8实测切片斜率
0.07,1000,0.7637397704253883,1.9685881161377443,0.9987557851083955,12.0,B8实测切片斜率
0.07,2000,0.7423239365293729,1.971709655638081,0.999180304132192,12.0,B8实测切片斜率
0.16,5,0.7132896016205268,2.3970499662390266,0.9982552812722657,12.0,B8实测切片斜率
0.16,20,0.6352788993923029,2.256731262660363,0.9986286291957812,12.0,B8实测切片斜率
0.16,100,0.5973583051991904,2.0950769750168794,0.9992853358525017,12.0,B8实测切片斜率
0.16,500,0.582825590817016,1.9723835246455086,0.9990487117547608,12.0,B8实测切片斜率
0.16,1000,0.5692154287643494,1.9593869007427398,0.997232909602007,12.0,B8实测切片斜率
0.16,2000,0.5553323430114788,1.9149095205941922,0.9993124353717497,12.0,B8实测切片斜率
0.41,5,0.49190749493585434,2.4770938555030373,0.9988662273739844,12.0,B8实测切片斜率
0.41,20,0.46808622552329615,2.2232869682646843,0.9992648342085223,12.0,B8实测切片斜率
0.41,100,0.4256304523970295,2.0722822417285607,0.9982559434831461,12.0,B8实测切片斜率
0.41,500,0.4125236326806214,1.9723409858203906,0.9994149215310851,12.0,B8实测切片斜率
0.41,1000,0.39594341920374715,1.9597864168618269,0.9977098353070188,11.0,B8实测切片斜率
0.41,2000,0.4066030210772843,1.9079948477751754,0.9983816707418638,11.0,B8实测切片斜率
0.7,5,0.3995676232275498,2.469382849426062,0.9993569899112102,12.0,B8实测切片斜率
0.7,10,0.38841039812646466,2.32919156908665,0.9976283051850423,11.0,B8实测切片斜率
0.7,20,0.36160653395784537,2.26180281030445,0.9989115380937215,11.0,B8实测切片斜率
0.7,50,0.3452043091334902,2.145791100702576,0.9991811225949914,11.0,B8实测切片斜率
0.7,100,0.3451220140515229,2.0810632318501168,0.999543166076082,11.0,B8实测切片斜率
0.7,150,0.3127330210772836,2.0985948477751757,0.9977363243906457,11.0,B8实测切片斜率
0.7,300,0.31644081967213145,2.028488524590164,0.9986931257419055,11.0,B8实测切片斜率
0.7,500,0.3257477751756444,1.9749882903981264,0.9993550112194601,11.0,B8实测切片斜率
0.7,1000,0.31756339578454407,1.9644810304449647,0.9993255628310078,11.0,B8实测切片斜率
0.7,2000,0.2902662442801826,1.9376909538894755,0.9990219435944343,10.0,B8实测切片斜率
1.0,5,0.30684147540983675,2.530239344262295,0.9987943136919939,11.0,B8实测切片斜率
1.0,10,0.3036541686182674,2.388558782201405,0.9987947295294421,11.0,B8实测切片斜率
1.0,20,0.28954709601873607,2.279532084309133,0.9990181443620981,11.0,B8实测切片斜率
1.0,50,0.309906230200633,2.1373917634635693,0.9987226907509393,10.0,B8实测切片斜率
1.0,100,0.2423023231256599,2.173366420274551,0.997354199158408,10.0,B8实测切片斜率
1.0,150,0.32268264695529686,1.9722478000703976,0.9985263808157608,10.0,B8实测切片斜率
1.0,300,0.2754676874340017,2.0313579725448783,0.9921091644471071,10.0,B8实测切片斜率
1.0,500,0.25601907778951005,2.0094030271031325,0.9981246427314082,10.0,B8实测切片斜率
