目标L,Q,D/N,N_B,D_B,算力_6ND_1e21FLOPs
2.5,0.5,5,5.3679784471116285,26.839892235558143,0.8644557782596491
2.5,0.5,10,3.618612153173254,36.18612153173254,0.7856612349055903
2.5,0.5,20,2.511306528525435,50.226130570508694,0.7567992576257364
2.5,0.5,40,1.7944471949616772,71.77788779846709,0.7728097765213996
2.5,0.7,5,4.544953296139438,22.72476648069719,0.6196980139226623
2.5,0.7,10,3.0665252729825347,30.665252729825347,0.5642146349904366
2.5,0.7,20,2.1300716876267995,42.60143375253599,0.5444646473315138
2.5,0.7,40,1.523399258192166,60.93597032768664,0.5569788719665061
2.5,1.0,5,3.809964674573996,19.04982337286998,0.4354749246450521
2.5,1.0,10,2.5730446221102308,25.73044622110231,0.3972335176422228
2.5,1.0,20,1.7889921336507943,35.779842673015885,0.3840591425117306
2.5,1.0,40,1.280677268409459,51.22709073637836,0.3936322237969712
2.3,0.5,5,13.837592203309447,69.18796101654723,5.744368739552711
2.3,0.5,10,9.28115236312616,92.81152363126161,5.168387351253739
2.3,0.5,20,6.40830176882995,128.16603537659898,4.927959787246687
2.3,0.5,40,4.555773461201112,182.2309384480445,4.981217239148247
2.3,0.7,5,11.7141975393303,58.5709876966515,4.116672719713561
2.3,0.7,10,7.8639090132234974,78.63909013223497,3.710463898095465
2.3,0.7,20,5.434620134343431,108.69240268686863,3.544211520553322
2.3,0.7,40,3.867030234682112,154.6812093872845,3.5889414806269424
2.3,1.0,5,9.818233623102433,49.09116811551216,2.8919313443345738
2.3,1.0,10,6.597314850079164,65.97314850079164,2.6114737938645036
2.3,1.0,20,4.563636626212436,91.27273252424872,2.4992135107329156
2.3,1.0,40,3.2503632410802235,130.01452964320893,2.535566687751728
2.1,0.5,5,47.22232061018522,236.1116030509261,66.89842691433371
2.1,0.5,10,31.467688345570842,314.67688345570843,59.4129245888385
2.1,0.5,20,21.584365772965324,431.6873154593065,55.906181498538835
2.1,0.5,40,15.243683748004056,609.7473499201623,55.76877461019912
2.1,0.7,5,39.96810177675903,199.84050888379514,47.923474789121045
2.1,0.7,10,26.657148321407156,266.5714832140716,42.63621339777002
2.1,0.7,20,18.30109732553269,366.02194651065383,40.191619598234375
2.1,0.7,40,12.936523000406003,517.4609200162402,40.16487056160805
2.1,1.0,5,33.49216994429019,167.46084972145096,33.65176342731645
2.1,1.0,10,22.35884571641095,223.5884571641095,29.995078906216097
2.1,1.0,20,15.364742473498255,307.29484946996513,28.329037353230557
2.1,1.0,40,10.871234187347794,434.84936749391176,28.364095861478265
1.9,0.5,5,270.8582483026515,1354.2912415132573,2200.925720207424
1.9,0.5,10,178.84365212775865,1788.4365212775865,1919.103114383685
1.9,0.5,20,121.53059149858281,2430.6118299716563,1772.362160399449
1.9,0.5,40,85.02667189433203,3401.066875773281,1735.088384022334
1.9,0.7,5,229.18561548406694,1145.9280774203348,1575.7813903443177
1.9,0.7,10,151.46011814836623,1514.6011814836625,1376.4100433710237
1.9,0.7,20,103.01439599374217,2060.2879198748433,1273.435893834663
1.9,0.7,40,72.13692634697621,2885.4770538790485,1248.8966742693767
1.9,1.0,5,191.99451437880577,959.9725718940289,1105.8568065466038
1.9,1.0,10,126.99960419966479,1269.9960419966478,967.7339680122909
1.9,1.0,20,86.45955402289968,1729.1910804579936,897.030537820645
1.9,1.0,40,60.60190340318094,2424.0761361272375,881.4217670612337
