N_B,D_B,Q,L_mean,L_sd,L_lo95,L_hi95,带宽,相对带宽
100,2000,0.6,1.9093624424382976,0.015639598438663055,1.8804155159247948,1.939246589212398,0.058831073287603175,0.03081189405426589
100,2000,0.8,1.8960153573015328,0.016448288762963482,1.8652845740438713,1.9277505400187964,0.06246596597492515,0.032945917729183705
100,2000,1.0,1.8859694541813368,0.017092026492151254,1.8538770217216762,1.9190962055177754,0.06521918379609914,0.034581251383209465
400,8000,0.6,1.7966101259968559,0.02259218088340889,1.7533341106883986,1.8380260963010522,0.08469198561265356,0.04713987992562488
400,8000,0.8,1.7870159622175024,0.023401796163293808,1.7430943829917598,1.8299763292673845,0.08688194627562473,0.0486184500376892
400,8000,1.0,1.7797945457560707,0.024030448477768016,1.7352059289955526,1.8239539257988666,0.08874799680331402,0.049864180680255527
1000,20000,0.6,1.740238871519611,0.027049010136066896,1.6891059919026468,1.7903025816536562,0.10119658975100942,0.05815097651659887
1000,20000,0.8,1.7325195694201247,0.027818863891722525,1.6786229909889356,1.7839563198862052,0.10533332889726954,0.06079777149791426
1000,20000,1.0,1.726709225788628,0.02841213861257794,1.6708533535476409,1.7791957299576082,0.10834237640996736,0.06274500349674386
5000,100000,0.6,1.6667424920705323,0.03420420771341345,1.5996922634519684,1.730155730756309,0.13046346730434055,0.07827451926438296
5000,100000,0.8,1.661465627611331,0.03487204382292781,1.5932448213846173,1.7260321657497406,0.1327873443651233,0.07992181249998535
5000,100000,1.0,1.6574935757762774,0.035382997541725934,1.5883935949526642,1.7229389068907732,0.13454531193810904,0.08117395681313307
10000,200000,0.6,1.6428097322191175,0.036964078579406555,1.5706415313587594,1.7112489668362023,0.14060743547744292,0.08558960463882176
10000,200000,0.8,1.6383275645377724,0.037583332260167024,1.5651140971687831,1.7078240729702439,0.14270997580146072,0.08710710781559976
10000,200000,1.0,1.634953652932841,0.038056206913605166,1.5609455671807597,1.7049210347235328,0.14397546754277313,0.08806088618139392
