model,N_B,D_B,L_obs,L_pred,resid,rel_resid
Ling-flash-base-2.0-20T,100.0,20000.0,1.8412,1.8332703318482262,-0.007929668151773761,-0.004306793478043538
FaXin,100.0,3670.0,1.8882,1.8990361233404276,0.010836123340427495,0.005738864177749971
PLaMo-100B,100.0,2000.0,1.9112,1.9294617758948622,0.01826177589486222,0.009555135985172781
Yi-Large,100.0,3000.0,1.8954,1.908677585895412,0.013277585895411947,0.0070051629710942
Hunyuan,100.0,2000.0,1.9112,1.9294617758948622,0.01826177589486222,0.009555135985172781
Luca 2.0,100.0,2000.0,1.9112,1.9294617758948622,0.01826177589486222,0.009555135985172781
xTrimoPGLM -100B,100.0,275.0,2.0206,2.063996816049234,0.043396816049233955,0.02147719293736215
YaLM,100.0,300.0,2.0144,2.0567386840245483,0.0423386840245481,0.021018012323544527
FLM-101B,101.0,311.5,2.0116,2.0531813212515737,0.041581321251573655,0.02067077015886541
"Solar Open 100B
",102.0,19700.0,1.841,1.8328299857143333,-0.00817001428566666,-0.004437813300199164
Odyssey 102B,102.0,179.7,2.0526,2.1007101749297874,0.04811017492978742,0.02343865094503918
Yuan 2.0,102.6,289.1,2.0164,2.0586146345403633,0.04221463454036334,0.020935644981334725
InternLM,104.0,1600.0,1.9197,1.9399234907112508,0.020223490711250847,0.01053471412785896
Ring-flash-linear-2.0,104.2,1000.0,1.9417,1.9678363673135375,0.026136367313537523,0.013460558950166103
GLM-4.5-Air,106.0,2603.8,1.8993,1.9130228993302558,0.013722899330255833,0.007225240525591446
GLM-4.5V,108.0,2013.3,1.909,1.9255508250605327,0.016550825060532626,0.008669892645643072
Llama 4 Scout,109.0,30000.0,1.8308,1.8169797593624688,-0.013820240637531178,-0.007548744066818428
Telechat2-115B,115.0,10000.0,1.8543,1.8507323983801582,-0.0035676016198418203,-0.0019239613977467616
gpt-oss-120b,116.8,7047.3,1.8636,1.8635906259991242,-9.374000875750355e-06,-5.030049836740907e-06
Galactica,120.0,106.0,2.0947,2.145366456943517,0.0506664569435169,0.024187929986879696
Mistral Large 2,123.0,28861.8,1.8286,1.8126773863818757,-0.015922613618124304,-0.00870754326704818
Step-Audio-Chat 130B,130.0,1668.0,1.9126,1.9275699834865188,0.014969983486518679,0.007827033089260001
Step-1,130.0,800.0,1.948,1.9722889183413221,0.024288918341322185,0.012468643912383053
Step-Omni,130.0,2468.0,1.8965,1.906608980898834,0.010108980898833941,0.005330335301257021
BlueLM 130B,130.0,1000.0,1.9364,1.957910091250043,0.021510091250042995,0.01110828922229033
GLM-130B,130.0,152.0,2.0607,2.105630805268293,0.04493080526829285,0.021803661507396925
DBRX,132.0,12000.0,1.8464,1.8379904322087701,-0.008409567791229922,-0.00455457527687929
Pangu Ultra,135.0,13200.0,1.8436,1.833650832693579,-0.009949167306420925,-0.005396597584302954
MEB,135.0,500.0,1.9739,2.0034322087154774,0.02953220871547746,0.014961349974911322
BIG-G 137B,137.0,681.2,1.9555,1.9808380030400616,0.02533800304006162,0.012957301477914405
LaMDA,137.0,2080.0,1.9021,1.9132596635110426,0.011159663511042694,0.005867022507251299
FLAN 137B,137.0,2490.0,1.8949,1.9038843633644118,0.008984363364411774,0.00474133904924364
Mixtral 8x22B,141.0,2766.0,1.8903,1.8973483117822674,0.00704831178226728,0.0037286736403043326
dots.llm1,142.0,11328.0,1.8462,1.8369202719104591,-0.009279728089540917,-0.005026393721991614
GPT-3 175B (davinci),174.6,238.0,2.0185,2.052155277320626,0.03365527732062601,0.016673409621315832
MegaScale (175B),175.0,300.0,2.0016,2.032429344299961,0.030829344299961203,0.01540235026976479
BlueLM 175B,175.0,1000.0,1.9299,1.945436577123471,0.015536577123471007,0.008050457082476299
OPT-IML (175B),175.0,2.0,2.77,2.804083692107962,0.034083692107961916,0.012304581988433904
BlenderBot 3,175.0,1.3,2.9007,2.920858497387848,0.02015849738784814,0.006949528523407501
OPT-175B,175.0,180.0,2.0402,2.0771677212560213,0.036967721256021324,0.01811965555142698
BLUUMI,176.0,38.0,2.1978,2.25002163613169,0.05222163613168984,0.02376086820078708
BLOOMZ-176B,176.0,20.0,2.2857,2.3413174368421,0.055617436842100076,0.02433278069829815
XuanYuan 2.0,176.2,366.0,1.9879,2.0160956038734392,0.028195603873439223,0.014183612794124062
BLOOM-176B,176.2,379.0,1.9856,2.0133511689075454,0.027751168907545365,0.013976213188731549
Jurassic-1-Jumbo,178.0,300.0,2.0013,2.031744671889168,0.030444671889167996,0.015212447853479236
Falcon-180B,180.0,3500.0,1.8765,1.8758225912642628,-0.0006774087357372949,-0.0003609958623699946
SenseChat,180.0,3601.9,1.8754,1.87447103562104,-0.0009289643789600621,-0.0004953419958195917
Mi:dm 200B,200.0,1000.0,1.9272,1.9401381035775467,0.012938103577546656,0.006713420287228443
Amazon Titan,200.0,4000.0,1.8697,1.8654428270900438,-0.004257172909956086,-0.002276928336073213
HyperCLOVA 204B,204.0,560.0,1.9584,1.978299792595273,0.01989979259527308,0.010161250303958886
PanGu-α,207.0,41.2,2.1845,2.233033385285521,0.0485333852855212,0.02221715966377716
Qwen3-235B-A22B-Thinking (Jul 2025),235.0,36000.0,1.8108,1.7800111657938762,-0.030788834206123772,-0.017002890548997004
Qwen3-235B-A22B (Jul 2025),235.0,36000.0,1.8108,1.7800111657938762,-0.030788834206123772,-0.017002890548997004
Qwen3-235B-A22B,235.0,36000.0,1.8108,1.7800111657938762,-0.030788834206123772,-0.017002890548997004
K-EXAONE,236.0,11000.0,1.8366,1.8177021064357066,-0.01889789356429339,-0.010289607734015783
DeepSeek-V2.5,236.0,1263.6,1.9127,1.9195067614520522,0.006806761452052168,0.003558718801721215
DeepSeek-Coder-V2 236B,236.0,3191.0,1.8744,1.8697521609280958,-0.004647839071904247,-0.002479640990132441
DeepSeek-V2 (MoE-236B),236.0,8100.0,1.8448,1.829244372775003,-0.015555627224997037,-0.008432148322309756
Yuan 1.0,245.7,180.0,2.0335,2.0640537236563357,0.030553723656335574,0.015025189897386562
Aramco Metabrain AI,250.0,7000.0,1.8478,1.8329012852119133,-0.014898714788086798,-0.008062947715167657
Llama Nemotron Ultra 253B,253.0,603.0,1.95,1.964918419968239,0.01491841996823906,0.007650471778584134
ERNIE 3.0 Titan,260.0,668.0,1.9436,1.9567894172280953,0.013189417228095301,0.0067860759560070495
ST-MoE,269.0,1500.0,1.9024,1.9046801550137769,0.0022801550137767634,0.0011985676060643205
Gopher (280B),280.0,300.0,1.9926,2.0145643217375353,0.021964321737535375,0.011022945768109693
"Ling-Plus (""Bailing"")",290.0,9000.0,1.8381,1.8176828210462619,-0.02041717895373818,-0.011107762882181698
ERNIE-4.5-300B-A47B,300.0,1566.7,1.8986,1.8983158117871763,-0.00028418821282372164,-0.00014968303635506247
EXAONE 1.0,300.0,942.0,1.9227,1.9289061973311408,0.006206197331140695,0.0032278552718264394
SB-LM,300.0,1800.0,1.8926,1.8905649171612575,-0.0020350828387425413,-0.001075284179828036
MiMo-V2-Flash,309.0,1310.7,1.9062,1.9076096470483885,0.0014096470483886403,0.0007395063730923515
Grok-1,314.0,6200.0,1.8474,1.8297203250893022,-0.017679674910697774,-0.009570030805834023
AMIE (Articulate Medical Intelligence Explorer),340.0,3598.0,1.8637,1.8510213176500787,-0.0126786823499212,-0.00680296311097344
Nemotron-4 340B,340.0,9000.0,1.8354,1.8121628327313934,-0.023237167268606473,-0.012660546621230508
PaLM 2,340.0,3600.0,1.8637,1.8509952270121102,-0.012704772987889745,-0.0068169624874656574
GLM-4.5,355.0,23100.0,1.8123,1.7783610336139972,-0.0339389663860028,-0.01872701340065265
GLM-4.6,357.0,23000.0,1.8123,1.7783058620760697,-0.033994137923930356,-0.018757456229062715
GLM-4.7,358.0,2057.7,1.884,1.8772555601647425,-0.00674443983525741,-0.0035798512925994744
Hunyuan-Large,389.0,7000.0,1.8403,1.8175238434722292,-0.022776156527770874,-0.012376328059431002
Arcee Trinity Large,398.0,555.3,1.9471,1.9550929889730595,0.007992988973059445,0.004105073685511502
Llama 4 Maverick,400.0,30000.0,1.8051,1.7666034089641445,-0.038496591035855454,-0.02132656973899255
Hermes 3 405B,405.0,0.3,3.4691,3.3856466020351155,-0.0834533979648846,-0.02405620995788089
Llama 3.1-405B,405.0,15600.0,1.8188,1.7866392969882177,-0.03216070301178231,-0.017682374649099577
MiniMax-M1-80k,456.0,7500.0,1.8359,1.8096498304267394,-0.02625016957326065,-0.014298256753233101
MiniMax-M1-40k,456.0,7500.0,1.8359,1.8096498304267394,-0.02625016957326065,-0.014298256753233101
MiniMax-Text-01,456.0,7200.0,1.837,1.8112793312462763,-0.025720668753723697,-0.014001452778292704
Qwen3-Coder-480B-A35B,480.0,7500.0,1.8351,1.8080444527156283,-0.02705554728437165,-0.014743364004343987
Arctic,480.0,133.1,2.0479,2.0703042736287385,0.022404273628738647,0.010940120918374261
Doubao-pro,500.0,8350.0,1.8315,1.8025679831355503,-0.028932016864449572,-0.015796897004886474
