N_B,D_B,D/N,Q,L_pred,FLOPs_1e21
100,1000,10,0.5,1.9578436346460255,600.0
100,1000,10,0.7,1.9404805402582426,600.0
100,1000,10,1.0,1.9228145605818074,600.0
100,2000,20,0.5,1.9186096009133058,1200.0
100,2000,20,0.7,1.9027784069188185,1200.0
100,2000,20,1.0,1.8866710504123025,1200.0
100,5000,50,0.5,1.8753825330142502,3000.0
100,5000,50,0.7,1.8612391482000963,3000.0
100,5000,50,1.0,1.8468490433545772,3000.0
200,2000,10,0.5,1.889773589591705,2400.0
200,2000,10,0.7,1.875068303205535,2400.0
200,2000,10,1.0,1.8601064948646773,2400.0
200,4000,20,0.5,1.8562594666542738,4800.0
200,4000,20,0.7,1.8428627456442406,4800.0
200,4000,20,1.0,1.829232329555468,4800.0
200,10000,50,0.5,1.819334452069667,12000.0
200,10000,50,0.7,1.8073794753561792,12000.0
200,10000,50,1.0,1.7952159536396048,12000.0
400,4000,10,0.5,1.8321593303905317,9600.0
400,4000,10,0.7,1.8197036038362921,9600.0
400,4000,10,1.0,1.8070305970986653,9600.0
400,8000,20,0.5,1.8035312152210088,19200.0
400,8000,20,0.7,1.7921932789298425,19200.0
400,8000,20,1.0,1.7806575614120368,19200.0
400,20000,50,0.5,1.7719894806472603,48000.0
400,20000,50,0.7,1.761883097449205,48000.0
400,20000,50,1.0,1.7516004164828025,48000.0
700,7000,10,0.5,1.7921637076382975,29400.0
700,7000,10,0.7,1.7812696178671035,29400.0
700,7000,10,1.0,1.7701854894166709,29400.0
700,14000,20,0.5,1.76695553649644,58800.0
700,14000,20,0.7,1.757045704615973,58800.0
700,14000,20,1.0,1.7469630036476254,58800.0
700,35000,50,0.5,1.7391818099154963,147000.0
700,35000,50,0.7,1.7303564085313299,147000.0
700,35000,50,1.0,1.721377055081592,147000.0
1000,10000,10,0.5,1.7693399624677877,60000.0
1000,10000,10,0.7,1.7593370302166533,60000.0
1000,10000,10,1.0,1.7491596048161655,60000.0
1000,20000,20,0.5,1.7460951273091228,120000.0
1000,20000,20,0.7,1.7369997941176276,120000.0
1000,20000,20,1.0,1.7277458001161656,120000.0
1000,50000,50,0.5,1.7204845547498202,300000.0
1000,50000,50,0.7,1.7123891912897933,300000.0
1000,50000,50,1.0,1.7041526106916471,300000.0
2000,20000,10,0.5,1.730205823455429,240000.0
2000,20000,10,0.7,1.7217308911890208,240000.0
2000,20000,10,1.0,1.713108120510375,240000.0
2000,40000,20,0.5,1.7103498415679963,480000.0
2000,40000,20,0.7,1.7026501899334456,480000.0
2000,40000,20,1.0,1.694816224036946,480000.0
2000,100000,50,0.5,1.6884730219909496,1200000.0
2000,100000,50,0.7,1.681627554984532,1200000.0
2000,100000,50,1.0,1.674662674283534,1200000.0
5000,50000,10,0.5,1.6875230134704988,1499999.9999999998
5000,50000,10,0.7,1.6807146397294852,1499999.9999999998
5000,50000,10,1.0,1.6737874993562263,1499999.9999999998
5000,100000,20,0.5,1.6714007845653223,2999999.9999999995
5000,100000,20,0.7,1.665221906352831,2999999.9999999995
5000,100000,20,1.0,1.6589352425539037,2999999.9999999995
5000,250000,50,0.5,1.6536377197651055,7500000.0
5000,250000,50,0.7,1.648152403834254,7500000.0
5000,250000,50,1.0,1.6425714009560213,7500000.0
10000,100000,10,0.5,1.6609249111431938,5999999.999999999
10000,100000,10,0.7,1.65515506542338,5999999.999999999
10000,100000,10,1.0,1.6492845693616804,5999999.999999999
10000,200000,20,0.5,1.6471531341896841,11999999.999999998
10000,200000,20,0.7,1.6419210101498583,11999999.999999998
10000,200000,20,1.0,1.6365976158926003,11999999.999999998
10000,500000,50,0.5,1.6319797380123864,30000000.0
10000,500000,50,0.7,1.6273400621447263,30000000.0
10000,500000,50,1.0,1.6226194508439549,30000000.0
