成本族,Q,g(Q),增量g(Q)-g(Q0=0.5621)
指数型,0.1,18221188.00390509,-273303514.63798606
指数型,0.2,33201169.227365483,-258323533.4145257
指数型,0.4,110231763.80641605,-181292938.83547515
指数型,0.6,365982344.43677974,74457641.79488856
指数型,0.8,1215104175.1873498,923579472.5454586
指数型,1.0,4034287934.927351,3742763232.28546
幂函数型,0.1,500000.0000000001,-498606540.4632513
幂函数型,0.2,8000000.000000002,-491106540.4632513
幂函数型,0.4,128000000.00000003,-371106540.46325123
幂函数型,0.6,648000000.0,148893459.5367487
幂函数型,0.8,2048000000.0000005,1548893459.5367491
幂函数型,1.0,5000000000.0,4500893459.536749
对数渐进型,0.1,1386294361.1198907,-2394168088.620085
对数渐进型,0.2,2197224577.33622,-1583237872.4037557
对数渐进型,0.4,3218875824.868201,-561586624.8717747
对数渐进型,0.6,3891820298.1106267,111357848.37065125
对数渐进型,0.8,4394449154.67244,613986704.9324641
对数渐进型,1.0,4795790545.596742,1015328095.8567662
