数据集,形式,params,R2,RMSE,MAE,MAPE,AIC,BIC,RSS,n,k
High层_Pythia,线性,"[7.6717, -0.8817]",0.157979471354891,0.33384087859450456,0.3077350311349091,5.562251961409167,-11.359271352867397,-11.46745105475677,0.780148125545255,7,2
High层_Pythia,指数,"[5.4508, 50475396965.0059, 11.9798]",0.39465504641830784,0.28306074013356136,0.23286900827463747,4.20536934122518,-11.669312848898073,-11.831582401732135,0.5608636782347168,7,3
High层_Pythia,Chapman,"[2068.5348, 0.0004, 8.6934]",0.15796321561836046,0.33384410108314294,0.3077430035155138,5.562370307782511,-9.359136214763918,-9.52140576759798,0.7801631867960823,7,3
High层_Pythia,幂律,"[2.062, -0.4]",0.1809741152732075,0.32925091346541413,0.301573628941797,5.452405586761131,-11.553092295722355,-11.661271997611728,0.7588431481246675,7,2
Medium_base,线性,"[46.236, -14.0765]",0.23260710249773953,7.963480999859969,6.392690064572759,53.94756285298108,157.54009996947124,160.7619357947597,2346.430096499837,37,2
Medium_base,指数,"[-33038.9995, 33085.2493, 0.0004]",0.23259931396984956,7.963521411777187,6.392708164268253,53.94924954948882,159.54047549297488,164.37322923090755,2346.4539112058474,37,3
Medium_base,Chapman,"[33.6396, 0.7611, 3.0371]",0.23954024586168288,7.9274256573833215,6.418532426872163,55.341353409340755,159.20429786839264,164.03705160632532,2325.2308694735575,37,3
Medium_base,幂律,"[3.9805, -1.6252]",0.19118753336645244,8.175568823509318,6.686226846601689,57.029051504558005,159.48512184628672,162.70695767157517,2473.077246753689,37,2
Medium_instruct,线性,"[88.5432, -29.3381]",0.4727104118662011,8.637961693744067,6.966283916829701,42.565544234286165,137.68233167427783,140.55030608324813,2313.045848900286,31,2
Medium_instruct,指数,"[-45.7846, 180.687, 0.4361]",0.47598910567173947,8.611064335066688,6.914923109142959,40.911261253107945,139.4889714709965,143.79093308445192,2298.6632984623825,31,3
Medium_instruct,Chapman,"[76373.6358, 0.0004, 3.0179]",0.47270468558899814,8.638008597030183,6.9663503845941985,42.56693688887723,139.68266832729245,143.98462994074788,2313.0709681933877,31,3
Medium_instruct,幂律,"[5.139, -2.5655]",0.44573601251977557,8.856150877554434,7.2630366214657425,42.77101369940867,139.22895838537025,142.09693279434055,2431.373659346253,31,2
Medium_全层,线性,"[61.4337, -19.1846]",0.25249899244136476,9.823529083554659,7.847675590657796,57.34131939807378,314.73013915319115,319.1691545635434,6562.117208570208,68,2
Medium_全层,指数,"[-35257.7691, 35319.2271, 0.0005]",0.25248895555939344,9.82359503481759,7.847770507838912,57.343917827707166,316.7310521999765,323.3895753155048,6562.205319750311,68,3
Medium_全层,Chapman,"[44.6532, 0.7378, 3.001]",0.25924926822398686,9.77907301228924,7.870792976104244,58.66203287934164,316.11327859275076,322.7718017082791,6502.858290618496,68,3
Medium_全层,幂律,"[4.3264, -1.7741]",0.20594569042785416,10.124806865538668,8.214755199615825,61.23150506107048,318.83844114109183,323.27745655144406,6970.796556383209,68,2
C6_全样本,线性,"[62.9609, -20.4169]",0.26011525492301735,10.019533828731797,8.21653787195785,67.79283811514628,349.6804855743666,354.31546180143926,7529.329360882565,75,2
C6_全样本,指数,"[-17257.0916, 17320.1116, 0.0012]",0.26011000987194743,10.01956934296144,8.216409301126763,67.78922540675842,351.68101724830433,358.63348158891324,7529.382736380956,75,3
C6_全样本,Chapman,"[137.3617, 0.1699, 3.0367]",0.260489728678142,10.016997942329247,8.234618278051212,68.34255225597144,351.64251663176117,358.5949809723701,7525.518583247128,75,3
C6_全样本,幂律,"[4.4896, -2.0764]",0.22372242138221732,10.262992241785776,8.401001558291325,68.97847650011445,353.2816658084645,357.9166420355371,7899.675731621628,75,2
