xbin,x_mid,n,y_p95,y_max,y_med
"(0.0, 0.2]",0.13509098390728275,221,16.948513223691304,25.69666706814397,11.862792186560862
"(0.2, 0.4]",0.28042217513927925,114,19.61354161250629,27.143883211239544,11.763548251720731
"(0.4, 0.6]",0.5054956076166531,399,27.672102916050953,35.28885377363677,17.43076520482992
"(0.6, 0.8]",0.6865297119688267,85,28.818375441031588,30.129656228309155,17.728138144118287
"(0.8, 1.0]",0.8930192349276149,1969,33.68559752062582,40.36155927006158,22.65046295673854
"(1.0, 1.2]",1.1152743693709888,968,41.78288598380508,47.09154471380421,32.17933530708902
"(1.2, 1.4]",1.3223032639693793,136,39.22198967948642,44.731545333278405,23.48385777439003
"(1.4, 1.6]",1.5002119676487413,117,46.62752109607337,47.36835680458376,33.2623633375386
"(1.6, 1.8]",1.687395568383888,33,36.94013684032024,43.55000484859215,24.258614269254902
"(1.8, 2.0]",1.8558480500421912,153,47.32049661639586,52.08138397879168,37.48445364047765
"(2.0, 2.2]",2.095948679843686,13,40.00956467659261,46.524214355965,33.059051837739325
