ym,t,bin,n,Fmax,Fp90,xmed
2024-06,0.032656441442902986,"[0,2)B",39,14.141936815181689,10.307940709588259,0.04139268515822508
2024-06,0.032656441442902986,"[2,4)B",28,27.216374484698875,25.619246292220563,0.47712125471966244
2024-06,0.032656441442902986,"[4,8)B",130,32.34201367038736,22.15092656511605,0.8598585204809929
2024-06,0.032656441442902986,"[8,16)B",163,33.09765943937642,23.3663241888954,0.9047155452786809
2024-06,0.032656441442902986,"[16,32)B",15,24.922701724199342,23.30723837952723,1.3308397412084711
2024-06,0.032656441442902986,"[32,80+]B",68,44.39894388647036,35.8781926620221,1.8204474316922834
2024-07,0.10715599814838991,"[0,2)B",11,6.951489892134872,6.864747864349624,-0.2006594505464183
2024-07,0.10715599814838991,"[2,4)B",16,28.22663122048826,26.495882272762508,0.4243346737017564
2024-07,0.10715599814838991,"[4,8)B",42,32.974747665791206,21.591501048574635,0.8598585204809929
2024-07,0.10715599814838991,"[8,16)B",81,32.07276025267082,26.888884373724007,0.9047155452786809
2024-07,0.10715599814838991,"[16,32)B",7,26.44775194883569,26.422029358571802,1.3530117110334527
2024-07,0.10715599814838991,"[32,80+]B",16,44.29736213992491,42.50163744354953,1.8485216407506466
2024-08,0.1896920579181092,"[0,2)B",10,14.749842142996677,10.167294847288218,-0.40588319040335386
2024-08,0.1896920579181092,"[2,4)B",21,28.184391192864627,27.92210478503609,0.4548448600085102
2024-08,0.1896920579181092,"[4,8)B",34,26.309196155583507,24.510494839129358,0.8598585204809929
2024-08,0.1896920579181092,"[8,16)B",83,33.79581095053082,27.912579942614823,0.9047155452786809
2024-08,0.1896920579181092,"[16,32)B",15,38.87959582082076,33.34204548889001,1.3829890619644598
2024-08,0.1896920579181092,"[32,80+]B",44,45.345219749056206,44.0948137184166,1.8485216407506466
2024-09,0.2786165801022668,"[0,2)B",41,22.32825544058106,15.592787360948462,0.0318122713303704
2024-09,0.2786165801022668,"[2,4)B",17,27.16175720903232,25.983277599488947,0.5069107255515181
2024-09,0.2786165801022668,"[4,8)B",78,35.699515240521414,26.610920221245628,0.8598585204809929
2024-09,0.2786165801022668,"[8,16)B",256,42.61740082662664,29.11342640166327,0.9047155452786809
2024-09,0.2786165801022668,"[16,32)B",24,39.93865486453309,29.483302530982556,1.3472714548096045
2024-09,0.2786165801022668,"[32,80+]B",43,51.23132307602696,46.46263507700934,1.8485216407506466
2024-10,0.3533538672142369,"[0,2)B",45,17.483555890459094,15.000147142570578,-0.2006594505464183
2024-10,0.3533538672142369,"[2,4)B",74,26.23579178503736,24.002109966835363,0.5069107255515181
2024-10,0.3533538672142369,"[4,8)B",79,36.42709650938436,31.93702052730722,0.8598585204809929
2024-10,0.3533538672142369,"[8,16)B",188,42.550065874753976,34.41702309162254,0.9250025076809776
2024-10,0.3533538672142369,"[16,32)B",17,30.1116442664472,29.347146342705738,1.3472714548096045
2024-10,0.3533538672142369,"[32,80+]B",29,47.98045991216864,42.0853934794013,1.83870430177712
2024-11,0.4440442594809064,"[0,2)B",58,17.33432617767801,16.441240031435964,-0.2006594505464183
2024-11,0.4440442594809064,"[2,4)B",38,31.48239660410299,27.361544056684945,0.4893255450481949
2024-11,0.4440442594809064,"[4,8)B",109,36.26500037492428,33.26978676353557,0.8817269353764179
2024-11,0.4440442594809064,"[8,16)B",143,42.38069997703781,36.75458957731362,0.9047155452786809
2024-11,0.4440442594809064,"[16,32)B",12,38.3619715244158,35.47049653698615,1.3267946179570185
2024-11,0.4440442594809064,"[32,80+]B",14,52.08138397879168,49.85850728833381,1.8485216407506466
2024-12,0.5335548547105059,"[0,2)B",98,19.3032163999358,15.891448132012634,-0.2006594505464183
2024-12,0.5335548547105059,"[2,4)B",40,35.28885377363677,26.656498731046096,0.5069107255515181
2024-12,0.5335548547105059,"[4,8)B",83,36.404684964282325,31.417641148471922,0.8598585204809929
2024-12,0.5335548547105059,"[8,16)B",298,42.519512261718894,38.70954061796728,1.006850960324272
2024-12,0.5335548547105059,"[16,32)B",18,37.93170029272168,37.51899832494458,1.4349997913501735
2024-12,0.5335548547105059,"[32,80+]B",34,48.10647092442315,47.20247142105438,1.5153969172605857
2025-01,0.6084715664102297,"[0,2)B",222,20.18985986442293,15.600168103302371,-0.2006594505464183
2025-01,0.6084715664102297,"[2,4)B",76,28.654353578279625,24.62880054877028,0.5069107255515181
2025-01,0.6084715664102297,"[4,8)B",144,36.49631491468131,33.49246291633369,0.8815558297933116
