ym,t,n,F_p95,F_max,F_p90,F_top10_mean
2024-06,0.032656441442902986,443,30.444178917995092,44.39894388647036,25.920104185600493,31.545297416199375
2024-07,0.10715599814838991,173,32.026880617596206,44.29736213992491,28.093739785109072,34.12812165701032
2024-08,0.1896920579181092,207,40.53850979610468,45.345219749056206,35.851421415114565,40.8143590000138
2024-09,0.2786165801022668,459,38.107670867958326,51.23132307602696,32.381664585606735,39.57313724855166
2024-10,0.3533538672142369,432,36.914470742216324,47.98045991216864,34.450048306014644,37.70679764764992
2024-11,0.4440442594809064,374,38.49347947720043,52.08138397879168,35.09198937830992,39.742362972407435
2024-12,0.5335548547105059,571,41.54917837533554,48.10647092442315,38.69645443942003,42.40198917527139
2025-01,0.6084715664102297,868,40.245453767984856,46.76723892225559,38.02355614491463,40.5093489447134
2025-02,0.6880116160836864,692,41.33420705852266,47.21693789116021,40.00051132001372,41.66483556427742
2025-03,0.7453118307976191,342,42.18972135039792,47.09154471380421,41.38745344314429,42.47717668351549
