model,date,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,IFEval_se,BBH_se,MATH Lvl 5_se,GPQA_se,MUSR_se,MMLU-PRO_se,C8_mean6
0-hero__Matter-0.2-7B-DPO,2024-08-07,0.26247689463955637,0.35844471445929527,0.008308157099697885,0.265625,0.38095238095238093,0.1163563829787234,0.018933742876044622,0.005966622271368755,0.0024973955513221792,0.02089005840079951,0.01739262459546561,0.0029233634659163823,0.23202725502160895
01-ai__Yi-1.5-34B,2024-06-18,0.21811460258780038,0.5953827460510328,0.1404833836858006,0.36830357142857145,0.42328042328042326,0.4665890957446808,0.017771211776653844,0.00588189860513727,0.009147851514815659,0.022814103859296227,0.017687014113480407,0.004548281896883948,0.3686923037963849
01-ai__Yi-1.5-34B-32K,2024-06-17,0.2532347504621072,0.5981600416594341,0.13444108761329304,0.35267857142857145,0.43915343915343913,0.4709109042553192,0.018713577543655484,0.005973608981766803,0.00900602959945784,0.02259934056390151,0.017788226143242325,0.00455074934855161,0.37476313242869397
01-ai__Yi-1.5-34B-Chat,2024-06-16,0.5526802218114603,0.6064919284846381,0.23338368580060423,0.37276785714285715,0.42724867724867727,0.45204454787234044,0.021396815020425966,0.006008495995956765,0.010827184563551143,0.022870708571624602,0.01753022671900989,0.004537455518892002,0.44076948639342955
01-ai__Yi-1.5-34B-Chat-16K,2024-07-17,0.39371534195933455,0.6070126714112133,0.18806646525679757,0.34151785714285715,0.43915343915343913,0.45445478723404253,0.02102483414587237,0.005923709149303982,0.00993121694045582,0.022429776589214544,0.017856948966744616,0.004539519149798907,0.40398676035961406
01-ai__Yi-1.5-6B,2024-06-17,0.2199630314232902,0.4481860788057629,0.05664652567975831,0.29464285714285715,0.43783068783068785,0.31008976063829785,0.017825247192217102,0.006102725270220365,0.006256591411075743,0.021562481080109767,0.017815929493830512,0.0042168596325308965,0.29455982358677574
01-ai__Yi-1.5-6B-Chat,2024-06-17,0.4232902033271719,0.45061621246311406,0.12537764350453173,0.33705357142857145,0.4417989417989418,0.3197307180851064,0.02126184232524846,0.006195060668558719,0.008704513802695426,0.02235810146577642,0.0174748126468583,0.004251887336566464,0.34964454843457293
01-ai__Yi-1.5-9B,2024-06-16,0.23105360443622922,0.513626106578719,0.10196374622356495,0.390625,0.43253968253968256,0.3916223404255319,0.01813875717052343,0.006208684886442751,0.008049050407585082,0.023076427311939374,0.01788072710775745,0.004450097176783042,0.34357174670062124
01-ai__Yi-1.5-9B-32K,2024-06-16,0.18484288354898337,0.49401145634438465,0.09592145015105741,0.38169642857142855,0.41798941798941797,0.37649601063829785,0.016704179558503913,0.006148185134448797,0.0077956340652747935,0.022977679325272296,0.017639735998712137,0.0044172191293635615,0.3251596078739283
01-ai__Yi-1.5-9B-Chat,2024-06-17,0.5508317929759704,0.5528554070473876,0.1163141993957704,0.34151785714285715,0.4246031746031746,0.39752327127659576,0.021405093233588305,0.006167290775844081,0.008444915834422055,0.022429776589214547,0.017414191920381704,0.004461701933881435,0.39727428374029267
