,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,0.9999999999999999,0.6393126755884259,0.5456168514089813,0.4418406672544533,0.33576611437781745,0.3889551725074149,0.3914731371126468,0.21111538050499562,0.21727847384379603,0.22379734670856258,0.2812660337009086,0.19243498443491655,0.17868189128853815,0.36655688333764536,-0.08263484634958833,0.05581117885800952,0.20231347272816633,0.12196144805488698,0.0002751583085115327,-0.1541518939430047,-0.11362381258457245,0.12291972429262543
qurater,0.6393126755884259,1.0000000000000002,0.6684405626024137,0.45331847599451486,0.5382073052208157,0.5681950767852334,0.5714377117860685,0.11275683639526428,0.29349964401030754,0.3038313565168365,0.38730795180769995,0.1260998437247611,0.13296774657432,0.4385955433052302,-0.0839219692025763,0.14596067832987417,0.28159290731219044,0.23002834860941723,0.0775742079559711,-0.033032179113843346,-0.08264714700235795,0.15579541273532596
modernbert_reasoning,0.5456168514089815,0.6684405626024137,1.0000000000000002,0.6134708382654052,0.27631382279579425,0.44452955103199254,0.5470842807288554,0.16315893002836082,0.3339569971507232,0.3372320932936572,0.44232227071426905,0.15234181237065228,0.17078829219650513,0.62770277520136,-0.27332063886932784,-0.002656407861034239,0.3408441326980867,0.2622692547320529,-0.09855564701456435,-0.09997851085803583,-0.1654082582549128,0.17665951741546856
modernbert_professionalism,0.4418406672544533,0.45331847599451486,0.613470838265405,0.9999999999999998,0.05489568048659881,0.04502137902566158,0.07654850509719087,0.3057423149436525,-0.30411138239644714,-0.2991565063889234,-0.20036604829758983,0.04230004540466975,0.05515148418246031,0.157126910989211,-0.16618981605773003,-0.26176759074104555,0.16059851522139534,0.08157010174487761,-0.018257710891368694,-0.51696463339349,-0.10075360109015045,-0.18088239617694216
fluency_en,0.33576611437781745,0.5382073052208157,0.27631382279579425,0.054895680486598826,0.9999999999999999,0.44125543101518794,0.47165814785089755,0.04573686101078806,0.2833563258511917,0.28826259731535636,0.32406037004326216,0.16505128930455534,0.09745622644650621,0.1542654627953054,0.01775879422433046,0.3305510186797926,0.07562257948799953,0.06876843384634226,0.19289227117169783,0.13654301278661313,0.01039583798158384,0.19873008054073735
modernbert_readability,0.3889551725074149,0.5681950767852334,0.44452955103199254,0.04502137902566158,0.44125543101518794,1.0000000000000002,0.6470563936116069,0.012990251563040922,0.5450845463596121,0.554005576561375,0.584623208715986,0.23464386892249234,0.20854298718922704,0.5346606996192079,-0.05686021535110969,0.20182993844289912,0.2626659936424144,0.18318572861261864,-0.03899624427341042,0.10994738148884478,-0.15635259668182142,0.3031806238278998
modernbert_cleanliness,0.3914731371126468,0.5714377117860686,0.5470842807288554,0.07654850509719087,0.47165814785089755,0.6470563936116069,0.9999999999999999,0.0808204036665479,0.5778543192132977,0.5809200065835538,0.6282397443715325,0.23788930436129682,0.23173173364638755,0.507967352701861,0.003016576536136202,0.16074405271388628,0.2812040155002633,0.2388029177442427,-0.027041887370244606,0.2669179704899883,-0.05377249177308078,0.3413008153407521
ad_en,0.21111538050499554,0.11275683639526428,0.16315893002836082,0.3057423149436525,0.04573686101078806,0.012990251563040936,0.08082040366654793,1.0,-0.13588705877929572,-0.13370258157406495,-0.11083311826535408,-0.05782140481478535,-0.0517892712734878,-0.00046129487887212086,-0.09349822301290804,-0.16884064124813747,0.010447084437348092,0.023111926529837103,-0.2100789364626714,-0.3236752736908725,-0.1002285646596016,-0.05183061101428027
dsir_books,0.21727847384379603,0.29349964401030754,0.3339569971507232,-0.3041113823964471,0.2833563258511917,0.5450845463596122,0.5778543192132977,-0.13588705877929572,1.0,0.9992458653033947,0.9855329914215816,0.22795088906026176,0.23231011928072148,0.6776997216195623,-0.08164613847118007,0.3737660634043386,0.27631701436693645,0.2475577773252122,-0.13683529344803944,0.48881977853218905,-0.046810803078588,0.5617116207193731
dsir_wiki,0.22379734670856258,0.3038313565168365,0.3372320932936573,-0.2991565063889234,0.28826259731535636,0.554005576561375,0.5809200065835538,-0.13370258157406495,0.9992458653033947,1.0,0.9865036315036344,0.229413481020149,0.23072936019861537,0.6758651109950735,-0.07361224505475843,0.37148706513743046,0.2730753408732801,0.2455509025111797,-0.12997565474184047,0.47940806973462985,-0.05562332319031147,0.5634194381962192
dsir_math,0.28126603370090864,0.38730795180769995,0.4423222707142691,-0.2003660482975899,0.32406037004326216,0.5846232087159859,0.6282397443715325,-0.11083311826535411,0.9855329914215817,0.9865036315036345,1.0000000000000002,0.25261231926202354,0.24491606844438635,0.7321185435721044,-0.10217654975296568,0.33743495009310626,0.3079003443810539,0.26855499203353794,-0.11319124389014824,0.42792786345564104,-0.08100204323730371,0.5758342917811033
