,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,1.0,0.6417137948353675,0.6344865293054892,0.47728209778000524,0.38554509838179213,0.461341691029819,0.442945029831329,0.20772987949163396,0.30524454230736286,0.31260077248502277,0.4137834133145624,0.37785986515558045,0.23076194081717263,0.4968889916135638,-0.1282040178710015,-0.060245245768515615,0.13570612267776772,-0.031820643320978316,-0.013486270834026195,-0.07972322082960383,-0.2560738001443632,0.19335791982281605
qurater,0.6417137948353674,0.9999999999999998,0.6937801669897934,0.47367649647318866,0.6332829467869527,0.6873601250382391,0.6902550838485788,0.19522981448939553,0.4496545350520295,0.4611857306762952,0.583342407499041,0.29812867404381344,0.17744259328898523,0.5922420964685543,-0.09826800360026412,0.13852888653415965,0.26090942309244225,0.1064482687550502,0.09522470884904492,0.07918527205973859,-0.19235706259549232,0.24457565404837045
modernbert_reasoning,0.6344865293054891,0.6937801669897934,1.0,0.6341151226239281,0.40066688748030455,0.49962897493826564,0.6389487479336529,0.17175725743741796,0.4198011732702628,0.42166984050826156,0.5848693079084158,0.4431612000685599,0.26747176821370816,0.7491857950900642,-0.13898549504799382,-0.10072011843281521,0.2960828985965546,0.061612121113994084,0.0399085197779214,-0.035773568446760814,-0.29059725971492634,0.2853093652004995
modernbert_professionalism,0.47728209778000524,0.47367649647318866,0.6341151226239282,1.0,0.05669645882787013,0.12729109774250166,0.17782258853598013,0.2613277480183653,-0.19197458195557188,-0.18154325505651345,0.02783650308850927,0.1465708875145604,0.0969909652812891,0.4174236955511004,-0.4227097051589556,-0.5160580314408414,0.2925292873869588,0.11376104255445789,-0.14887200663679334,-0.5224084152900227,-0.17684614495135742,-0.1807454805003806
fluency_en,0.3855450983817922,0.6332829467869528,0.40066688748030455,0.05669645882787013,1.0,0.6376521395682523,0.6653981770913489,0.24659522623070976,0.5061217142705737,0.5142284400846794,0.5567669675463609,0.2750113725574933,0.1483682207440936,0.39406174669559507,0.005292652722895675,0.36095244835688384,0.07755411367172789,0.013389314586578754,0.28839237889401237,0.2892894765554513,-0.10796309375146206,0.29622887149248334
modernbert_readability,0.461341691029819,0.6873601250382392,0.49962897493826564,0.12729109774250166,0.6376521395682522,0.9999999999999998,0.7389537309667017,0.06490336450957161,0.6208233641828721,0.6371236341747768,0.6816273303241241,0.36014767113269863,0.20689571063514692,0.5978940466214733,0.07778631229739827,0.3091282090151863,0.14997663350769494,0.022049298723334065,0.14610060595987895,0.2214129251470664,-0.3035554128764696,0.3764277828921479
modernbert_cleanliness,0.442945029831329,0.6902550838485788,0.638948747933653,0.1778225885359801,0.6653981770913489,0.7389537309667016,1.0,0.17634143161910706,0.6071952099281483,0.6126086762566163,0.6941077498388036,0.3476583385992858,0.22014554061803013,0.6006074439225451,0.06836946749022302,0.2602124644988406,0.1872443243347712,0.07764155428813506,0.15057182424291882,0.3471858395257112,-0.23184692849988622,0.4133600706689472
ad_en,0.20772987949163393,0.19522981448939553,0.171757257437418,0.2613277480183653,0.24659522623070976,0.06490336450957163,0.17634143161910706,0.9999999999999998,-0.1496403156016174,-0.1416355493304548,-0.05841131703397578,-0.10629890635768195,-0.06126976209948021,-0.025131799881870687,-0.23754709999063459,-0.22006259601466638,0.018105441469059333,0.06389532219294283,-0.22799451040640786,-0.18247436563582403,-0.16593914807829577,0.0527622758821391
dsir_books,0.30524454230736286,0.44965453505202957,0.4198011732702628,-0.19197458195557185,0.5061217142705738,0.6208233641828721,0.6071952099281482,-0.1496403156016174,0.9999999999999998,0.9984092599675556,0.9582693034139663,0.4102135326184023,0.22876950040703659,0.6554903312176004,0.260712836414236,0.6072697268720925,0.14385421150699687,0.03350295977701824,0.2646512298111208,0.5289001502774994,-0.15804626718447656,0.4863836003956951
dsir_wiki,0.31260077248502277,0.46118573067629526,0.42166984050826156,-0.18154325505651345,0.5142284400846795,0.6371236341747768,0.6126086762566163,-0.1416355493304548,0.9984092599675556,0.9999999999999998,0.9615565579367874,0.4087939910678177,0.22720151636582264,0.6635007998711137,0.2566603322426612,0.6023261067000064,0.1460091732959711,0.036342282597099956,0.25991901450416643,0.5157306056438995,-0.17754937329311968,0.4860020755670514
dsir_math,0.4137834133145625,0.583342407499041,0.5848693079084158,0.02783650308850927,0.5567669675463609,0.6816273303241241,0.6941077498388036,-0.05841131703397578,0.9582693034139663,0.9615565579367873,1.0,0.42763052925496753,0.23901884139715704,0.7850145918601554,0.1418288313502651,0.47471918912288874,0.23594312960708919,0.08774690280337208,0.251967510608366,0.41795233326223685,-0.2471790486926178,0.48756363636207894
rps_doc_word_count,0.37785986515558045,0.29812867404381344,0.4431612000685599,0.1465708875145604,0.2750113725574933,0.36014767113269863,0.3476583385992858,-0.10629890635768195,0.4102135326184023,0.4087939910678177,0.42763052925496753,1.0,0.4464663497740953,0.5348827936124616,0.18960380548506867,0.05113997825532815,-0.08953220939013123,-0.3100358066936674,0.21143973451114767,0.09797388664254038,-0.21092306913884332,0.24197608395958306
rps_doc_num_sentences,0.23076194081717266,0.17744259328898523,0.26747176821370816,0.09699096528128912,0.1483682207440936,0.20689571063514692,0.22014554061803016,-0.0612697620994802,0.2287695004070366,0.22720151636582264,0.23901884139715704,0.44646634977409533,1.0,0.30787026998421246,0.1599107135298272,0.022526565202166855,-0.0089958152474378,-0.10214246203959768,0.13037849481073,0.11905056996631402,-0.13583016178364746,0.09069976411663874
rps_doc_unigram_entropy,0.49688899161356376,0.5922420964685542,0.7491857950900642,0.41742369555110037,0.394061746695595,0.5978940466214733,0.6006074439225451,-0.025131799881870687,0.6554903312176003,0.6635007998711138,0.7850145918601555,0.5348827936124615,0.30787026998421246,1.0,0.12319682743469096,0.05467590267109787,0.3989544829402463,0.126147067164693,0.21810564669272678,0.035822951738570266,-0.38680022363954336,0.29492582754273977
rps_doc_frac_unique_words,-0.1282040178710015,-0.09826800360026412,-0.13898549504799385,-0.4227097051589556,0.005292652722895674,0.07778631229739826,0.068369467490223,-0.23754709999063459,0.260712836414236,0.2566603322426612,0.1418288313502651,0.18960380548506867,0.1599107135298272,0.12319682743469096,1.0,0.3041862886025643,0.09309467236253793,0.12210101901038257,0.1607391014445988,0.2996061957834189,-0.03597094901701151,0.11364850231049203
rps_doc_frac_no_alph_words,-0.06024524576851562,0.13852888653415965,-0.10072011843281521,-0.5160580314408414,0.3609524483568839,0.3091282090151863,0.26021246449884056,-0.22006259601466638,0.6072697268720925,0.6023261067000065,0.4747191891228887,0.05113997825532815,0.022526565202166855,0.05467590267109786,0.3041862886025643,1.0,-0.059675019570760726,0.004855550275468188,0.2223444998267204,0.6193588495953332,0.246787925475266,0.1767992299561808
