domain,len_decile,n,strong_conflict_rate,kappa_range_mean,median_words
arxiv,1,1895,0.2538258575197889,0.5516997553686972,1666.0
arxiv,2,1894,0.18109820485744457,0.5187453415306841,2786.0
arxiv,3,1894,0.16684266103484688,0.5218350537901221,3571.0
arxiv,4,1894,0.13885955649419218,0.5074175920499836,4356.0
arxiv,5,1894,0.13146779303062303,0.5083526913022577,5166.0
arxiv,6,1894,0.13093980992608237,0.5136123236128818,6067.0
arxiv,7,1894,0.12090813093980993,0.5181316833898676,7160.0
arxiv,8,1894,0.14308342133051744,0.5229348928187216,8663.0
arxiv,9,1894,0.14044350580781415,0.5213777654576596,10837.5
arxiv,10,1895,0.1324538258575198,0.5156411189187563,16346.0
book,1,18,0.2777777777777778,0.505484010731541,7736.5
book,2,17,0.058823529411764705,0.4829257683133599,25534.0
book,3,17,0.17647058823529413,0.4769496020712141,37303.0
book,4,17,0.17647058823529413,0.4921290906998642,50271.0
book,5,17,0.11764705882352941,0.5084354297581948,63169.0
book,6,17,0.29411764705882354,0.5166497263488641,73552.0
book,7,17,0.17647058823529413,0.5174406023110523,87111.0
book,8,17,0.35294117647058826,0.5930713559145023,104028.0
book,9,17,0.4117647058823529,0.6661786833042705,119776.0
book,10,17,0.29411764705882354,0.6490981220677671,189119.0
c4,1,1000,0.608,0.7115678874530766,49.0
c4,2,1000,0.598,0.7215145601416194,73.0
c4,3,1000,0.53,0.6853261863577722,99.0
c4,4,1000,0.495,0.6521238730397461,134.0
c4,5,1000,0.477,0.6379254593944934,180.0
c4,6,1000,0.441,0.6115539137691428,239.0
c4,7,1000,0.365,0.5789830403719911,319.0
c4,8,1000,0.367,0.5797634001131279,437.0
c4,9,1000,0.335,0.5572159517571414,621.0
c4,10,1000,0.331,0.5475095604239156,1200.5
commoncrawl,1,964,0.24688796680497926,0.485123986720266,192.5
commoncrawl,2,964,0.19190871369294607,0.46829407107935267,301.0
commoncrawl,3,964,0.17219917012448133,0.45435120803926377,393.5
commoncrawl,4,964,0.17842323651452283,0.4581958298161578,483.0
commoncrawl,5,964,0.1607883817427386,0.4507650780440845,591.0
commoncrawl,6,964,0.17842323651452283,0.435417425676803,728.0
commoncrawl,7,964,0.17116182572614108,0.429383555265782,893.5
commoncrawl,8,964,0.21161825726141079,0.4437452364535345,1167.5
commoncrawl,9,964,0.23132780082987553,0.44569600473864307,1671.0
commoncrawl,10,964,0.279045643153527,0.48006670945039487,3565.5
github,1,21376,0.000561377245508982,0.16564192818531975,11.0
github,2,21375,0.0007017543859649122,0.2395122283934667,25.0
github,3,21375,0.002152046783625731,0.3056068917182245,42.0
github,4,21375,0.011228070175438596,0.35785460807519487,64.0
github,5,21375,0.015719298245614036,0.38085557375452256,94.0
github,6,21375,0.028818713450292396,0.39857437214682684,134.0
github,7,21375,0.04425730994152047,0.42119293695905,196.0
github,8,21375,0.07298245614035087,0.4457466932389789,297.0
github,9,21375,0.1096140350877193,0.47047591032874075,503.0
github,10,21376,0.22918226047904192,0.5297269198370438,1223.0
stackexchange,1,1000,0.095,0.40002862925515204,75.0
stackexchange,2,1000,0.077,0.39705214669120864,112.0
stackexchange,3,1000,0.098,0.410796856109276,143.0
stackexchange,4,1000,0.131,0.43147897001112273,172.5
stackexchange,5,1000,0.11,0.42102647405983085,205.5
stackexchange,6,1000,0.133,0.4268488041541736,244.0
stackexchange,7,1000,0.154,0.43326282949759737,288.0
stackexchange,8,1000,0.164,0.45180759621790767,349.0
stackexchange,9,1000,0.17,0.45208760363314127,447.0
stackexchange,10,1000,0.212,0.46632407468960957,701.5
wikipedia,1,1000,0.027,0.26526863274389373,27.0
wikipedia,2,1000,0.074,0.3428669515659288,42.0
wikipedia,3,1000,0.088,0.3735185299820475,68.0
wikipedia,4,1000,0.101,0.3625146329466317,102.0
wikipedia,5,1000,0.109,0.35888338998548786,146.0
wikipedia,6,1000,0.093,0.35039145020849294,206.0
wikipedia,7,1000,0.098,0.3506754645811021,285.0
wikipedia,8,1000,0.082,0.36127751494957117,411.0
wikipedia,9,1000,0.078,0.376367802423432,632.5
wikipedia,10,1000,0.073,0.37195068645716145,1335.0
