,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,1.0,0.30460093348931166,-0.16172713874959774,-0.36010691277997436,0.2977945315694043,0.3266677980820984,-0.026820828053425474,-0.14627840265005743,0.36703621383276014,0.3703597848646765,0.33487076098600926,0.08636754651605806,0.051451876672163235,-0.11735713390665455,-0.022111623086640542,0.29360193468147744,-0.1722148169218052,-0.045560444967317516,-0.07795832592000479,0.07658671116974884,-0.060314562219528516,0.05070867456134618
qurater,0.3046009334893116,0.9999999999999999,0.3242383036942813,0.11534330144561951,0.42831033395430285,0.2845469777682259,0.22928572895143748,-0.03180617936567637,0.18640455022026814,0.18596212478477375,0.20883572382608795,0.08557132271940672,0.051047661779388576,0.03247008958694439,-0.07575209588120081,0.1398770701018209,-0.029065670606757587,0.025313328928047017,-0.09691721243616593,0.15711719112433256,0.04581733319293942,0.06227181164034843
modernbert_reasoning,-0.1617271387495977,0.3242383036942813,1.0,0.6291898631568952,0.21001725439479513,-0.10952441444128916,0.29638476826207333,0.18658042710567008,-0.10387988683181212,-0.11073204152517079,0.0041633589270687376,0.08626993962950226,0.05732565967317757,0.22994002212584339,-0.2671513602297522,-0.12973590317508907,0.12554440599852615,0.08664370719005345,0.1004484539871168,-0.049820416456855345,0.19928640359069996,0.0404423266854963
modernbert_professionalism,-0.36010691277997436,0.11534330144561951,0.6291898631568953,1.0,0.06302590506829588,-0.4325907658296846,0.37717242200235224,0.40133069711610236,-0.5926902427813624,-0.5957603868250307,-0.4914952692116598,0.08565436398741977,0.052923064765346015,0.11742245755867689,-0.12140993188217565,-0.5203943125172175,0.12410419382026182,-0.02196019235915012,0.27975570077038786,-0.2540960916467115,0.0879593396983473,0.007899217503986233
fluency_en,0.2977945315694043,0.4283103339543028,0.21001725439479516,0.06302590506829588,1.0,0.2094178853966474,0.2509546068317722,0.20716772607305994,0.15114634739980046,0.15210629955386518,0.15691638332361627,0.07290757280418031,0.04050112403601298,-0.056137762947784386,-0.08056884582291876,0.1142657703989088,-0.11212920235048304,-0.020817579475342466,0.057829210586743736,-0.04371365491496732,0.060086737961088474,0.03769909991468038
modernbert_readability,0.3266677980820984,0.2845469777682259,-0.10952441444128914,-0.43259076582968453,0.20941788539664738,1.0,0.1140414409892252,-0.32775323603622225,0.5413159389894429,0.5447728139863728,0.47420637101681634,0.04199181114177127,0.030892121019094193,-0.030020848543285843,0.11021673252227075,0.5514107541603195,-0.08210697916100004,0.030754454544993346,-0.35644752662864265,0.32066999928028445,-0.008967046464854385,0.05156622772156153
modernbert_cleanliness,-0.026820828053425477,0.22928572895143748,0.29638476826207333,0.3771724220023523,0.2509546068317722,0.11404144098922521,1.0,0.2484656729879237,-0.16117463448764827,-0.16227714989436362,-0.1589920671381112,0.08833630283929697,0.052619914274629274,-0.15023010582045176,0.06602322954958047,-0.10421632304635076,-0.05339362215763768,-0.06208089619799233,0.06453189378009415,-0.1200817861564282,0.11117654405290636,0.028179550197277064
ad_en,-0.14627840265005743,-0.031806179365676375,0.18658042710567008,0.4013306971161023,0.20716772607305997,-0.32775323603622225,0.2484656729879237,1.0,-0.3952156986178711,-0.39542351642527357,-0.3621178333730465,-0.03392745067483651,-0.03553745742535467,-0.09704758471094176,-0.06793880652029421,-0.3827826161055447,-0.0349824137218162,-0.07329958160212484,0.22637660940195437,-0.2112438940526131,-0.002538209149670415,-0.018381439488231694
dsir_books,0.36703621383276014,0.18640455022026814,-0.10387988683181212,-0.5926902427813623,0.15114634739980046,0.5413159389894429,-0.1611746344876483,-0.3952156986178711,1.0,0.999641453450192,0.9697742444513885,0.06783223052849989,0.04737421428823466,0.013215411692081281,-0.06376097423090756,0.8198255093045113,-0.16694194551722497,0.13615003542607332,-0.33587309330453924,0.35820472383290625,0.1377456735493779,0.0897846749983657
dsir_wiki,0.37035978486467647,0.18596212478477375,-0.11073204152517079,-0.5957603868250307,0.15210629955386518,0.5447728139863728,-0.16227714989436362,-0.39542351642527357,0.999641453450192,0.9999999999999999,0.9682105514699962,0.0672961124989346,0.046883331593266526,0.013153357531052472,-0.058180274150470904,0.8180986859850385,-0.17081787297219467,0.13534218747899965,-0.3348621410007652,0.3559455314670164,0.12825672930280654,0.0896487799734075
