,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,1.0,0.6479340168044087,0.40937057548376865,0.45003684034903624,0.1977094453062825,0.26582721005275667,0.1432102864983557,0.05619732026797735,0.11794443253100313,0.13517859926731393,0.14095959073566713,0.019754265718368837,0.05090737425060711,0.05697969625824962,-0.030136599054096484,0.24926908501767192,0.039776258178910756,0.055967278596272985,0.12360525862549475,0.024913522400494475,0.09323869339142793,0.019870282551868627
qurater,0.6479340168044087,0.9999999999999999,0.44205880417425014,0.5309959829000358,0.4459299891177268,0.48019678146571954,0.36075709364434966,-0.006920057487714294,0.18395669544599524,0.20540079826466215,0.20187293374718251,0.030715204145137617,0.06130509274947969,0.1037440256030637,0.030992988301627184,0.4357280749936739,0.1289427118215197,0.1354400303680468,0.15337757949665087,0.10092478671124182,0.19749206799399896,0.021236912747929364
modernbert_reasoning,0.4093705754837687,0.4420588041742501,1.0,0.7635889189245806,0.047598620916533226,0.3241738463338142,0.34688538749919556,-0.056383824976205754,0.5868040265271185,0.5795498420475971,0.6045313919133409,0.034904856588498796,0.08365394226545952,0.5011121823687957,-0.016069894530653366,0.24567193925092604,0.36895431592702754,0.4055637570630247,0.31796657492304875,0.2530869779148454,0.17243102061175444,0.02276371319107035
modernbert_professionalism,0.4500368403490363,0.5309959829000358,0.7635889189245806,1.0,-0.012864567256161545,0.29849844908641127,0.1955080300266903,-0.01907761649946574,0.4294101330725503,0.46138005236168195,0.48355449937739853,0.03127485194480514,0.05776107969089616,0.42937718618001325,-0.035882631730944324,0.27066821192999124,0.2578272689441025,0.2667259602171601,0.10149250672476615,-0.008147520357864679,0.02433352742327094,0.021575382367497252
fluency_en,0.1977094453062825,0.44592998911772685,0.047598620916533226,-0.012864567256161544,1.0,0.46798307894421776,0.5146668826666194,0.26434033276829266,-0.11605627318682521,-0.11262427634634851,-0.13671693821650363,0.014358010652164134,0.05417646380416335,-0.22627731212863827,-0.044813204962672694,0.251217439306529,-0.033414022832201,-0.033374120949637376,0.2146688323066314,0.28899609627356176,0.14220041972777778,0.02350310122992834
modernbert_readability,0.26582721005275667,0.48019678146571954,0.3241738463338142,0.2984984490864112,0.4679830789442177,1.0,0.5613106580657511,0.02875071894739411,0.15582987793338876,0.1678082656770662,0.16181923546104315,0.013738863472167493,0.0713364269813991,0.1337870710114605,-0.01982821666578773,0.24745719480253633,0.08340503550797038,0.09335379926568355,0.1605002903886917,0.2127887477803007,0.09876784059126198,0.011503869365065228
modernbert_cleanliness,0.1432102864983557,0.36075709364434966,0.3468853874991956,0.1955080300266903,0.5146668826666194,0.561310658065751,1.0,0.17474038806775374,0.2157364721437368,0.2072615345204667,0.19252494972990536,0.024553038094472703,0.06970604431710666,0.08125180117942818,-0.0709192642094041,0.19130885656919244,0.1554732588113708,0.18368027439287074,0.3340056498289364,0.4763340118632272,0.21555376267142815,0.024129090770156354
ad_en,0.05619732026797735,-0.006920057487714295,-0.056383824976205754,-0.019077616499465745,0.26434033276829266,0.02875071894739411,0.17474038806775374,1.0,-0.0756354626128821,-0.07096071544775023,-0.09491928153781,-0.02978009018743304,-0.04181937423030373,-0.10786687698672424,-0.07054402147005659,-0.1773125511643873,0.00024106565530395883,-0.010460055456074884,0.026698863457479113,0.03134422090538515,-0.08221797471305413,0.010389658464414652
dsir_books,0.11794443253100313,0.18395669544599524,0.5868040265271185,0.4294101330725503,-0.11605627318682521,0.15582987793338876,0.2157364721437368,-0.0756354626128821,1.0,0.9906954740216863,0.9907623784194556,0.03497078389369461,0.09830182172291142,0.8939972675797309,0.08614251143342531,0.12088188564295593,0.5848094555499468,0.6492522392792363,0.28340516925861764,0.27222801578920774,0.22256602891224508,0.024937727098227516
dsir_wiki,0.13517859926731393,0.20540079826466212,0.5795498420475971,0.46138005236168195,-0.11262427634634851,0.1678082656770662,0.2072615345204667,-0.07096071544775023,0.9906954740216863,1.0,0.9926416748321494,0.0349561444761397,0.09833932587824402,0.8987595593232689,0.08837214951130642,0.14220964579776543,0.5745956446607439,0.6358864682931423,0.2542786344647843,0.2384890239219268,0.19095981291375025,0.024937727098227516
