,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,1.0,0.6719304423348991,0.46014234315953323,0.4306240853497225,0.43269302905909146,0.5751033923888623,0.41599335600652493,0.19980941098719301,0.5225202359395391,0.5102800273921654,0.5052210007585208,0.4124898205399652,0.2680108861634937,0.39812812369045014,0.12733585310713752,0.25482740424042993,0.18824204363767288,-0.05324471583918276,-0.033220320938160575,0.1800967164766168,-0.028907824533350324,0.023214954675809456
qurater,0.6719304423348991,0.9999999999999999,0.5462140980136647,0.5496646297813073,0.47067408774687025,0.6302601720822303,0.5060753737073985,0.16636110351004316,0.6463564709525912,0.6436387914241852,0.637497840217921,0.35489788065840017,0.2587637659999331,0.5135306945237652,0.21193334717265888,0.3632924212281085,0.27084209048845614,0.04776680593625585,-0.0116044415564859,0.16401117651626032,-0.038369367411030635,0.008075451735295381
modernbert_reasoning,0.46014234315953323,0.5462140980136647,1.0,0.8050745757819145,-0.036655432488693664,0.33291647074429803,0.6664344739758857,-0.38761457074968625,0.6766021591651902,0.6457654980795378,0.6797918347845986,0.5156754081200843,0.39279960401760106,0.7480283816094936,0.47115129878648937,0.027741025656074524,0.4124184838102596,0.13205308612303654,-0.1802199108060504,0.40653954558559624,0.06327189602018654,0.02949110146640383
modernbert_professionalism,0.4306240853497226,0.5496646297813073,0.8050745757819147,1.0,-0.03330082436227143,0.18775642897868597,0.5362248967769864,-0.20867899582662033,0.4745557127724045,0.44749477948363275,0.48199471459683907,0.26734381745593494,0.3215211781431132,0.5716829207455268,0.3900018663259437,0.06617692160013718,0.33293215375427204,0.21564273490439895,-0.12000000247308003,0.33188469084135647,0.0994641356874947,0.0060459429255863215
fluency_en,0.43269302905909157,0.47067408774687025,-0.036655432488693664,-0.03330082436227143,1.0,0.5230608213881481,0.13992475632434467,0.5306778861732523,0.28206046998382606,0.30464858297199576,0.2701405139754833,0.017147342032314203,0.030039691239126285,-0.010486128031217018,-0.2464511471543696,0.4938559900390654,-0.06695038618637797,-0.06654407543087344,-0.001628178481817079,-0.01797133638813739,0.023162593404727688,0.020720674023058053
modernbert_readability,0.5751033923888623,0.6302601720822303,0.33291647074429803,0.18775642897868594,0.5230608213881481,1.0,0.4735313811125554,0.1722792122581305,0.6607383948627849,0.6808639602890348,0.6565161881896237,0.47344287848182764,0.19123857834271735,0.5146045820198963,0.14649717539403925,0.28740274872065175,0.21763140496448682,-0.09248674553055491,0.09035266463549053,0.01654465345206577,-0.20392062590003182,0.02763801625139224
modernbert_cleanliness,0.4159933560065249,0.5060753737073985,0.6664344739758857,0.5362248967769864,0.13992475632434467,0.47353138111255544,1.0,-0.17511576000671408,0.7421532715287819,0.7324063455048272,0.7432021260195378,0.42715824579220607,0.39997459961417803,0.7299623662739716,0.3741251494925561,0.053834682243006395,0.4001505136441174,0.12686699144836072,-0.1577025707524084,0.4400549454942198,-0.09544801991850302,0.042650959894041406
ad_en,0.19980941098719304,0.16636110351004316,-0.38761457074968625,-0.20867899582662033,0.5306778861732522,0.1722792122581305,-0.17511576000671408,1.0,-0.13211599556070586,-0.10613601869466473,-0.14514556961333602,-0.22686949312297452,-0.09709036565854241,-0.3091864679779017,-0.29505314383153913,0.23064485309873786,-0.21805119184669894,-0.016632353292292398,0.12150058402689838,-0.20774023075448428,-0.13075622192620834,-0.0007484804368970473
dsir_books,0.5225202359395391,0.6463564709525913,0.6766021591651902,0.4745557127724045,0.28206046998382606,0.6607383948627849,0.742153271528782,-0.13211599556070586,1.0,0.9950171786181419,0.9957133978531082,0.6136127450821566,0.39126398151655145,0.8831772463213398,0.4055415183393232,0.15619779500339212,0.4518028311962167,0.025940676816260364,-0.05626022284696248,0.2611906032465701,-0.14004097764152945,0.04598055536840179
dsir_wiki,0.5102800273921654,0.6436387914241852,0.6457654980795378,0.44749477948363275,0.30464858297199576,0.6808639602890348,0.7324063455048272,-0.10613601869466471,0.9950171786181419,1.0,0.9960357305283335,0.6094434913454361,0.38639719990601273,0.8734527367143249,0.41050841259357806,0.15780320632382117,0.4394814357534204,0.021776815246858143,-0.04139663699999532,0.23615530036559743,-0.1628692301260202,0.04598476688227106
dsir_math,0.5052210007585209,0.637497840217921,0.6797918347845986,0.48199471459683907,0.2701405139754833,0.6565161881896237,0.743202126019538,-0.14514556961333602,0.9957133978531082,0.9960357305283335,1.0,0.6164793868165352,0.3925721810357922,0.8945546438146504,0.43100315499528746,0.1444530981811428,0.4540113013389907,0.032321304042355815,-0.05176939408382591,0.25241782167626386,-0.15341996409943878,0.04600041824726294
rps_doc_word_count,0.4124898205399652,0.3548978806584002,0.5156754081200843,0.26734381745593494,0.017147342032314203,0.4734428784818277,0.4271582457922061,-0.22686949312297452,0.6136127450821566,0.609443491345436,0.6164793868165352,1.0,0.4607913001567032,0.6657369999187314,0.42285159625176205,-0.13023871457463065,0.23953403322688435,-0.23968252825524056,0.0332613861652752,0.10309763091124373,-0.24013967410852832,0.04188022524510182
rps_doc_num_sentences,0.2680108861634937,0.2587637659999331,0.39279960401760106,0.32152117814311326,0.030039691239126285,0.19123857834271737,0.3999745996141781,-0.09709036565854241,0.3912639815165515,0.3863971999060128,0.39257218103579217,0.4607913001567032,0.9999999999999999,0.40409800411435265,0.29146373449133917,-0.007773970082830492,0.12405569229552425,-0.006290527501799943,-0.1710508542292209,0.29681433377889893,-0.09375317763172994,0.057771929258154664
