domain,score,top30_threshold,conflict_rate_in_top30,conflict_rate_overall,kappa_range_mean_top30
github,Q_lin,0.6183465262735978,0.15864080092318247,0.05152232493731053,0.49757098491124685
github,Q_resolved,0.5514492686775248,0.1515142064061379,0.05152232493731053,0.49828531067693693
github,overlap_top30_Jaccard,,0.8427276253969166,,
arxiv,Q_lin,0.8572536978982885,0.0014077071969030442,0.15399641009397108,0.4109934793543826
arxiv,Q_resolved,0.8268646034747702,0.0,0.15399641009397108,0.39284082167805834
arxiv,overlap_top30_Jaccard,,0.7998416468725257,,
c4,Q_lin,0.7757251351963399,0.051666666666666666,0.4547,0.4506401808799131
c4,Q_resolved,0.6485537093119922,0.029333333333333333,0.4547,0.4322129785540593
c4,overlap_top30_Jaccard,,0.8231540565177757,,
stackexchange,Q_lin,0.738054633328224,0.22566666666666665,0.1344,0.4343625618939942
stackexchange,Q_resolved,0.677321163283382,0.268,0.1344,0.4579269661849177
stackexchange,overlap_top30_Jaccard,,0.7678255745433117,,
wikipedia,Q_lin,0.6942025841086253,0.07466666666666667,0.0823,0.37176163161647213
wikipedia,Q_resolved,0.5902732142137523,0.04666666666666667,0.0823,0.353225234593321
wikipedia,overlap_top30_Jaccard,,0.8354236769654328,,
commoncrawl,Q_lin,0.7805785278117592,0.02455048409405256,0.20217842323651453,0.32447264572571966
commoncrawl,Q_resolved,0.6726374241275792,0.045988934993084374,0.20217842323651453,0.31372334425616144
commoncrawl,overlap_top30_Jaccard,,0.7775046097111248,,
book,Q_lin,0.7768856459301999,0.019230769230769232,0.23391812865497075,0.40089441101118545
book,Q_resolved,0.7104509601325533,0.057692307692307696,0.23391812865497075,0.43339276691676
book,overlap_top30_Jaccard,,0.7333333333333333,,
