target,model,hyper,cv_R2
loss_arxiv,quad_ridge,1e-06,0.4357588155620129
loss_arxiv,quad_ridge,1e-05,0.482759367313771
loss_arxiv,quad_ridge,0.0001,0.5372507000264485
loss_arxiv,quad_ridge,0.001,0.5936104043549171
loss_arxiv,quad_ridge,0.01,0.6354528350091158
loss_arxiv,quad_ridge,0.03,0.6433452797429295
loss_arxiv,quad_ridge,0.1,0.613207480610067
loss_arxiv,quad_ridge,0.3,0.5499464277297202
loss_arxiv,quad_ridge,1.0,0.4616586174302577
loss_freelaw,quad_ridge,1e-06,0.6580014500931977
loss_freelaw,quad_ridge,1e-05,0.6900963899782944
loss_freelaw,quad_ridge,0.0001,0.7201516629419449
loss_freelaw,quad_ridge,0.001,0.7442556672011069
loss_freelaw,quad_ridge,0.01,0.7645894705385073
loss_freelaw,quad_ridge,0.03,0.7615930954937041
loss_freelaw,quad_ridge,0.1,0.7253235133031888
loss_freelaw,quad_ridge,0.3,0.657965487112651
loss_freelaw,quad_ridge,1.0,0.5408944922741822
loss_pubmed_central,quad_ridge,1e-06,0.4867477738829986
loss_pubmed_central,quad_ridge,1e-05,0.5260241524762166
loss_pubmed_central,quad_ridge,0.0001,0.5638599641250164
loss_pubmed_central,quad_ridge,0.001,0.6086099221004937
loss_pubmed_central,quad_ridge,0.01,0.6525747986759514
loss_pubmed_central,quad_ridge,0.03,0.6571615881661632
loss_pubmed_central,quad_ridge,0.1,0.6289073680159085
loss_pubmed_central,quad_ridge,0.3,0.5732616112854338
loss_pubmed_central,quad_ridge,1.0,0.4807419046427891
loss_wikipedia_en,quad_ridge,1e-06,0.7334938311238037
loss_wikipedia_en,quad_ridge,1e-05,0.7433550167778129
loss_wikipedia_en,quad_ridge,0.0001,0.7643589689977606
loss_wikipedia_en,quad_ridge,0.001,0.7924995737087168
loss_wikipedia_en,quad_ridge,0.01,0.7977332178938316
loss_wikipedia_en,quad_ridge,0.03,0.7732893980473629
loss_wikipedia_en,quad_ridge,0.1,0.7201795054929555
loss_wikipedia_en,quad_ridge,0.3,0.6359094727204297
loss_wikipedia_en,quad_ridge,1.0,0.3999127534998652
loss_dm_mathematics,quad_ridge,1e-06,0.3136817397791164
loss_dm_mathematics,quad_ridge,1e-05,0.37513563819856444
loss_dm_mathematics,quad_ridge,0.0001,0.4095238654629757
loss_dm_mathematics,quad_ridge,0.001,0.36567954089672816
loss_dm_mathematics,quad_ridge,0.01,0.36923684832246806
loss_dm_mathematics,quad_ridge,0.03,0.3862163996629857
loss_dm_mathematics,quad_ridge,0.1,0.3990310936308106
loss_dm_mathematics,quad_ridge,0.3,0.3909805721165215
loss_dm_mathematics,quad_ridge,1.0,0.3392906365979892
loss_github,quad_ridge,1e-06,0.6108749522407706
loss_github,quad_ridge,1e-05,0.6314961406371199
loss_github,quad_ridge,0.0001,0.6549523966218942
loss_github,quad_ridge,0.001,0.6805924104371086
loss_github,quad_ridge,0.01,0.7050239778935812
loss_github,quad_ridge,0.03,0.7055398080906439
loss_github,quad_ridge,0.1,0.6719428861070813
loss_github,quad_ridge,0.3,0.6080473671470037
loss_github,quad_ridge,1.0,0.5230764432306241
loss_stackexchange,quad_ridge,1e-06,0.618105898180543
loss_stackexchange,quad_ridge,1e-05,0.6449580339951531
loss_stackexchange,quad_ridge,0.0001,0.6758189127202594
loss_stackexchange,quad_ridge,0.001,0.705518034128692
loss_stackexchange,quad_ridge,0.01,0.7264725492285352
loss_stackexchange,quad_ridge,0.03,0.7236341523901935
loss_stackexchange,quad_ridge,0.1,0.6830272328237981
loss_stackexchange,quad_ridge,0.3,0.6053965769090157
loss_stackexchange,quad_ridge,1.0,0.4787128440371611
loss_gutenberg_pg_19,quad_ridge,1e-06,0.6918194943649227
loss_gutenberg_pg_19,quad_ridge,1e-05,0.7134676987933976
loss_gutenberg_pg_19,quad_ridge,0.0001,0.7445336389723767
loss_gutenberg_pg_19,quad_ridge,0.001,0.7668069948183206
loss_gutenberg_pg_19,quad_ridge,0.01,0.734822784657881
loss_gutenberg_pg_19,quad_ridge,0.03,0.7188060728719323
loss_gutenberg_pg_19,quad_ridge,0.1,0.6867670883276197
loss_gutenberg_pg_19,quad_ridge,0.3,0.6069130068724526
loss_gutenberg_pg_19,quad_ridge,1.0,0.33615725093696924
loss_pile_cc,quad_ridge,1e-06,0.8238479427324573
loss_pile_cc,quad_ridge,1e-05,0.8349936101552555
loss_pile_cc,quad_ridge,0.0001,0.8480687231159554
loss_pile_cc,quad_ridge,0.001,0.8588495660455185
loss_pile_cc,quad_ridge,0.01,0.8654567591261826
loss_pile_cc,quad_ridge,0.03,0.8495720579825651
loss_pile_cc,quad_ridge,0.1,0.7774804422640369
loss_pile_cc,quad_ridge,0.3,0.6006472251568463
loss_pile_cc,quad_ridge,1.0,0.02007706081496985
loss_ubuntu_irc,quad_ridge,1e-06,0.5716479379496888
loss_ubuntu_irc,quad_ridge,1e-05,0.597356153406482
loss_ubuntu_irc,quad_ridge,0.0001,0.5585019698649527
loss_ubuntu_irc,quad_ridge,0.001,0.4999899956615784
loss_ubuntu_irc,quad_ridge,0.01,0.5067989665328522
loss_ubuntu_irc,quad_ridge,0.03,0.5202849428091909
loss_ubuntu_irc,quad_ridge,0.1,0.5279771588769807
loss_ubuntu_irc,quad_ridge,0.3,0.5016486341160223
loss_ubuntu_irc,quad_ridge,1.0,0.38509425552186394
loss_hackernews,quad_ridge,1e-06,0.7533657613823926
loss_hackernews,quad_ridge,1e-05,0.7170755319721558
loss_hackernews,quad_ridge,0.0001,0.6650395141692598
loss_hackernews,quad_ridge,0.001,0.6784633578517242
loss_hackernews,quad_ridge,0.01,0.6858092224138691
loss_hackernews,quad_ridge,0.03,0.6766836659894132
loss_hackernews,quad_ridge,0.1,0.6365281613646998
loss_hackernews,quad_ridge,0.3,0.5251507308965488
loss_hackernews,quad_ridge,1.0,0.11869318818836294
loss_pubmed_abstracts,quad_ridge,1e-06,0.811151909626025
loss_pubmed_abstracts,quad_ridge,1e-05,0.8215686783277979
loss_pubmed_abstracts,quad_ridge,0.0001,0.8361228278895831
loss_pubmed_abstracts,quad_ridge,0.001,0.8468492691137399
loss_pubmed_abstracts,quad_ridge,0.01,0.8407573098395036
loss_pubmed_abstracts,quad_ridge,0.03,0.8182989977346602
loss_pubmed_abstracts,quad_ridge,0.1,0.7756070681565469
loss_pubmed_abstracts,quad_ridge,0.3,0.7064466428135905
loss_pubmed_abstracts,quad_ridge,1.0,0.5285259162224569
loss_uspto_backgrounds,quad_ridge,1e-06,0.7768979031890937
