set,model,k,precision_at_k,true_rank_of_pred_best
test_1M,M1_Scheffe_linear,5,0.2,193
test_1M,M1_Scheffe_linear,10,0.2,193
test_1M,M1_Scheffe_linear,20,0.25,193
test_1M,M2_Scheffe_quadratic_ridge,5,0.0,22
test_1M,M2_Scheffe_quadratic_ridge,10,0.2,22
test_1M,M2_Scheffe_quadratic_ridge,20,0.3,22
test_1M,M3_mixing_law_exp,5,0.2,32
test_1M,M3_mixing_law_exp,10,0.2,32
test_1M,M3_mixing_law_exp,20,0.25,32
test_1M,M5_LightGBM,5,0.4,10
test_1M,M5_LightGBM,10,0.7,10
test_1M,M5_LightGBM,20,0.85,10
test_1M,M6_log_share,5,0.4,1
test_1M,M6_log_share,10,0.6,1
test_1M,M6_log_share,20,0.9,1
test_60M,M1_Scheffe_linear,5,0.0,226
test_60M,M1_Scheffe_linear,10,0.1,226
test_60M,M1_Scheffe_linear,20,0.2,226
test_60M,M2_Scheffe_quadratic_ridge,5,0.0,26
test_60M,M2_Scheffe_quadratic_ridge,10,0.2,26
test_60M,M2_Scheffe_quadratic_ridge,20,0.25,26
test_60M,M3_mixing_law_exp,5,0.0,38
test_60M,M3_mixing_law_exp,10,0.1,38
test_60M,M3_mixing_law_exp,20,0.2,38
test_60M,M5_LightGBM,5,0.6,3
test_60M,M5_LightGBM,10,0.8,3
test_60M,M5_LightGBM,20,0.8,3
test_60M,M6_log_share,5,0.4,2
test_60M,M6_log_share,10,0.7,2
test_60M,M6_log_share,20,0.75,2
test_1B,M1_Scheffe_linear,5,0.2,34
test_1B,M1_Scheffe_linear,10,0.5,34
test_1B,M1_Scheffe_linear,20,0.6,34
test_1B,M2_Scheffe_quadratic_ridge,5,0.4,64
test_1B,M2_Scheffe_quadratic_ridge,10,0.6,64
test_1B,M2_Scheffe_quadratic_ridge,20,0.5,64
test_1B,M3_mixing_law_exp,5,0.2,34
test_1B,M3_mixing_law_exp,10,0.5,34
test_1B,M3_mixing_law_exp,20,0.6,34
test_1B,M5_LightGBM,5,0.4,1
test_1B,M5_LightGBM,10,0.6,1
test_1B,M5_LightGBM,20,0.65,1
test_1B,M6_log_share,5,0.4,1
test_1B,M6_log_share,10,0.6,1
test_1B,M6_log_share,20,0.65,1
