scale_a,scale_b,spearman,sign_agreement
1M(train),1M(train+test),0.786764705882353,0.7647058823529411
1M(train),60M(test),0.5955882352941178,0.8235294117647058
1M(train),1B(test),0.4191176470588236,0.8235294117647058
1M(train),10B(est),-0.35784313725490197,0.6470588235294118
1M(train),70B(est),-0.34313725490196084,0.6470588235294118
1M(train+test),60M(test),0.8627450980392157,0.9411764705882353
1M(train+test),1B(test),0.7034313725490197,0.9411764705882353
1M(train+test),10B(est),-0.10294117647058824,0.6470588235294118
1M(train+test),70B(est),-0.08823529411764706,0.6470588235294118
60M(test),1B(test),0.786764705882353,0.8823529411764706
60M(test),10B(est),0.0,0.7058823529411765
60M(test),70B(est),0.02450980392156863,0.7058823529411765
1B(test),10B(est),-0.007352941176470588,0.7058823529411765
1B(test),70B(est),-0.03676470588235294,0.7058823529411765
10B(est),70B(est),0.9901960784313727,1.0
