,1M(train),1M(train+test),60M(test),1B(test),10B(est),70B(est)
arxiv,0.03153598672023129,0.036485475797774336,0.03634167088582918,0.004308477356135244,-0.0052913368274182205,-0.006471717623365345
freelaw,0.041179543171656965,0.0416801603780284,0.04046594736399901,0.011637093317193342,-0.011196143231844726,-0.013561261822684138
nih_exporter,-0.2051970994188892,-0.21268951934814956,-0.1992194660483816,0.030696035894896626,-0.04824997745548742,-0.025880353736093778
pubmed_central,0.02409536690207112,0.021981830583618914,0.01156457728637119,0.02573279597210915,0.0006753053236738963,-0.0010483639279116432
wikipedia_en,0.009789446707285617,0.009673753051313707,0.0037174878137397767,0.002302588434373181,-0.006800572675403668,-0.00722379905000478
dm_mathematics,-0.1160341516793556,-0.1320358440783075,-0.06690218629594005,-0.07618277505842982,0.03759707256479699,0.04256162242599169
github,0.03849932670736063,0.041471101839911664,0.033851790643047254,-0.0018020838667613809,-0.007181801673433134,-0.008577109172140175
philpapers,-0.4171178861471227,-0.3236889034962273,-0.12371121901003598,-0.1274895590161201,-0.13004518493524378,-0.09668540934999761
stackexchange,-0.004463415840962481,-0.003967726462000455,-0.008344567050722014,-0.016345491726113368,0.010867184190873085,0.013498609047270991
enron_emails,-0.43946064862719625,-0.5132304549520715,-0.4214730832453947,-0.2205008555555422,-0.13787839074951153,-0.0993065487122988
gutenberg_pg_19,-0.015528029992864836,-0.024725068331634417,-0.03449159058670259,-0.036363189382401385,0.003128621299635155,0.002205133129356772
pile_cc,0.017481565053581692,0.013885848701880686,0.004673042804264512,0.0011057575966057077,0.0026458783539922075,0.0007643218717740495
ubuntu_irc,-0.2094736983671298,-0.18032012641277748,-0.08833093457768434,-0.02324923510223856,0.04753578905829446,0.0685236380109233
europarl,-0.10765291816057135,-0.08334795004076521,-0.030231542551861813,-0.029974645293771297,-0.0019069670239758646,0.007157551596610144
hackernews,-0.1781214625268187,-0.19756207623851252,-0.204575179695713,-0.17211361457325783,0.031046783885693402,0.04540035021003036
pubmed_abstracts,-0.006988418409898304,-0.008192724817630398,-0.009366499329541146,-0.006820808522898085,0.01577287026614501,0.014727631828970435
uspto_backgrounds,0.011191276937499552,0.01296601871337978,0.006957071337048517,0.0017780775744546922,0.0005721290693120766,-0.002658350771492644
