,1M(train),1M(train+test),60M(test),1B(test),10B(est),70B(est)
arxiv,0.0,0.0,0.0,0.0,0.0,0.0
freelaw,0.0,0.0,0.0,0.0,0.8609189189189189,0.8609189189189189
nih_exporter,0.058,0.058,0.058,0.0,0.058,0.058
pubmed_central,0.0,0.0,0.0,0.0,0.0,0.0
wikipedia_en,0.0,0.0,0.0,0.0,0.0,0.0
dm_mathematics,0.2392392392392392,0.2392392392392392,0.2392392392392392,0.2392392392392392,0.0,0.0
github,0.0,0.0,0.0,0.0,0.0,0.0
philpapers,0.055055055055055056,0.055055055055055056,0.055055055055055056,0.055055055055055056,0.055055055055055056,0.055055055055055056
stackexchange,0.0,0.0,0.0,0.0,0.0,0.0
enron_emails,0.026026026026026026,0.026026026026026026,0.026026026026026026,0.026026026026026026,0.026026026026026026,0.026026026026026026
gutenberg_pg_19,0.2074424424424426,0.2074424424424426,0.32455955955955973,0.4044044044044044,0.0,0.0
pile_cc,0.0,0.0,0.0,0.0,0.0,0.0
ubuntu_irc,0.177,0.177,0.177,0.03803803803803818,0.0,0.0
europarl,0.11711711711711714,0.11711711711711714,0.0,0.11711711711711714,0.0,0.0
hackernews,0.12012012012012012,0.12012012012012012,0.12012012012012012,0.12012012012012012,0.0,0.0
pubmed_abstracts,0.0,0.0,0.0,0.0,0.0,0.0
uspto_backgrounds,0.0,0.0,0.0,0.0,0.0,0.0
