model                  M1_Scheffe_linear  M2_Scheffe_quadratic_ridge  M3_mixing_law_exp  M4_linear_ownlog  M5_LightGBM  M6_log_share
train_R2                          0.6052                      0.8292             0.8343            0.9020       0.9988        0.9307
cv5_R2                            0.5737                      0.7086             0.8182            0.8946       0.9723        0.9210
test_1M_R2                        0.5977                      0.7290             0.8380            0.9102       0.9788        0.9268
test_1M_RMSE                      0.4378                      0.3672             0.2406            0.1903       0.0900        0.1669
test_1M_MAE                       0.3711                      0.2956             0.1952            0.1422       0.0621        0.1300
test_1M_pearson                   0.7779                      0.8583             0.9245            0.9571       0.9904        0.9656
test_1M_spearman                  0.8160                      0.8644             0.9372            0.9667       0.9883        0.9705
test_1M_kendall                   0.6444                      0.6970             0.8192            0.8502       0.9232        0.8604
test_60M_spearman                 0.8100                      0.8681             0.9275            0.9626       0.9804        0.9656
test_60M_kendall                  0.6371                      0.7009             0.8033            0.8393       0.8970        0.8474
test_60M_pearson                  0.7642                      0.8566             0.9085            0.9453       0.9800        0.9544
test_60M_recal_R2_cv2             0.5828                      0.7323             0.8315            0.8926       0.9593        0.9090
test_1B_spearman                  0.6873                      0.8023             0.8823            0.9173       0.9303        0.9086
test_1B_kendall                   0.5325                      0.6587             0.7743            0.7784       0.8153        0.7682
test_1B_pearson                   0.6147                      0.6992             0.8529            0.9103       0.9348        0.9221
test_1B_recal_R2_cv2              0.2314                      0.3610             0.7276            0.7904       0.8674        0.8263
