set,,A2,A3
domain,,arxiv,github
fineweb_edu,mean,2.148264652953051,1.1424671920027232
fineweb_edu,median,2.141411781311035,1.139944612979889
qurater,mean,4.494736330738141,-0.6601164674855828
qurater,median,4.698974609375,-0.5952072143554688
modernbert_reasoning,mean,4.966795197819232,1.1520238082657044
modernbert_reasoning,median,4.999950944247634,1.0009215021929347
modernbert_professionalism,mean,4.987471705307325,4.245991860380519
modernbert_professionalism,median,4.999920049985889,4.400655625363267
fluency_en_p1,mean,0.971441789717903,0.5474301034288397
fluency_en_p1,median,0.9945730566510748,0.5607939212485697
modernbert_readability,mean,4.7101426699614315,2.843318369437871
modernbert_readability,median,4.755634384396686,2.870753692122037
modernbert_cleanliness,mean,4.9621130812646586,2.0547538797823504
modernbert_cleanliness,median,4.997438579924913,1.99983148116669
ad_prob,mean,0.01147036750972831,0.023627996918139937
ad_prob,median,0.001242417358103598,0.005060332031965986
dsir_books_pw,mean,-7.587487410163998,-21.693839915187162
dsir_books_pw,median,-6.479790904737864,-19.744019084389564
dsir_wiki_pw,mean,-7.49559871290223,-21.739265345713925
dsir_wiki_pw,median,-6.378338081745086,-19.77493479615012
dsir_math_pw,mean,-5.112690267158292,-20.518434190783903
dsir_math_pw,median,-4.356420447933377,-18.53219933950816
log_word_count,mean,8.59569024349915,4.724942422131364
log_word_count,median,8.633731007664188,4.718498871295094
log_num_sentences,mean,5.838920186449181,3.028011361478931
log_num_sentences,median,5.872117789475416,3.091042453358316
rps_doc_unigram_entropy,mean,5.927951075331279,3.8449947976408576
rps_doc_unigram_entropy,median,5.94903939,3.895864535
uniq_heaps_resid,mean,-0.012495925243582605,0.0010746696868874463
uniq_heaps_resid,median,0.010178236117915684,0.03283586705794472
rps_doc_frac_no_alph_words,mean,30.466363159836106,35.358940170963606
rps_doc_frac_no_alph_words,median,29.587024042332917,35.049153834589696
top2_clip,mean,1.1612780134137812,3.818676626487102
top2_clip,median,0.9839816933638444,2.0
top3_clip,mean,0.8996134853295932,3.1702314578507207
top3_clip,median,0.6756373133480952,1.0
rps_lines_uppercase_letter_fraction,mean,19.032866450123567,22.916413592601607
rps_lines_uppercase_letter_fraction,median,16.833309059748657,21.34579974504785
rps_lines_ending_with_terminal_punctution_mark,mean,34.97276860637075,24.58359524384519
rps_lines_ending_with_terminal_punctution_mark,median,32.77777777777778,22.22222222222222
rps_lines_numerical_chars_fraction,mean,4.123259840350197,1.5020861096981346
rps_lines_numerical_chars_fraction,median,3.098983671703756,0.6035052135507961
rps_doc_mean_word_length,mean,5.81818027983391,9.740660206988185
rps_doc_mean_word_length,median,5.728257686676428,8.981537852449646
