indicator,dimension_by_theory,cluster_k4,cluster_k6
fineweb_edu,D1语义价值,3,4
qurater,D1语义价值,3,4
modernbert_reasoning,D1语义价值,3,4
modernbert_professionalism,D1语义价值,3,4
fluency_en,D2语言规范,3,4
modernbert_readability,D2语言规范,3,4
modernbert_cleanliness,D2语言规范,3,4
ad_en,D2语言规范,4,6
dsir_books,D3参考域相似,3,4
dsir_wiki,D3参考域相似,3,4
dsir_math,D3参考域相似,3,4
rps_doc_word_count,D4统计启发式,3,4
rps_doc_num_sentences,D4统计启发式,3,5
rps_doc_unigram_entropy,D4统计启发式,3,4
rps_doc_frac_unique_words,D4统计启发式,1,2
rps_doc_frac_no_alph_words,D4统计启发式,2,3
rps_doc_frac_chars_top_2gram,D4统计启发式,1,1
rps_doc_frac_chars_top_3gram,D4统计启发式,1,1
rps_lines_uppercase_letter_fraction,D4统计启发式,2,3
rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,2,3
rps_lines_numerical_chars_fraction,D4统计启发式,3,4
rps_doc_mean_word_length,D4统计启发式,3,4
