domain,len_decile,n,strong_conflict_rate,kappa_range_mean,median_words
arxiv,1,1753,0.03137478608100399,0.3678058460427464,1674.0
arxiv,2,1752,0.01141552511415525,0.30419508084397634,2796.0
arxiv,3,1752,0.0136986301369863,0.3153848283606334,3583.0
arxiv,4,1752,0.009703196347031963,0.3107004779817303,4373.0
arxiv,5,1753,0.012549914432401598,0.3166442580488935,5187.0
arxiv,6,1752,0.01141552511415525,0.32380812532169706,6095.0
arxiv,7,1752,0.012557077625570776,0.32522179651687383,7191.0
arxiv,8,1752,0.014840182648401826,0.3273006752450232,8699.5
arxiv,9,1752,0.01141552511415525,0.32281418136798273,10872.0
arxiv,10,1753,0.01540216771249287,0.3289722485487901,16352.0
github,1,20376,0.006085590891244602,0.26061505242280525,11.0
github,2,20375,0.018404907975460124,0.2866064332368211,25.0
github,3,20375,0.025226993865030675,0.2755150883292274,42.0
github,4,20375,0.05840490797546012,0.29654911371041814,64.0
github,5,20375,0.03175460122699386,0.2694025960968011,94.0
github,6,20375,0.01943558282208589,0.26056159709856236,134.0
github,7,20375,0.019042944785276072,0.2641149711588431,196.0
github,8,20375,0.028809815950920244,0.2836938447340302,297.0
github,9,20375,0.03715337423312883,0.30724822974056437,503.0
github,10,20376,0.09697683549273656,0.3990913528978568,1223.0
