domain,conflict_type,n,share_within_domain_conflicts
arxiv,D1语义价值高/D4统计启发式低,63,0.2490118577075099
arxiv,D2语言规范高/D3参考域相似低,56,0.22134387351778656
arxiv,D2语言规范高/D4统计启发式低,56,0.22134387351778656
arxiv,D1语义价值高/D3参考域相似低,27,0.1067193675889328
arxiv,D4统计启发式高/D1语义价值低,24,0.09486166007905138
arxiv,D4统计启发式高/D3参考域相似低,13,0.05138339920948617
arxiv,D3参考域相似高/D4统计启发式低,5,0.019762845849802372
arxiv,D2语言规范高/D1语义价值低,3,0.011857707509881422
arxiv,D3参考域相似高/D2语言规范低,3,0.011857707509881422
arxiv,D4统计启发式高/D2语言规范低,3,0.011857707509881422
github,D4统计启发式高/D2语言规范低,3881,0.5580960598216853
github,D4统计启发式高/D1语义价值低,2256,0.3244176013805004
github,D4统计启发式高/D3参考域相似低,731,0.10511935576646535
github,D3参考域相似高/D2语言规范低,56,0.00805291918320391
github,D3参考域相似高/D1语义价值低,12,0.001725625539257981
github,D2语言规范高/D4统计启发式低,11,0.0015818234109864827
github,D3参考域相似高/D4统计启发式低,4,0.0005752085130859936
github,D2语言规范高/D1语义价值低,3,0.0004314063848144953
