,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,,0.0052171105981702855,0.01124129514970735,0.018999089129253875,0.007155666112450216,0.007192914039954713,0.011140652811343377,0.08502659373404248,0.006609632804089062,0.006373425604539602,0.004985524378949403,0.13405712970642308,0.20644310702444918,0.014911775101381555,0.1226413547028225,0.08091305773996794,0.11002242903997989,0.14932010407419852,0.1013622210554715,0.07774818826703596,0.23130083975998814,0.14595232935334276
qurater,0.0052171105981702855,,0.00054214460994122,0.0025433553910928055,0.0001672092706158048,0.0010797967985120098,3.0987890481086255e-05,0.06110714225240537,0.0036577188645904447,0.003512935009708051,0.0023164429481996604,0.15934602860148864,0.21660806960544632,0.006337137247820461,0.13821056029002152,0.05859950608556749,0.08628874413248744,0.12677317799869062,0.11630123553137983,0.05921729195761782,0.200952423523401,0.14486518914951205
modernbert_reasoning,0.01124129514970735,0.00054214460994122,,2.2085672778672107e-05,0.001227245801033077,0.0028470431597595798,0.0,0.05577357978499716,0.0027711585038920827,0.002756434722039636,0.0003758489761912999,0.12833582725942694,0.203886217091906,0.00043469130760194594,0.1394194024140646,0.0904743312607393,0.09842212977871563,0.14771655709994738,0.08917800938708868,0.07651441844898542,0.21406260391463736,0.13830477103931846
modernbert_professionalism,0.018999089129253875,0.0025433553910928055,2.2085672778672107e-05,,0.0028259767158450876,0.012194817362332999,0.00244078018699839,0.04868146199004707,0.008317621328012502,0.007873740855752438,0.0018337145635802512,0.11312736118968204,0.20612725979103155,0.0003791637807001127,0.14047273595321946,0.10377156353568501,0.10984656094542297,0.1670366197160566,0.07173373694504251,0.0986506258214766,0.21508381311895014,0.17263606213481014
fluency_en,0.007155666112450216,0.0001672092706158048,0.001227245801033077,0.0028259767158450876,,0.007780453546234471,0.0003638661049365059,0.0402115845627796,0.007078732398679192,0.006779348834346106,0.0039501858729503805,0.16505932426214634,0.22241952381179664,0.006195562605448523,0.1493216095303656,0.06809071203327308,0.08951335795016808,0.12937412234136886,0.09651874200154369,0.07856938227930203,0.19544624334642482,0.15102395840519425
modernbert_readability,0.007192914039954713,0.0010797967985120098,0.0028470431597595798,0.012194817362332999,0.007780453546234471,,0.0006082960362789434,0.09115067461786525,0.0024115438072900806,0.002395906388571749,0.0018721929039457017,0.1575997362300828,0.21257217635998782,0.007184948426077955,0.12053998837083531,0.04959914118090838,0.10088640740630965,0.14049448930533204,0.1388777353488333,0.05342383278443509,0.21076506887916577,0.12985608413359231
modernbert_cleanliness,0.011140652811343377,3.0987890481086255e-05,0.0,0.00244078018699839,0.0003638661049365059,0.0006082960362789434,,0.04025313669461881,0.005267601638829897,0.0051458170935920556,0.001241969582885525,0.19185965119602139,0.2274768192400431,0.003505619052701425,0.13163563882476975,0.06012843550793373,0.07070150682100683,0.10610054980499614,0.11100664953530304,0.06048500624210075,0.19007758386331808,0.13556703142259663
ad_en,0.08502659373404248,0.06110714225240537,0.05577357978499716,0.04868146199004707,0.0402115845627796,0.09115067461786525,0.04025313669461881,,0.09291742046744385,0.09281378010056601,0.08457805320961231,0.24606924991658002,0.2460136167976813,0.08048386407834476,0.15431028794510443,0.13511329756447285,0.08579414743131762,0.09069584002612276,0.09359412471395215,0.12307799021960655,0.16115126595530943,0.19572824722404938
dsir_books,0.006609632804089062,0.0036577188645904447,0.0027711585038920827,0.008317621328012502,0.007078732398679192,0.0024115438072900806,0.005267601638829897,0.09291742046744385,,0.0,0.0,0.1398939867707782,0.21693925596720953,0.0038544812909094756,0.11817891711859503,0.04663588716494431,0.09387731335063974,0.13705146586143002,0.13284032588967598,0.055172579119487655,0.2136566323702173,0.1053778633241185
dsir_wiki,0.006373425604539602,0.003512935009708051,0.002756434722039636,0.007873740855752438,0.006779348834346106,0.002395906388571749,0.0051458170935920556,0.09281378010056601,0.0,,0.0,0.13997371419114613,0.2170386150967136,0.0038234934004283895,0.11769167334564647,0.04648191414540388,0.09353649935134738,0.13686097033421418,0.13269582898174934,0.05501615213630512,0.2150090303169954,0.10569562521776676
dsir_math,0.004985524378949403,0.0023164429481996604,0.0003758489761912999,0.0018337145635802512,0.0039501858729503805,0.0018721929039457017,0.001241969582885525,0.08457805320961231,0.0,0.0,,0.13655585021149633,0.21559373788529157,0.0008461491546029019,0.12074059804300051,0.04849969894910008,0.09248460292768625,0.13851394556706692,0.12375275683893061,0.05692024656759818,0.21733786478027525,0.10365694160095974
