,fineweb_edu,qurater,modernbert_reasoning,modernbert_professionalism,fluency_en,modernbert_readability,modernbert_cleanliness,ad_en,dsir_books,dsir_wiki,dsir_math,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
fineweb_edu,1.0,0.3031871602951407,0.4655988656428359,0.3375415816696371,0.22872379364931825,0.2964583218790348,0.09895753443827367,-0.052977789651384694,0.3303601789125348,0.3292257322329031,0.34566441490679317,0.5557887864820402,0.3315348600215488,0.4997739107475368,0.13135266090016073,-0.2206203373630859,-0.14278349446352126,-0.24391918215992967,0.18217974609875875,-0.07182888809694683,-0.2162695923858409,0.20337590960073984
qurater,0.3031871602951407,1.0,0.5135554930879326,0.2683880855550749,0.31713762413915614,0.5700903811522237,0.6115305258793213,0.07391275641147096,0.45417407098513346,0.4553258963341506,0.45397946786495036,0.21467907998488933,0.10824295621113178,0.20285386382017448,0.024978337061051986,0.11451038764852656,-0.011066017370490821,-0.06988707597358952,-0.1575534529675237,0.19660910678442625,0.11027704347050789,0.1897974275859862
modernbert_reasoning,0.4655988656428359,0.5135554930879326,1.0,0.5707656798496558,0.26502282799925025,0.29861689760321186,0.2692873832646497,-0.05559534357548887,0.5245381067485642,0.5250516469358273,0.5486647091059806,0.5262440027611105,0.29558440104178174,0.6467081120532215,0.12036250045529655,-0.194652496762392,0.0037911814989767534,-0.15545243868851463,0.11787906880809997,-0.06668019497207771,-0.172113378354568,0.2257115465518001
modernbert_professionalism,0.3375415816696371,0.2683880855550749,0.5707656798496558,1.0,0.22714813197613012,0.12463202288319258,-0.00431615408076209,-0.11849466414699851,0.30873016316555046,0.3098189620978069,0.3396857189361662,0.5971451976458181,0.2705424811566174,0.6870814366716683,-0.009898077062745937,-0.15846799095599967,-0.0660225280500537,-0.24292912762180524,0.1989897220395519,-0.243925794052861,-0.08165881008816535,-0.12211752785409352
fluency_en,0.22872379364931825,0.31713762413915614,0.26502282799925025,0.22714813197613012,1.0,0.21541951287935954,0.2561045256284531,0.37859923026935444,0.17794056214922255,0.177108048375157,0.20311492930313993,0.17767315205000267,0.02594726987030624,0.09643799013833963,-0.1374600048863597,-0.057846055633985656,-0.11832217608490604,-0.13420467798238792,0.025994790214953857,-0.061549924506857534,0.13645834832925138,0.10801062546730421
modernbert_readability,0.2964583218790348,0.5700903811522237,0.29861689760321186,0.12463202288319258,0.2154195128793595,0.9999999999999999,0.6289922557380296,-0.001549978011066505,0.5027608312920473,0.5005225806100871,0.4986582717665626,0.2914689700214468,0.19246496610522096,0.22080979702221495,0.05101674094549346,0.13126773668345346,-0.15400142421432433,-0.17173986213800513,-0.14612997253724955,0.2264081258087925,0.029729747440360787,0.30372383266114594
modernbert_cleanliness,0.09895753443827368,0.6115305258793213,0.2692873832646497,-0.00431615408076209,0.2561045256284531,0.6289922557380296,1.0,0.142917810861069,0.4179605708380207,0.4180567351698733,0.4088866406028453,-0.005102406711958699,0.0010958002857289226,-0.02935785596009916,0.05947958910281398,0.21943998086414715,-0.01067642098014076,0.02576214199137799,-0.27942795665376186,0.3213156132552485,0.16425178916520997,0.2482809097365719
ad_en,-0.052977789651384694,0.07391275641147095,-0.05559534357548888,-0.11849466414699852,0.37859923026935444,-0.001549978011066505,0.142917810861069,1.0,-0.07673738769219265,-0.07496195908246574,-0.06984898275774758,-0.25216922108095,-0.09433306585732021,-0.29651030707994663,-0.1462296702724896,-0.01889525863861155,0.006342156434310968,0.07777236698464395,-0.0794914088723476,-0.001131727564903487,0.08576186215411792,0.06819954621679594
dsir_books,0.3303601789125347,0.45417407098513346,0.5245381067485642,0.30873016316555046,0.17794056214922258,0.5027608312920473,0.41796057083802063,-0.07673738769219265,1.0,0.9994055284945389,0.9962560180006387,0.40641207809854746,0.12005513201514209,0.5610767312488886,0.13849995195066636,0.042932490223854924,0.0026956147008302617,-0.09734529692179755,-0.05833960613607679,0.17308436523475454,-0.09526564124984195,0.5669155720388526
dsir_wiki,0.3292257322329031,0.4553258963341506,0.5250516469358274,0.3098189620978069,0.177108048375157,0.5005225806100871,0.41805673516987324,-0.07496195908246575,0.9994055284945388,1.0,0.9957876404464833,0.4049925042556744,0.11903935041280539,0.5597486515527561,0.13845238880201347,0.04631498961812587,0.003668730243776222,-0.0966110199748952,-0.06482220366710502,0.17693173593852585,-0.09831448745780534,0.5644558104172884
dsir_math,0.34566441490679317,0.45397946786495036,0.5486647091059808,0.3396857189361662,0.2031149293031399,0.4986582717665625,0.4088866406028453,-0.06984898275774758,0.9962560180006387,0.9957876404464834,1.0,0.42659995161462155,0.12964531991318365,0.5834346907115617,0.13677428172214887,0.015158812013741441,-2.9417905061798683e-06,-0.10314100653782175,-0.04204231411623308,0.15266990462365432,-0.10796159959849724,0.5645118542492016
rps_doc_word_count,0.5557887864820401,0.21467907998488933,0.5262440027611106,0.5971451976458181,0.17767315205000264,0.2914689700214468,-0.005102406711958699,-0.2521692210809501,0.40641207809854746,0.40499250425567446,0.4265999516146215,1.0,0.4315467161657184,0.7714581637828103,0.17827113299356,-0.2577590950931055,-0.2976840490503627,-0.4539815943688941,0.2824407982883221,-0.22158667962068715,-0.2521288378104935,0.12492514029672723
rps_doc_num_sentences,0.3315348600215488,0.1082429562111318,0.29558440104178174,0.2705424811566174,0.02594726987030624,0.19246496610522093,0.0010958002857289226,-0.09433306585732021,0.1200551320151421,0.1190393504128054,0.12964531991318365,0.43154671616571844,0.9999999999999999,0.40361303167676965,0.1920924825381554,-0.16030793020642162,-0.07163886141523734,-0.15574834465096205,0.17762608197814644,-0.09074848352852133,-0.19950253866501022,-0.007487967550200591
rps_doc_unigram_entropy,0.49977391074753685,0.20285386382017448,0.6467081120532215,0.6870814366716682,0.09643799013833962,0.22080979702221495,-0.029357855960099162,-0.29651030707994663,0.5610767312488887,0.5597486515527561,0.5834346907115618,0.7714581637828102,0.4036130316767696,1.0,0.38725822543369737,-0.23512029158422798,0.020659500124803706,-0.19669780178368834,0.27785091095687686,-0.18837303714872267,-0.33137109392735353,0.15204150017963555
rps_doc_frac_unique_words,0.13135266090016073,0.024978337061051983,0.12036250045529653,-0.009898077062745939,-0.1374600048863597,0.051016740945493466,0.059479589102813986,-0.1462296702724896,0.13849995195066633,0.13845238880201347,0.13677428172214887,0.17827113299356004,0.1920924825381554,0.38725822543369737,1.0,0.00017390723233614682,0.2816085732339194,0.27287496351235,-0.00033383701739390687,0.05486340223604698,-0.2111839647526145,-0.018884746789319742
rps_doc_frac_no_alph_words,-0.22062033736308592,0.11451038764852656,-0.19465249676239202,-0.15846799095599967,-0.057846055633985656,0.13126773668345346,0.21943998086414715,-0.01889525863861155,0.04293249022385493,0.04631498961812587,0.015158812013741441,-0.2577590950931055,-0.16030793020642162,-0.23512029158422798,0.00017390723233614682,1.0,0.12446651341094424,0.16621316466920413,-0.41720601686833225,0.3570372164580298,0.26010015900872435,-0.24477012431270811
rps_doc_frac_chars_top_2gram,-0.14278349446352123,-0.011066017370490821,0.003791181498976753,-0.06602252805005368,-0.11832217608490606,-0.15400142421432433,-0.01067642098014076,0.006342156434310968,0.0026956147008302617,0.0036687302437762226,-2.941790506179868e-06,-0.2976840490503627,-0.07163886141523734,0.020659500124803706,0.2816085732339194,0.12446651341094424,1.0,0.5702762698293724,-0.08799862310664464,0.09168798847546665,0.0031627414199456136,-0.08200314501092065
rps_doc_frac_chars_top_3gram,-0.2439191821599297,-0.06988707597358952,-0.15545243868851463,-0.2429291276218052,-0.13420467798238792,-0.17173986213800513,0.02576214199137799,0.07777236698464395,-0.09734529692179755,-0.09661101997489521,-0.10314100653782173,-0.4539815943688942,-0.15574834465096205,-0.19669780178368834,0.27287496351235,0.16621316466920413,0.5702762698293724,0.9999999999999999,-0.15330673481075935,0.13984302566818638,0.08884848535093802,-0.08271698212284818
rps_lines_uppercase_letter_fraction,0.18217974609875875,-0.15755345296752374,0.11787906880809998,0.1989897220395519,0.02599479021495386,-0.14612997253724955,-0.27942795665376186,-0.0794914088723476,-0.058339606136076784,-0.06482220366710502,-0.04204231411623309,0.2824407982883221,0.17762608197814642,0.27785091095687686,-0.00033383701739390687,-0.4172060168683322,-0.08799862310664464,-0.15330673481075935,1.0,-0.7422311011740069,-0.10992795162119552,0.010922197634591528
rps_lines_ending_with_terminal_punctution_mark,-0.07182888809694683,0.19660910678442625,-0.06668019497207772,-0.243925794052861,-0.061549924506857534,0.2264081258087925,0.3213156132552485,-0.0011317275649034867,0.1730843652347545,0.17693173593852585,0.15266990462365432,-0.22158667962068718,-0.09074848352852131,-0.1883730371487227,0.054863402236046986,0.3570372164580298,0.09168798847546664,0.13984302566818638,-0.7422311011740069,1.0,0.06437340211125375,0.09939023255577187
rps_lines_numerical_chars_fraction,-0.21626959238584087,0.11027704347050789,-0.172113378354568,-0.08165881008816535,0.13645834832925138,0.029729747440360783,0.16425178916520997,0.08576186215411792,-0.09526564124984195,-0.09831448745780534,-0.10796159959849723,-0.2521288378104935,-0.1995025386650102,-0.33137109392735353,-0.21118396475261447,0.26010015900872435,0.0031627414199456136,0.08884848535093802,-0.10992795162119552,0.06437340211125374,0.9999999999999999,-0.08946821269086862
