target,model,hyper,cv_R2
loss_arxiv,quad_ridge,1e-06,0.4357588155620138
loss_arxiv,quad_ridge,1e-05,0.4827593673137722
loss_arxiv,quad_ridge,0.0001,0.5372507000264499
loss_arxiv,quad_ridge,0.001,0.5936104043549175
loss_arxiv,quad_ridge,0.01,0.635452835009116
loss_arxiv,quad_ridge,0.03,0.6433452797429298
loss_arxiv,quad_ridge,0.1,0.6132074806100667
loss_arxiv,quad_ridge,0.3,0.5499464277297205
loss_arxiv,quad_ridge,1.0,0.4616586174302578
loss_freelaw,quad_ridge,1e-06,0.6580014500931992
loss_freelaw,quad_ridge,1e-05,0.6900963899782907
loss_freelaw,quad_ridge,0.0001,0.7201516629419485
loss_freelaw,quad_ridge,0.001,0.7442556672011066
loss_freelaw,quad_ridge,0.01,0.7645894705385071
loss_freelaw,quad_ridge,0.03,0.7615930954937045
loss_freelaw,quad_ridge,0.1,0.7253235133031888
loss_freelaw,quad_ridge,0.3,0.6579654871126511
loss_freelaw,quad_ridge,1.0,0.5408944922741822
loss_pubmed_central,quad_ridge,1e-06,0.4867477738829905
loss_pubmed_central,quad_ridge,1e-05,0.5260241524762118
loss_pubmed_central,quad_ridge,0.0001,0.5638599641250164
loss_pubmed_central,quad_ridge,0.001,0.6086099221004928
loss_pubmed_central,quad_ridge,0.01,0.6525747986759518
loss_pubmed_central,quad_ridge,0.03,0.6571615881661634
loss_pubmed_central,quad_ridge,0.1,0.6289073680159087
loss_pubmed_central,quad_ridge,0.3,0.5732616112854338
loss_pubmed_central,quad_ridge,1.0,0.480741904642789
loss_wikipedia_en,quad_ridge,1e-06,0.7334938311237864
loss_wikipedia_en,quad_ridge,1e-05,0.7433550167778115
loss_wikipedia_en,quad_ridge,0.0001,0.764358968997766
loss_wikipedia_en,quad_ridge,0.001,0.7924995737087167
loss_wikipedia_en,quad_ridge,0.01,0.7977332178938318
loss_wikipedia_en,quad_ridge,0.03,0.7732893980473621
loss_wikipedia_en,quad_ridge,0.1,0.7201795054929556
loss_wikipedia_en,quad_ridge,0.3,0.6359094727204302
loss_wikipedia_en,quad_ridge,1.0,0.399912753499865
loss_dm_mathematics,quad_ridge,1e-06,0.3136817397791355
loss_dm_mathematics,quad_ridge,1e-05,0.3751356381985711
loss_dm_mathematics,quad_ridge,0.0001,0.40952386546297437
loss_dm_mathematics,quad_ridge,0.001,0.36567954089672894
loss_dm_mathematics,quad_ridge,0.01,0.36923684832246806
loss_dm_mathematics,quad_ridge,0.03,0.3862163996629858
loss_dm_mathematics,quad_ridge,0.1,0.3990310936308108
loss_dm_mathematics,quad_ridge,0.3,0.3909805721165217
loss_dm_mathematics,quad_ridge,1.0,0.3392906365979893
loss_github,quad_ridge,1e-06,0.6108749522407713
loss_github,quad_ridge,1e-05,0.6314961406371256
loss_github,quad_ridge,0.0001,0.6549523966218964
loss_github,quad_ridge,0.001,0.6805924104371084
loss_github,quad_ridge,0.01,0.7050239778935807
loss_github,quad_ridge,0.03,0.7055398080906441
loss_github,quad_ridge,0.1,0.6719428861070811
loss_github,quad_ridge,0.3,0.6080473671470037
loss_github,quad_ridge,1.0,0.5230764432306243
loss_stackexchange,quad_ridge,1e-06,0.6181058981805458
loss_stackexchange,quad_ridge,1e-05,0.6449580339951473
loss_stackexchange,quad_ridge,0.0001,0.675818912720261
loss_stackexchange,quad_ridge,0.001,0.7055180341286938
loss_stackexchange,quad_ridge,0.01,0.7264725492285352
loss_stackexchange,quad_ridge,0.03,0.7236341523901937
loss_stackexchange,quad_ridge,0.1,0.6830272328237985
loss_stackexchange,quad_ridge,0.3,0.6053965769090157
loss_stackexchange,quad_ridge,1.0,0.4787128440371611
loss_gutenberg_pg_19,quad_ridge,1e-06,0.6918194943649241
loss_gutenberg_pg_19,quad_ridge,1e-05,0.713467698793401
loss_gutenberg_pg_19,quad_ridge,0.0001,0.7445336389723747
loss_gutenberg_pg_19,quad_ridge,0.001,0.7668069948183199
loss_gutenberg_pg_19,quad_ridge,0.01,0.734822784657881
loss_gutenberg_pg_19,quad_ridge,0.03,0.7188060728719317
loss_gutenberg_pg_19,quad_ridge,0.1,0.6867670883276202
loss_gutenberg_pg_19,quad_ridge,0.3,0.6069130068724529
loss_gutenberg_pg_19,quad_ridge,1.0,0.33615725093696835
loss_pile_cc,quad_ridge,1e-06,0.8238479427324669
loss_pile_cc,quad_ridge,1e-05,0.8349936101552555
loss_pile_cc,quad_ridge,0.0001,0.8480687231159497
loss_pile_cc,quad_ridge,0.001,0.8588495660455192
loss_pile_cc,quad_ridge,0.01,0.8654567591261837
loss_pile_cc,quad_ridge,0.03,0.8495720579825663
loss_pile_cc,quad_ridge,0.1,0.7774804422640378
loss_pile_cc,quad_ridge,0.3,0.6006472251568468
loss_pile_cc,quad_ridge,1.0,0.02007706081496985
loss_ubuntu_irc,quad_ridge,1e-06,0.5716479379496868
loss_ubuntu_irc,quad_ridge,1e-05,0.5973561534064888
loss_ubuntu_irc,quad_ridge,0.0001,0.5585019698649558
loss_ubuntu_irc,quad_ridge,0.001,0.4999899956615791
loss_ubuntu_irc,quad_ridge,0.01,0.5067989665328518
loss_ubuntu_irc,quad_ridge,0.03,0.5202849428091911
loss_ubuntu_irc,quad_ridge,0.1,0.527977158876981
loss_ubuntu_irc,quad_ridge,0.3,0.5016486341160222
loss_ubuntu_irc,quad_ridge,1.0,0.3850942555218638
loss_hackernews,quad_ridge,1e-06,0.7533657613823743
loss_hackernews,quad_ridge,1e-05,0.7170755319721424
loss_hackernews,quad_ridge,0.0001,0.6650395141692591
loss_hackernews,quad_ridge,0.001,0.6784633578517232
loss_hackernews,quad_ridge,0.01,0.6858092224138692
loss_hackernews,quad_ridge,0.03,0.676683665989414
loss_hackernews,quad_ridge,0.1,0.6365281613647005
loss_hackernews,quad_ridge,0.3,0.5251507308965491
loss_hackernews,quad_ridge,1.0,0.11869318818836294
loss_pubmed_abstracts,quad_ridge,1e-06,0.8111519096260242
loss_pubmed_abstracts,quad_ridge,1e-05,0.8215686783278009
loss_pubmed_abstracts,quad_ridge,0.0001,0.8361228278895821
loss_pubmed_abstracts,quad_ridge,0.001,0.8468492691137407
loss_pubmed_abstracts,quad_ridge,0.01,0.840757309839504
loss_pubmed_abstracts,quad_ridge,0.03,0.81829899773466
loss_pubmed_abstracts,quad_ridge,0.1,0.7756070681565469
loss_pubmed_abstracts,quad_ridge,0.3,0.7064466428135907
loss_pubmed_abstracts,quad_ridge,1.0,0.5285259162224569
loss_uspto_backgrounds,quad_ridge,1e-06,0.7768979031890878
loss_uspto_backgrounds,quad_ridge,1e-05,0.7933391074271804
loss_uspto_backgrounds,quad_ridge,0.0001,0.8122712297989102
loss_uspto_backgrounds,quad_ridge,0.001,0.8287190090920733
loss_uspto_backgrounds,quad_ridge,0.01,0.8260941122961533
loss_uspto_backgrounds,quad_ridge,0.03,0.7997617088973248
loss_uspto_backgrounds,quad_ridge,0.1,0.7488214285744252
loss_uspto_backgrounds,quad_ridge,0.3,0.6756298039150728
loss_uspto_backgrounds,quad_ridge,1.0,0.48103171086582697
L_avg,quad_ridge,1e-06,0.5049964444524067
L_avg,quad_ridge,1e-05,0.5435699289502749
L_avg,quad_ridge,0.0001,0.557370091518192
L_avg,quad_ridge,0.001,0.5501914149208447
L_avg,quad_ridge,0.01,0.5520640165219789
L_avg,quad_ridge,0.03,0.5280289407542771
L_avg,quad_ridge,0.1,0.4244005930534064
L_avg,quad_ridge,0.3,0.23819314889892929
L_avg,quad_ridge,1.0,-0.1869631728534007
loss_arxiv,lin_ownlog,0.0001,0.8374349149865556
loss_arxiv,lin_ownlog,0.001,0.8273194644439934
loss_arxiv,lin_ownlog,0.01,0.7777515860656172
loss_arxiv,lin_ownlog,0.03,0.7427361935361225
loss_freelaw,lin_ownlog,0.0001,0.9531670753068137
loss_freelaw,lin_ownlog,0.001,0.9639843938367981
loss_freelaw,lin_ownlog,0.01,0.931843714825915
loss_freelaw,lin_ownlog,0.03,0.8985717826263696
loss_pubmed_central,lin_ownlog,0.0001,0.9375416551854112
loss_pubmed_central,lin_ownlog,0.001,0.9244935124613652
loss_pubmed_central,lin_ownlog,0.01,0.8579046533708472
loss_pubmed_central,lin_ownlog,0.03,0.8125799452601928
loss_wikipedia_en,lin_ownlog,0.0001,0.9192977070233388
loss_wikipedia_en,lin_ownlog,0.001,0.9251358619814617
loss_wikipedia_en,lin_ownlog,0.01,0.9043419395389709
