set,model,spearman,kendall
est_10B,M1_Scheffe_linear,-0.449404761904762,-0.3046594982078853
est_10B,M2_Scheffe_quadratic_ridge,-0.6399769585253456,-0.4613415258576548
est_10B,M3_mixing_law_exp,-0.46961405529953915,-0.322068612391193
est_10B,M5_LightGBM,-0.73267089093702,-0.533026113671275
est_10B,M6_log_share,-0.7063172043010753,-0.5125448028673835
est_70B,M1_Scheffe_linear,-0.5121927803379417,-0.35688684075780847
est_70B,M2_Scheffe_quadratic_ridge,-0.7099654377880185,-0.527905785970302
est_70B,M3_mixing_law_exp,-0.5349462365591399,-0.3804403481822836
est_70B,M5_LightGBM,-0.8077476958525346,-0.6057347670250895
est_70B,M6_log_share,-0.7791378648233488,-0.5791090629800306
