,1M(train),1M(train+test),60M(test),1B(test),10B(est),70B(est)
arxiv,0.040098808764168936,0.0402746927831954,0.033383332203341,0.01643771944002692,-0.0027239275929951123,-0.0057220428208184515
freelaw,0.039414952048014484,0.03751897219745448,0.03718761498871359,0.033835324373006515,0.004654959961912786,0.001245161325517108
nih_exporter,0.07543677908528146,0.08518985332745821,0.06965414447880303,0.0584058185804186,-0.06056687607898836,-0.056555743966152816
pubmed_central,0.029427842716298613,0.026481175001100254,0.010081461573681505,0.029939908811897897,0.004813869064918652,0.0010676892471264132
wikipedia_en,0.019750117069248674,0.01646097421321535,0.004876028691061851,0.008046814513364753,-0.01292809095711478,-0.013750926598248725
dm_mathematics,0.00945364586802988,0.016078804722176265,0.049980900263454586,0.03818481508538252,0.030538963084596915,0.03119198798732481
github,0.03794338260992003,0.03735822106400999,0.024209205252095245,0.0095286770947971,0.003505989016973521,0.0021268346749299116
philpapers,-0.04092337088811071,-0.03159785004575699,-0.0001878578606131498,-0.010961857557940435,-0.14409042992871157,-0.13702249265140765
stackexchange,-2.169276873686954e-07,0.0015790647590510076,-0.0026721384161390027,0.01270220818876222,-0.010152995013090749,-0.00779510569712949
enron_emails,0.03326392357451624,-0.051409193761493555,-0.18161396608022118,-0.4045142553236898,-0.33459524477830294,-0.2804049577117609
gutenberg_pg_19,0.03276125442590594,0.03021062872725988,0.015323035675546937,0.00400234877498673,0.018384706604885004,0.013770001987177816
pile_cc,-0.000668638865611193,0.0006083007376904703,0.0014408903397167272,0.01154435206003912,0.014094089275755728,0.012289165475083408
ubuntu_irc,0.009489335632702378,-0.00379101700104556,-0.024242880847111348,0.0061664170012685204,0.030950911735790898,0.03519702236683697
europarl,0.027211960136694913,0.02666601202550556,0.017169235564363117,0.02360912253941372,0.020642760195209275,0.01409133661950479
hackernews,-0.03721842860825664,-0.02991416649788281,-0.026541802731946618,-0.05159846130679857,0.0544993913904821,0.04753319988528126
pubmed_abstracts,0.012572479547971582,0.014148746412287139,0.013736781504595896,0.003954156879470094,0.02331173189720337,0.020137114698425496
uspto_backgrounds,0.026894022879781154,0.025524026383935805,0.016038408501005907,0.015555822115204787,0.00924484264138381,0.006029277309357761
