,1M(train),1M(train+test),60M(test),1B(test),10B(est),70B(est)
arxiv,0.03153598672023099,0.03648547579777443,0.03634167088582918,0.004308477356135141,-0.0052913368274182205,-0.006471717623365345
freelaw,0.041179543171656764,0.041680160378028304,0.040465947363999485,0.011637093317193342,-0.011196143231844676,-0.013561261822684061
nih_exporter,-0.2051970994188941,-0.2126895193481511,-0.19921946604838484,0.030696035894896848,-0.04824997745548641,-0.025880353736093285
pubmed_central,0.02409536690207132,0.02198183058361932,0.011564577286371341,0.025732795972109253,0.000675305323673871,-0.0010483639279116432
wikipedia_en,0.009789446707286096,0.00967375305131419,0.003717487813739535,0.00230258843437304,-0.006800572675403764,-0.007223799050004686
dm_mathematics,-0.1160341516793557,-0.13203584407830787,-0.06690218629594037,-0.07618277505842969,0.03759707256479708,0.042561622425991374
github,0.038499326707360525,0.041471101839911366,0.033851790643047254,-0.0018020838667617252,-0.007181801673433086,-0.008577109172140175
philpapers,-0.41711788614712414,-0.3236889034962292,-0.12371121901003643,-0.1274895590161203,-0.13004518493524422,-0.0966854093499971
stackexchange,-0.004463415840962481,-0.003967726462000553,-0.00834456705072241,-0.01634549172611289,0.010867184190873158,0.013498609047270991
enron_emails,-0.43946064862720347,-0.5132304549520867,-0.4214730832453914,-0.22050085555554216,-0.13787839074951166,-0.09930654871229878
gutenberg_pg_19,-0.015528029992864649,-0.02472506833163367,-0.03449159058670353,-0.036363189382401157,0.0031286212996350605,0.0022051331293565825
pile_cc,0.017481565053581793,0.013885848701880083,0.0046730428042644125,0.0011057575966059378,0.0026458783539922075,0.0007643218717740244
ubuntu_irc,-0.20947369836712884,-0.1803201264127758,-0.08833093457768335,-0.023249235102238697,0.04753578905829451,0.06852363801092333
europarl,-0.10765291816057251,-0.08334795004076646,-0.030231542551863028,-0.029974645293771317,-0.0019069670239764043,0.007157551596610639
hackernews,-0.1781214625268173,-0.19756207623851163,-0.20457517969571207,-0.17211361457325808,0.031046783885693766,0.04540035021002996
pubmed_abstracts,-0.006988418409898304,-0.008192724817630398,-0.009366499329541098,-0.006820808522898039,0.015772870266144753,0.014727631828970578
uspto_backgrounds,0.011191276937499455,0.01296601871338026,0.006957071337048422,0.0017780775744542735,0.0005721290693120766,-0.00265835077149262
