target,mean_1M_train_subset,mean_1B_test,mean_est10B,mean_est70B,ratio_70B_over_10B_mean,ratio_70B_over_10B_cv,spearman_10B_vs_70B,spearman_1M_vs_10B,spearman_1M_vs_70B,est10B_exceeds_1B_mean
loss_arxiv,5.0975125176565985,1.794389670703125,1.6988952380952382,1.3354730158730161,0.7861394517155925,0.022617907895156594,0.9916474654377881,0.8665034562211982,0.8086117511520738,False
loss_freelaw,5.170394901245359,1.9823243301406248,1.7456428571428568,1.375549206349206,0.7861440556133333,0.022624095464002653,0.9906874039938558,0.7527361751152074,0.6798195084485408,False
loss_pubmed_central,5.151504357655843,1.7611434496875,1.7245380952380946,1.3567380952380952,0.7861367408738452,0.022619156490525896,0.9826228878648233,0.7608486943164363,0.6473694316436251,False
loss_wikipedia_en,5.782591713799371,2.5087373851875,1.9479936507936506,1.5344317460317463,0.7861391785418446,0.022624171560009763,0.991431246235226,0.3286129180314356,0.23747119815668205,False
loss_dm_mathematics,4.106693027511476,1.5508998354374999,1.3469063492063489,1.0551206349206348,0.7861425281467307,0.02262764917340347,0.9964957757296466,0.829205069124424,0.810339861751152,False
loss_github,5.355952489943731,1.05552831384375,1.7878555555555555,1.4056873015873015,0.7861371687995508,0.022621103729621787,0.9829589093701998,0.8076516897081414,0.7099174347158218,True
loss_stackexchange,5.258698266650003,1.856186611609375,1.7564111111111111,1.3811444444444443,0.7861383276778697,0.022622934458867337,0.9754458392338525,0.6384725239577943,0.49208539852572086,False
loss_gutenberg_pg_19,5.362549244411408,2.812885527859375,1.807290476190476,1.4236777777777783,0.7861381195891919,0.022617374924917083,0.9917434715821811,0.4222350230414747,0.33150921658986177,False
loss_pile_cc,5.722346661582826,2.9831061251875,1.9299015873015875,1.5204761904761908,0.7861390357938234,0.022624731831439867,0.9949116743471582,0.09586213517665132,0.03797043010752688,False
loss_ubuntu_irc,6.736068528795999,2.6432241544375,2.254915873015873,1.773863492063492,0.786138558001597,0.022620306009248244,0.9814105872753,0.6226958525345623,0.49808585456081145,False
loss_hackernews,5.417204697926839,3.149093669890625,1.8221587301587303,1.4348634920634915,0.7861379683490527,0.022614252390456276,0.98963133640553,0.019105222734254995,-0.08995775729646698,False
loss_pubmed_abstracts,5.402723115587992,2.4618346013437504,1.8194492063492063,1.4331063492063492,0.7861420444878647,0.02261884793905838,0.9867031490015362,0.41018625192012287,0.28768241167434716,False
loss_uspto_backgrounds,5.117457934788296,2.3730599888125,1.7250079365079365,1.3589650793650792,0.7861436966702057,0.02262369774124351,0.9944674468162903,0.45118629019054235,0.37796126069980396,False
L_avg,5.360130573658134,2.225570281856971,1.7974589743589742,1.4145459096459092,0.7861397721730111,0.022620881899427875,0.9900153609831028,-0.739247311827957,-0.813892089093702,False
