set,N,D,spearman_Q_vs_loss,loss_Qmin,loss_Qmax
B6,0.07,10.0,-0.9761904761904763,3.7216,3.1125
B6,0.07,50.0,-0.9761904761904763,3.5105,2.9922
B6,0.07,150.0,-0.9523809523809524,3.384,2.9653
B6,0.07,300.0,-0.880952380952381,3.2863,2.837
B6,0.07,600.0,-0.9761904761904763,3.1971,2.747
B6,0.16,10.0,-0.9285714285714287,3.4765,3.0121
B6,0.16,50.0,-0.9523809523809524,3.2175,2.793
B6,0.16,150.0,-0.9761904761904763,3.1249,2.6657
B6,0.16,300.0,-0.9761904761904763,2.9719,2.6071
B6,0.16,600.0,-1.0,2.98,2.5781
B6,0.41,10.0,-0.9285714285714287,3.228,2.9558
B6,0.41,50.0,-0.9761904761904763,2.976,2.6047
B6,0.41,150.0,-0.9761904761904763,2.8727,2.4068
B6,0.41,300.0,-0.9047619047619048,2.8085,2.3791
B6,0.41,600.0,-0.9761904761904763,2.6695,2.3932
B6,0.7,10.0,-0.9761904761904763,3.1919,2.8304
B6,0.7,50.0,-0.9523809523809524,2.8444,2.5581
B6,0.7,150.0,-0.9761904761904763,2.7893,2.3542
B6,0.7,300.0,-0.9761904761904763,2.6722,2.3149
B6,0.7,600.0,-0.9523809523809524,2.5974,2.3039
B6,1.0,10.0,-0.9761904761904763,3.0483,2.6827
B6,1.0,50.0,-0.9047619047619048,2.8264,2.5615
B6,1.0,150.0,-0.9047619047619048,2.6482,2.334
B6,1.0,300.0,-0.9523809523809524,2.6943,2.342
B6,1.0,600.0,-0.9523809523809524,2.6008,2.2915
B6,2.8,10.0,-0.9761904761904763,2.9592,2.484
B6,2.8,50.0,-0.7142857142857144,2.5785,2.2984
B6,2.8,150.0,-0.8095238095238096,2.4446,2.2464
B6,2.8,300.0,-0.9047619047619048,2.446,2.1271
B6,2.8,600.0,-0.9761904761904763,2.4515,2.1935
B6,4.0,10.0,-0.880952380952381,2.855,2.4852
B6,4.0,50.0,-0.8571428571428572,2.5657,2.4105
B6,4.0,150.0,-1.0,2.494,2.2102
B6,4.0,300.0,-0.9047619047619048,2.4125,2.1975
B6,4.0,600.0,-0.5952380952380953,2.2637,2.1107
B6,6.9,10.0,-0.8333333333333335,2.7585,2.4679
B6,6.9,50.0,-0.880952380952381,2.5548,2.2632
B6,6.9,150.0,-0.7380952380952381,2.3272,2.1506
B6,6.9,300.0,-0.9047619047619048,2.3408,2.1363
B6,6.9,600.0,-0.8571428571428572,2.2081,2.0492
B6,11.97,10.0,-0.8333333333333335,2.77,2.4184
B6,11.97,50.0,-0.8333333333333335,2.4506,2.3439
B6,11.97,150.0,-0.9047619047619048,2.4214,2.2045
B6,11.97,300.0,-0.9285714285714287,2.2899,2.0939
B6,11.97,600.0,-0.9285714285714287,2.288,2.0191
B7,0.07,10.0,-0.9878787878787878,3.7216,3.1125
B7,0.07,50.0,-0.9515151515151514,3.5105,2.9922
B7,0.07,150.0,-0.9757575757575757,3.384,2.9653
B7,0.07,300.0,-0.8787878787878788,3.2863,2.837
B7,0.07,600.0,-0.9878787878787878,3.1971,2.747
B7,0.16,10.0,-0.9272727272727272,3.4765,3.0121
B7,0.16,50.0,-0.9515151515151514,3.2175,2.793
B7,0.16,150.0,-0.9878787878787878,3.1249,2.6657
B7,0.16,300.0,-0.9757575757575757,2.9719,2.6071
B7,0.16,600.0,-0.9999999999999999,2.98,2.5781
B7,0.41,10.0,-0.8909090909090909,3.228,2.9558
B7,0.41,50.0,-0.9757575757575757,2.976,2.6047
B7,0.41,150.0,-0.9757575757575757,2.8727,2.4068
B7,0.41,300.0,-0.9151515151515152,2.8085,2.3791
B7,0.41,600.0,-0.9878787878787878,2.6695,2.3932
B7,0.7,10.0,-0.9878787878787878,3.1919,2.8304
B7,0.7,50.0,-0.9515151515151514,2.8444,2.5581
B7,0.7,150.0,-0.9878787878787878,2.7893,2.3542
B7,0.7,300.0,-0.9757575757575757,2.6722,2.3149
B7,0.7,600.0,-0.9636363636363635,2.5974,2.3039
B7,1.0,10.0,-0.9636363636363635,3.0483,2.6827
B7,1.0,50.0,-0.8909090909090909,2.8264,2.5615
B7,1.0,150.0,-0.9151515151515152,2.6482,2.334
B7,1.0,300.0,-0.9393939393939393,2.6943,2.342
B7,1.0,600.0,-0.9515151515151514,2.6008,2.2915
B7,2.8,10.0,-0.9878787878787878,2.9592,2.484
B7,2.8,50.0,-0.8060606060606059,2.5785,2.2984
B7,2.8,150.0,-0.8666666666666665,2.4446,2.2464
B7,2.8,300.0,-0.9515151515151514,2.446,2.1271
B7,2.8,600.0,-0.9878787878787878,2.4515,2.1935
B7,4.0,10.0,-0.8666666666666665,2.855,2.4852
B7,4.0,50.0,-0.9151515151515152,2.5657,2.4105
B7,4.0,150.0,-0.9878787878787878,2.494,2.2102
B7,4.0,300.0,-0.9151515151515152,2.4125,2.1975
B7,4.0,600.0,-0.6848484848484848,2.2637,2.1107
B7,6.9,10.0,-0.8787878787878788,2.7585,2.4679
B7,6.9,50.0,-0.9393939393939393,2.5548,2.2632
B7,6.9,150.0,-0.6969696969696969,2.3272,2.1506
B7,6.9,300.0,-0.9515151515151514,2.3408,2.1363
B7,6.9,600.0,-0.9151515151515152,2.2081,2.0492
B7,11.97,10.0,-0.8666666666666665,2.77,2.4184
B7,11.97,50.0,-0.8303030303030302,2.4506,2.3439
B7,11.97,150.0,-0.8181818181818182,2.4214,2.2045
B7,11.97,300.0,-0.9151515151515152,2.2899,2.0939
B7,11.97,600.0,-0.9393939393939393,2.288,2.0191
B8,0.07,5.0,1.0,1.0401,3.3659
B8,0.07,10.0,1.0,0.9918,3.2059
B8,0.07,20.0,1.0,0.9701,3.1277
B8,0.07,50.0,1.0,0.9392,2.8636
B8,0.07,100.0,1.0,0.891,2.8644
B8,0.07,150.0,1.0,0.8911,2.7592
B8,0.07,300.0,1.0,0.8812,2.6843
B8,0.07,500.0,1.0,0.861,2.8055
B8,0.07,1000.0,1.0,0.8471,2.7431
B8,0.07,2000.0,1.0,0.8539,2.7374
B8,0.16,5.0,1.0,0.8104,3.1013
B8,0.16,10.0,1.0,0.7726,2.9363
B8,0.16,20.0,1.0,0.7755,2.8913
B8,0.16,50.0,1.0,0.7379,2.6024
B8,0.16,100.0,1.0,0.7109,2.678
B8,0.16,150.0,1.0,0.6932,2.5091
B8,0.16,300.0,1.0,0.6809,2.4941
B8,0.16,500.0,1.0,0.6974,2.5293
B8,0.16,1000.0,1.0,0.6787,2.5056
B8,0.16,2000.0,1.0,0.6532,2.4771
B8,0.41,5.0,1.0,0.622,3.0229
