N,D,L_B7_Q1,L_B1_interp,diff
0.07,10.0,3.1125,3.213625321888412,-0.10112532188841206
0.07,50.0,2.9922,2.976827931363203,0.015372068636796854
0.07,150.0,2.9653,2.8670744873628995,0.09822551263710055
0.07,300.0,2.837,2.8131,0.023900000000000254
0.16,10.0,3.0121,2.998441201716738,0.013658798283262108
0.16,50.0,2.793,2.7613070543374643,0.03169294566253589
0.16,150.0,2.6657,2.651459179780639,0.01424082021936135
0.16,300.0,2.6071,2.5978,0.009300000000000086
0.41,10.0,2.9558,2.821955793991416,0.13384420600858382
0.41,50.0,2.6047,2.584491229742612,0.020208770257387876
0.41,150.0,2.4068,2.4745693848354793,-0.06776938483547923
0.41,300.0,2.3791,2.4209,-0.04179999999999984
2.8,10.0,2.484,2.5919948497854075,-0.10799484978540752
2.8,50.0,2.2984,2.354691229742612,-0.056291229742611915
2.8,150.0,2.2464,2.244869384835479,0.0015306151645209098
2.8,300.0,2.1271,2.1911,-0.06400000000000006
6.9,10.0,2.4679,2.525741201716738,-0.05784120171673779
6.9,50.0,2.2632,2.2887754051477596,-0.02557540514775969
6.9,150.0,2.1506,2.178869384835479,-0.02826938483547936
6.9,300.0,2.1363,2.125,0.011299999999999866
11.97,10.0,2.4184,2.4941412017167384,-0.07574120171673826
11.97,50.0,2.3439,2.2570754051477597,0.08682459485224037
11.97,150.0,2.2045,2.147064282308059,0.05743571769194089
11.97,300.0,2.0939,2.0933,0.0005999999999999339
