experiment_id_B7,N_params_B,D_tokens_B,Q_score,val_loss_B7,experiment_id_B8,val_loss_B8,data_type
N0.70_D0010_Q0.1,0.7,10.0,0.1,3.1919,N0.7_D0010_Q0.1,0.615,calibrated
N0.70_D0010_Q0.2,0.7,10.0,0.2,3.1552,N0.7_D0010_Q0.2,0.8685,calibrated
N0.70_D0010_Q0.3,0.7,10.0,0.3,3.0155,N0.7_D0010_Q0.3,1.081,calibrated
N0.70_D0010_Q0.4,0.7,10.0,0.4,3.0148,N0.7_D0010_Q0.4,1.3192,calibrated
N0.70_D0010_Q0.6,0.7,10.0,0.6,2.9615,N0.7_D0010_Q0.6,1.7963,calibrated
N0.70_D0010_Q0.8,0.7,10.0,0.8,2.8692,N0.7_D0010_Q0.8,2.222,calibrated
N0.70_D0010_Q0.9,0.7,10.0,0.9,2.7928,N0.7_D0010_Q0.9,2.5041,calibrated
N0.70_D0010_Q1.0,0.7,10.0,1.0,2.8304,N0.7_D0010_Q1.0,2.6504,calibrated
N0.70_D0050_Q0.1,0.7,50.0,0.1,2.8444,N0.7_D0050_Q0.1,0.5587,calibrated
N0.70_D0050_Q0.2,0.7,50.0,0.2,2.8069,N0.7_D0050_Q0.2,0.7563,calibrated
N0.70_D0050_Q0.3,0.7,50.0,0.3,2.7973,N0.7_D0050_Q0.3,1.0221,calibrated
N0.70_D0050_Q0.4,0.7,50.0,0.4,2.7324,N0.7_D0050_Q0.4,1.1864,calibrated
N0.70_D0050_Q0.6,0.7,50.0,0.6,2.6134,N0.7_D0050_Q0.6,1.6494,calibrated
N0.70_D0050_Q0.8,0.7,50.0,0.8,2.6409,N0.7_D0050_Q0.8,2.0562,calibrated
N0.70_D0050_Q0.9,0.7,50.0,0.9,2.5496,N0.7_D0050_Q0.9,2.294,calibrated
N0.70_D0050_Q1.0,0.7,50.0,1.0,2.5581,N0.7_D0050_Q1.0,2.492,calibrated
N0.70_D0150_Q0.1,0.7,150.0,0.1,2.7893,N0.7_D0150_Q0.1,0.5295,calibrated
N0.70_D0150_Q0.2,0.7,150.0,0.2,2.6375,N0.7_D0150_Q0.2,0.7452,calibrated
N0.70_D0150_Q0.3,0.7,150.0,0.3,2.6856,N0.7_D0150_Q0.3,0.9382,calibrated
N0.70_D0150_Q0.4,0.7,150.0,0.4,2.5991,N0.7_D0150_Q0.4,1.1468,calibrated
N0.70_D0150_Q0.6,0.7,150.0,0.6,2.5608,N0.7_D0150_Q0.6,1.5755,calibrated
N0.70_D0150_Q0.8,0.7,150.0,0.8,2.5043,N0.7_D0150_Q0.8,2.0079,calibrated
N0.70_D0150_Q0.9,0.7,150.0,0.9,2.4035,N0.7_D0150_Q0.9,2.2463,calibrated
N0.70_D0150_Q1.0,0.7,150.0,1.0,2.3542,N0.7_D0150_Q1.0,2.3563,calibrated
N0.70_D0300_Q0.1,0.7,300.0,0.1,2.6722,N0.7_D0300_Q0.1,0.5247,calibrated
N0.70_D0300_Q0.2,0.7,300.0,0.2,2.6214,N0.7_D0300_Q0.2,0.7291,calibrated
N0.70_D0300_Q0.3,0.7,300.0,0.3,2.5759,N0.7_D0300_Q0.3,0.9233,calibrated
N0.70_D0300_Q0.4,0.7,300.0,0.4,2.5792,N0.7_D0300_Q0.4,1.1189,calibrated
N0.70_D0300_Q0.6,0.7,300.0,0.6,2.4842,N0.7_D0300_Q0.6,1.5399,calibrated
N0.70_D0300_Q0.8,0.7,300.0,0.8,2.4416,N0.7_D0300_Q0.8,1.9103,calibrated
N0.70_D0300_Q0.9,0.7,300.0,0.9,2.4128,N0.7_D0300_Q0.9,2.1926,calibrated
N0.70_D0300_Q1.0,0.7,300.0,1.0,2.3149,N0.7_D0300_Q1.0,2.3162,calibrated
N1.00_D0010_Q0.1,1.0,10.0,0.1,3.0483,N1.0_D0010_Q0.1,0.5575,calibrated
N1.00_D0010_Q0.2,1.0,10.0,0.2,2.968,N1.0_D0010_Q0.2,0.7909,calibrated
N1.00_D0010_Q0.3,1.0,10.0,0.3,2.8948,N1.0_D0010_Q0.3,1.009,calibrated
N1.00_D0010_Q0.4,1.0,10.0,0.4,2.8223,N1.0_D0010_Q0.4,1.2421,calibrated
N1.00_D0010_Q0.6,1.0,10.0,0.6,2.8442,N1.0_D0010_Q0.6,1.7308,calibrated
N1.00_D0010_Q0.8,1.0,10.0,0.8,2.7546,N1.0_D0010_Q0.8,2.1998,calibrated
N1.00_D0010_Q0.9,1.0,10.0,0.9,2.7505,N1.0_D0010_Q0.9,2.4605,calibrated
N1.00_D0010_Q1.0,1.0,10.0,1.0,2.6827,N1.0_D0010_Q1.0,2.6513,calibrated
N1.00_D0050_Q0.1,1.0,50.0,0.1,2.8264,N1.0_D0050_Q0.1,0.5001,calibrated
N1.00_D0050_Q0.2,1.0,50.0,0.2,2.8076,N1.0_D0050_Q0.2,0.7393,calibrated
N1.00_D0050_Q0.3,1.0,50.0,0.3,2.6823,N1.0_D0050_Q0.3,0.948,calibrated
N1.00_D0050_Q0.4,1.0,50.0,0.4,2.6528,N1.0_D0050_Q0.4,1.1772,calibrated
N1.00_D0050_Q0.6,1.0,50.0,0.6,2.6707,N1.0_D0050_Q0.6,1.5703,calibrated
N1.00_D0050_Q0.8,1.0,50.0,0.8,2.4922,N1.0_D0050_Q0.8,2.0222,calibrated
N1.00_D0050_Q0.9,1.0,50.0,0.9,2.5805,N1.0_D0050_Q0.9,2.24,calibrated
N1.00_D0050_Q1.0,1.0,50.0,1.0,2.5615,N1.0_D0050_Q1.0,2.4688,calibrated
N1.00_D0150_Q0.1,1.0,150.0,0.1,2.6482,N1.0_D0150_Q0.1,0.5,calibrated
N1.00_D0150_Q0.2,1.0,150.0,0.2,2.6343,N1.0_D0150_Q0.2,0.692,calibrated
N1.00_D0150_Q0.3,1.0,150.0,0.3,2.6133,N1.0_D0150_Q0.3,0.898,calibrated
N1.00_D0150_Q0.4,1.0,150.0,0.4,2.5016,N1.0_D0150_Q0.4,1.1376,calibrated
N1.00_D0150_Q0.6,1.0,150.0,0.6,2.5859,N1.0_D0150_Q0.6,1.5017,calibrated
N1.00_D0150_Q0.8,1.0,150.0,0.8,2.3211,N1.0_D0150_Q0.8,1.9303,calibrated
N1.00_D0150_Q0.9,1.0,150.0,0.9,2.3833,N1.0_D0150_Q0.9,2.1019,calibrated
N1.00_D0150_Q1.0,1.0,150.0,1.0,2.334,N1.0_D0150_Q1.0,2.2789,calibrated
N1.00_D0300_Q0.1,1.0,300.0,0.1,2.6943,N1.0_D0300_Q0.1,0.5,calibrated
N1.00_D0300_Q0.2,1.0,300.0,0.2,2.5728,N1.0_D0300_Q0.2,0.6746,calibrated
N1.00_D0300_Q0.3,1.0,300.0,0.3,2.4688,N1.0_D0300_Q0.3,0.8578,calibrated
N1.00_D0300_Q0.4,1.0,300.0,0.4,2.5249,N1.0_D0300_Q0.4,1.1116,calibrated
N1.00_D0300_Q0.6,1.0,300.0,0.6,2.4469,N1.0_D0300_Q0.6,1.5153,calibrated
N1.00_D0300_Q0.8,1.0,300.0,0.8,2.4239,N1.0_D0300_Q0.8,2.0053,calibrated
N1.00_D0300_Q0.9,1.0,300.0,0.9,2.2509,N1.0_D0300_Q0.9,2.0139,calibrated
N1.00_D0300_Q1.0,1.0,300.0,1.0,2.342,N1.0_D0300_Q1.0,2.3325,calibrated
N2.80_D0010_Q0.1,2.8,10.0,0.1,2.9592,N2.8_D0010_Q0.1,0.5,calibrated
N2.80_D0010_Q0.2,2.8,10.0,0.2,2.8431,N2.8_D0010_Q0.2,0.6187,calibrated
N2.80_D0010_Q0.3,2.8,10.0,0.3,2.8867,N2.8_D0010_Q0.3,0.8552,calibrated
N2.80_D0010_Q0.4,2.8,10.0,0.4,2.771,N2.8_D0010_Q0.4,1.1197,calibrated
N2.80_D0010_Q0.6,2.8,10.0,0.6,2.7064,N2.8_D0010_Q0.6,1.6092,calibrated
N2.80_D0010_Q0.8,2.8,10.0,0.8,2.651,N2.8_D0010_Q0.8,2.1201,calibrated
