family,N_params_B,D_tokens_B,val_loss,is_converged,pred,resid,pred_family_offset_LOO
Phi,1.3,405,2.5317,1,2.244668738926501,0.28703126107349863,2.4077425904360776
LLaMA,65.0,11349,1.8828,1,1.86647454067561,0.01632545932439,1.9499839455779384
LLaMA,13.0,2229,2.0796,1,1.9812495213512447,0.09835047864875546,2.0483539223887
LLaMA,33.0,4583,1.9757,1,1.9149059904003598,0.06079400959964021,1.989521685247638
Qwen2,20.0,3000,2.0858,1,1.949659035120279,0.13614096487972094,2.131692436878722
Qwen2,72.0,33739,1.8505,1,1.839680661844051,0.010819338155948932,2.0426010013897895
Pythia,1.4,129,2.6238,1,2.3237954824547993,0.30000451754520086,2.7876863429789336
Pythia,12.0,300,2.1077,1,2.0932263841398413,0.014473615860158606,2.5979073734761244
Pythia,2.8,300,2.4276,1,2.1905709632556016,0.23702903674439835,2.6634583210369933
Pythia,0.16,13,3.725,1,2.9548264878118573,0.7701735121881428,3.3515503491012857
Phi,2.7,1084,2.32,1,2.1178100048162314,0.20218999518376846,2.297852109503754
LLaMA,7.0,1229,2.187,1,2.04189265650671,0.1451073434932897,2.0996456845752585
LLaMA,3.5,2200,2.3258,1,2.0649804417450413,0.26081955825495884,2.0995910268612556
Pythia,0.41,41,3.1611,1,2.607770731338081,0.5533292686619187,3.0354723417026843
Pythia,6.9,300,2.3285,1,2.1247054276187614,0.20379457238123866,2.6023405660234618
Qwen2,0.5,361,2.8399,1,2.3764960613403754,0.4634039386596247,2.503985634135501
Phi,14.0,4790,2.0512,1,1.949957374217934,0.10124262578206622,2.150188952785797
Phi,4.2,350,2.3867,1,2.147844658806816,0.23885534119318397,2.320553694292455
Phi,7.0,4448,2.1464,1,1.9907276162466707,0.15567238375332915,2.180073243220281
Qwen2,7.0,2221,2.2237,1,2.0160595511312356,0.20764044886876443,2.1861763722248377
Gemma,2.0,1049,2.394,1,2.146553172481541,0.24744682751845914,2.2695729842401686
Gemma,7.0,4109,2.0973,1,1.9933763824589152,0.10392361754108492,2.1881577992062304
Pythia,0.07,6,4.3629,1,3.3152365197804663,1.0476634802195335,3.6723189570654102
Qwen2,1.5,680,2.5398,1,2.1981118578180894,0.3416881421819107,2.345887396692834
Pythia,1.0,111,2.7965,1,2.375727462386451,0.42077253761354916,2.822365748615107
Phi,18.0,2800,2.0743,1,1.9568910883644663,0.11740891163553369,2.1538894097616357
GPT2,0.12,40,3.0,1,2.8593420532732994,0.14065794672670062,3.0941532148257584
GPT2,0.35,40,2.85,1,2.6373029655413625,0.21269703445863763,2.8481010978498427
GPT2,0.77,40,2.75,1,2.518368965224475,0.23163103477552482,2.722855764093993
GPT2,1.5,40,2.7,1,2.4398945845767854,0.26010541542321475,2.6348899232304066
OPT,0.13,300,3.11,1,2.6494406273584117,0.4605593726415882,2.9004838982820784
OPT,0.35,300,2.88,1,2.446941753953068,0.4330582460469321,2.702568545975844
OPT,1.3,300,2.65,1,2.2649078637605875,0.3850921362394124,2.5285290074179505
OPT,2.7,300,2.5,1,2.193674020411538,0.3063259795884621,2.4704228568440594
OPT,6.7,300,2.33,1,2.1265501723718683,0.2034498276281318,2.4204450341311112
OPT,13.0,300,2.22,1,2.0891439217422936,0.13085607825770662,2.3951377417299407
OPT,30.0,300,2.1,1,2.0525226422186433,0.047477357781356755,2.3724129156190155
BLOOM,0.56,350,2.75,1,2.3616364525886393,0.3883635474113607,2.6241096308941776
BLOOM,1.7,350,2.55,1,2.22607754966175,0.32392245033824985,2.510031093658325
BLOOM,3.0,350,2.45,1,2.174180257542769,0.27581974245723107,2.474168037499684
BLOOM,7.1,350,2.3,1,2.1123226578788654,0.1876773421211344,2.4416912379478126
Falcon,7.0,1500,2.25,1,2.0327116231324176,0.2172883768675824,2.1316633485223586
Falcon,40.0,1500,2.05,1,1.9510482746100588,0.09895172538994101,2.168336651477641
Mistral,7.0,8000,2.1,1,1.9728422357176458,0.12715776428235426,2.1954740774726287
Yi,6.0,3000,2.1,1,2.014314070648863,0.08568592935113717,1.9857544188637901
Yi,34.0,3000,1.9,1,1.9285596517850727,-0.028559651785072804,2.01424558113621
LLaMA,70.0,15000,1.71,1,1.8575243654850022,-0.14752436548500225,1.973803735349209
Qwen2,32.0,18000,1.95,1,1.8788014252180172,0.07119857478198277,2.0716585586594163
Qwen2,72.0,18000,1.85,1,1.8525500320975743,-0.0025500320975742063,2.0576986000188997
Gemma,9.0,8000,2.1,1,1.9578839940238293,0.1421160059761708,2.1335692165536013
Cerebras-GPT,0.11,2050,2.95,1,2.58633618677289,0.3636638132271104,2.742555863972064
Cerebras-GPT,0.26,2050,2.7,1,2.396232954380296,0.30376704561970413,2.5624354261807047
Cerebras-GPT,0.59,2050,2.5,1,2.260165375953452,0.23983462404654787,2.4370232513493866
Cerebras-GPT,1.3,2050,2.35,1,2.160409770806817,0.18959022919318302,2.3456417120116457
Cerebras-GPT,2.7,2050,2.22,1,2.0891759274577684,0.13082407254223183,2.284202228104422
Cerebras-GPT,6.7,2050,2.08,1,2.0220520794180983,0.05794792058190179,2.229224405391474
Cerebras-GPT,13.0,2050,2.0,1,1.9846458287885236,0.01535417121147642,2.1989171129903036
