family,N_params_B,D_tokens_B,val_loss,source,is_converged,pred,resid,pred_family_offset_LOO
GPT-2,1.5,10,2.906,Kaplan et al. 2020,1,2.649305452097013,0.25669454790298696,2.664356440635449
GPT-3,0.125,300,2.761,Kaplan et al. 2020,1,2.658948840997037,0.10205115900296313,2.7655503250636855
GPT-3,0.35,300,2.632,Kaplan et al. 2020,1,2.446941753953068,0.18505824604693233,2.5416850827277204
GPT-3,0.77,300,2.506,Kaplan et al. 2020,1,2.3280077536361805,0.17799224636381927,2.4237605109369924
GPT-3,1.3,300,2.415,Kaplan et al. 2020,1,2.2649078637605875,0.15009213623941253,2.3646463510791715
GPT-3,2.6,300,2.318,Kaplan et al. 2020,1,2.1969350289976672,0.12106497100233282,2.3008202542072627
GPT-3,6.7,300,2.199,Kaplan et al. 2020,1,2.1265501723718683,0.07244982762813157,2.2373804180634926
GPT-3,13.0,300,2.12,Kaplan et al. 2020,1,2.0891439217422936,0.030856078257706532,2.205916131629693
GPT-3,175.0,300,2.011,Kaplan et al. 2020,1,2.002303117071796,0.00869688292820392,2.1222409262919815
Chinchilla,0.5,5,3.015,Hoffmann et al. 2022,1,2.928391225472772,0.08660877452722815,2.8364637294302764
Chinchilla,1.0,20,2.628,Hoffmann et al. 2022,1,2.5800498904177207,0.04795010958227941,2.492954727493344
Chinchilla,1.4,20,2.517,Hoffmann et al. 2022,1,2.54178802639977,-0.024788026399769958,2.4637851304731493
Chinchilla,4.0,80,2.227,Hoffmann et al. 2022,1,2.2745615085895974,-0.04756150858959751,2.199405297936705
Chinchilla,7.0,140,2.106,Hoffmann et al. 2022,1,2.1835476242193907,-0.07754762421939088,2.1121396780202226
Chinchilla,13.0,260,1.989,Hoffmann et al. 2022,1,2.099410266656756,-0.1104102666567559,2.0321101507622585
Chinchilla,20.0,400,1.917,Hoffmann et al. 2022,1,2.0495479407136132,-0.1325479407136132,1.985015034076223
Chinchilla,40.0,800,1.818,Hoffmann et al. 2022,1,1.981841642469743,-0.16384164246974287,1.921220448551869
Chinchilla,70.0,1400,1.71,Hoffmann et al. 2022,1,1.9366730688733724,-0.22667306887337246,1.8839058032559521
Gopher,0.2,300,2.819,Hoffmann et al. 2022,1,2.552940903632761,0.2660590963672389,2.734808125728665
Gopher,0.5,300,2.679,Hoffmann et al. 2022,1,2.3891792933968956,0.2898207066031042,2.5670862471201557
Gopher,1.4,300,2.484,Hoffmann et al. 2022,1,2.256852485678558,0.22714751432144187,2.445204971448762
Gopher,2.8,300,2.381,Hoffmann et al. 2022,1,2.1905709632556016,0.19042903674439815,2.3850431952886457
Gopher,7.6,300,2.312,Hoffmann et al. 2022,1,2.118773529574517,0.1932264704254827,2.3127795226607137
Gopher,40.0,300,2.169,Hoffmann et al. 2022,1,2.0421463612694746,0.12685363873052546,2.2472144929714974
Gopher,280.0,300,2.057,Hoffmann et al. 2022,1,1.9932740342495279,0.06372596575047207,2.2088634447815596
LLaMA,7.0,1000,1.943,Touvron et al. 2023,1,2.0519484115232083,-0.10894841152320822,1.8402162253590844
LLaMA,13.0,1000,1.835,Touvron et al. 2023,1,2.0172826234736685,-0.18228262347366853,1.8299951746263647
LLaMA,33.0,1000,1.778,Touvron et al. 2023,1,1.9771106186127312,-0.19911061861273116,1.7954325014784482
LLaMA,65.0,1400,1.685,Touvron et al. 2023,1,1.938803316405972,-0.25380331640597187,1.7753560985361025
LLaMA-2,7.0,2000,1.849,Touvron et al. 2023,1,2.020328716119627,-0.17132871611962686,1.7504126732317218
LLaMA-2,13.0,2000,1.75,Touvron et al. 2023,1,1.985662928070087,-0.23566292807008704,1.7479139911574122
LLaMA-2,70.0,2000,1.617,Touvron et al. 2023,1,1.921169157705723,-0.30416915770572306,1.7176733356108662
PaLM,8.0,780,1.901,Chowdhery et al. 2022,1,2.056755634704277,-0.155755634704277,1.6731965487178622
PaLM,62.0,780,1.653,Chowdhery et al. 2022,1,1.9692196771708104,-0.31621967717081034,1.665892612417662
PaLM,540.0,780,1.473,Chowdhery et al. 2022,1,1.9238984948020197,-0.4508984948020196,1.6879108388644761
OPT,1.3,180,2.723,Zhang et al. 2022,1,2.3035223773922304,0.41947762260776944,2.4364795978977494
OPT,6.7,180,2.417,Zhang et al. 2022,1,2.1651646860035116,0.2518353139964882,2.340032483661851
OPT,30.0,180,2.256,Zhang et al. 2022,1,2.0911371558502867,0.16486284414971308,2.28774807097032
OPT,66.0,180,2.179,Zhang et al. 2022,1,2.0649516454206847,0.11404835457931517,2.2742661829333173
OPT,175.0,180,2.042,Zhang et al. 2022,1,2.0409176307034396,0.0010823692965602483,2.278473664536761
BLOOM,0.56,366,2.628,Scao et al. 2022,1,2.3586449701143923,0.2693550298856078,2.4413108929897227
BLOOM,1.7,366,2.456,Scao et al. 2022,1,2.223086067187503,0.23291393281249695,2.3178990224205367
BLOOM,7.1,366,2.267,Scao et al. 2022,1,2.1093311754046185,0.15766882459538145,2.229225833376691
BLOOM,176.0,366,1.846,Scao et al. 2022,1,1.988584988781888,-0.14258498878188797,2.2085642512130503
