experiment_id,N_params_B,D_tokens_B,Q_score,val_loss,N,D,pred_best,resid_best
N0.07_D0010_Q0.1,0.07,10.0,0.1,3.7216,70000000.0,10000000000.0,3.8535420573491956,-0.13194205734919562
N0.07_D0010_Q0.2,0.07,10.0,0.2,3.6004,70000000.0,10000000000.0,3.783405262323399,-0.1830052623233991
N0.07_D0010_Q0.3,0.07,10.0,0.3,3.6507,70000000.0,10000000000.0,3.7131636227725635,-0.062463622772563454
N0.07_D0010_Q0.4,0.07,10.0,0.4,3.5704,70000000.0,10000000000.0,3.64280187149637,-0.07240187149637034
N0.07_D0010_Q0.6,0.07,10.0,0.6,3.5458,70000000.0,10000000000.0,3.501627830797978,0.04417216920202183
N0.07_D0010_Q0.8,0.07,10.0,0.8,3.353,70000000.0,10000000000.0,3.3595703725510013,-0.006570372551001125
N0.07_D0010_Q0.9,0.07,10.0,0.9,3.2211,70000000.0,10000000000.0,3.287952424533149,-0.06685242453314899
N0.07_D0010_Q1.0,0.07,10.0,1.0,3.1125,70000000.0,10000000000.0,3.2151363237169477,-0.10263632371694786
N0.07_D0050_Q0.1,0.07,50.0,0.1,3.5105,70000000.0,50000000000.0,3.54143952340076,-0.030939523400760116
N0.07_D0050_Q0.2,0.07,50.0,0.2,3.4001,70000000.0,50000000000.0,3.479646718704755,-0.07954671870475494
N0.07_D0050_Q0.3,0.07,50.0,0.3,3.3596,70000000.0,50000000000.0,3.41776154256154,-0.05816154256154027
N0.07_D0050_Q0.4,0.07,50.0,0.4,3.2727,70000000.0,50000000000.0,3.3557705440695287,-0.08307054406952874
N0.07_D0050_Q0.6,0.07,50.0,0.6,3.0798,70000000.0,50000000000.0,3.231391608279647,-0.1515916082796469
N0.07_D0050_Q0.8,0.07,50.0,0.8,3.1431,70000000.0,50000000000.0,3.1062343528071428,0.03686564719285723
N0.07_D0050_Q0.9,0.07,50.0,0.9,3.0628,70000000.0,50000000000.0,3.0431366040011403,0.01966339599885991
N0.07_D0050_Q1.0,0.07,50.0,1.0,2.9922,70000000.0,50000000000.0,2.9789832434889414,0.01321675651105858
N0.07_D0150_Q0.1,0.07,150.0,0.1,3.384,70000000.0,150000000000.0,3.3962884643198605,-0.012288464319860637
N0.07_D0150_Q0.2,0.07,150.0,0.2,3.2214,70000000.0,150000000000.0,3.338376240207447,-0.11697624020744701
N0.07_D0150_Q0.3,0.07,150.0,0.3,3.3529,70000000.0,150000000000.0,3.2803774455634205,0.07252255443657951
N0.07_D0150_Q0.4,0.07,150.0,0.4,3.1687,70000000.0,150000000000.0,3.22227947420117,-0.05357947420116993
N0.07_D0150_Q0.6,0.07,150.0,0.6,3.1017,70000000.0,150000000000.0,3.10571152037931,-0.004011520379310074
N0.07_D0150_Q0.8,0.07,150.0,0.8,3.0179,70000000.0,150000000000.0,2.988414125255783,0.029485874744216822
N0.07_D0150_Q0.9,0.07,150.0,0.9,2.7658,70000000.0,150000000000.0,2.9292789073640106,-0.1634789073640106
N0.07_D0150_Q1.0,0.07,150.0,1.0,2.9653,70000000.0,150000000000.0,2.8691543700521915,0.09614562994780851
N0.07_D0300_Q0.1,0.07,300.0,0.1,3.2863,70000000.0,300000000000.0,3.3251988370484535,-0.038898837048453316
N0.07_D0300_Q0.2,0.07,300.0,0.2,3.1355,70000000.0,300000000000.0,3.2691871779682966,-0.13368717796829666
N0.07_D0300_Q0.3,0.07,300.0,0.3,3.1588,70000000.0,300000000000.0,3.2130917894307167,-0.054291789430716886
N0.07_D0300_Q0.4,0.07,300.0,0.4,3.2809,70000000.0,300000000000.0,3.1569004789592965,0.12399952104070344
N0.07_D0300_Q0.6,0.07,300.0,0.6,3.0098,70000000.0,300000000000.0,3.0441580555899628,-0.034358055589962966
N0.07_D0300_Q0.8,0.07,300.0,0.8,2.8391,70000000.0,300000000000.0,2.9307101297445253,-0.09161012974452509
N0.07_D0300_Q0.9,0.07,300.0,0.9,2.858,70000000.0,300000000000.0,2.873515613129945,-0.01551561312994476
N0.07_D0300_Q1.0,0.07,300.0,1.0,2.837,70000000.0,300000000000.0,2.8153642446084257,0.021635755391574474
N0.07_D0600_Q0.1,0.07,600.0,0.1,3.1971,70000000.0,600000000000.0,3.266652542446409,-0.06955254244640896
N0.07_D0600_Q0.2,0.07,600.0,0.2,3.1469,70000000.0,600000000000.0,3.2122061052496647,-0.06530610524966463
N0.07_D0600_Q0.3,0.07,600.0,0.3,3.1946,70000000.0,600000000000.0,3.1576782783794135,0.03692172162058638
N0.07_D0600_Q0.4,0.07,600.0,0.4,3.1242,70000000.0,600000000000.0,3.1030572100727833,0.021142789927216743
N0.07_D0600_Q0.6,0.07,600.0,0.6,2.9753,70000000.0,600000000000.0,2.993465325558121,-0.018165325558121115
N0.07_D0600_Q0.8,0.07,600.0,0.8,2.8695,70000000.0,600000000000.0,2.883187653532641,-0.013687653532640898
N0.07_D0600_Q0.9,0.07,600.0,0.9,2.8303,70000000.0,600000000000.0,2.8275914132499262,0.0027085867500735716
N0.07_D0600_Q1.0,0.07,600.0,1.0,2.747,70000000.0,600000000000.0,2.771065059878021,-0.02406505987802099
N0.16_D0010_Q0.1,0.16,10.0,0.1,3.4765,160000000.0,10000000000.0,3.534201436428516,-0.05770143642851577
N0.16_D0010_Q0.2,0.16,10.0,0.2,3.4324,160000000.0,10000000000.0,3.475615405714409,-0.04321540571440918
N0.16_D0010_Q0.3,0.16,10.0,0.3,3.46,160000000.0,10000000000.0,3.416941797223732,0.04305820277626804
N0.16_D0010_Q0.4,0.16,10.0,0.4,3.2484,160000000.0,10000000000.0,3.3581678580973535,-0.10976785809735334
N0.16_D0010_Q0.6,0.16,10.0,0.6,3.269,160000000.0,10000000000.0,3.24024364041178,0.028756359588220093
N0.16_D0010_Q0.8,0.16,10.0,0.8,3.2072,160000000.0,10000000000.0,3.1215814944017684,0.08561850559823148
N0.16_D0010_Q0.9,0.16,10.0,0.9,3.0024,160000000.0,10000000000.0,3.0617582404205743,-0.05935824042057414
N0.16_D0010_Q1.0,0.16,10.0,1.0,3.0121,160000000.0,10000000000.0,3.000934156324197,0.011165843675803089
N0.16_D0050_Q0.1,0.16,50.0,0.1,3.2175,160000000.0,50000000000.0,3.22209890248008,-0.004598902480080103
N0.16_D0050_Q0.2,0.16,50.0,0.2,3.1458,160000000.0,50000000000.0,3.1718568620957646,-0.026056862095764632
N0.16_D0050_Q0.3,0.16,50.0,0.3,3.0796,160000000.0,50000000000.0,3.1215397170127086,-0.04193971701270849
N0.16_D0050_Q0.4,0.16,50.0,0.4,3.002,160000000.0,50000000000.0,3.071136530670512,-0.06913653067051229
N0.16_D0050_Q0.6,0.16,50.0,0.6,2.8375,160000000.0,50000000000.0,2.970007417893449,-0.1325074178934491
N0.16_D0050_Q0.8,0.16,50.0,0.8,2.894,160000000.0,50000000000.0,2.86824547465791,0.02575452534209033
N0.16_D0050_Q0.9,0.16,50.0,0.9,2.6326,160000000.0,50000000000.0,2.8169424198885658,-0.1843424198885657
N0.16_D0050_Q1.0,0.16,50.0,1.0,2.793,160000000.0,50000000000.0,2.7647810760961904,0.028218923903809756
N0.16_D0150_Q0.1,0.16,150.0,0.1,3.1249,160000000.0,150000000000.0,3.0769478433991804,0.04795215660081942
N0.16_D0150_Q0.2,0.16,150.0,0.2,2.9746,160000000.0,150000000000.0,3.030586383598457,-0.05598638359845687
N0.16_D0150_Q0.3,0.16,150.0,0.3,3.0125,160000000.0,150000000000.0,2.984155620014589,0.028344379985411283
N0.16_D0150_Q0.4,0.16,150.0,0.4,2.9738,160000000.0,150000000000.0,2.937645460802153,0.03615453919784706
N0.16_D0150_Q0.6,0.16,150.0,0.6,2.8802,160000000.0,150000000000.0,2.844327329993112,0.03587267000688765
N0.16_D0150_Q0.8,0.16,150.0,0.8,2.725,160000000.0,150000000000.0,2.7504252471065502,-0.025425247106550142
N0.16_D0150_Q0.9,0.16,150.0,0.9,2.7204,160000000.0,150000000000.0,2.703084723251436,0.017315276748564035
N0.16_D0150_Q1.0,0.16,150.0,1.0,2.6657,160000000.0,150000000000.0,2.6549522026594405,0.01074779734055964
N0.16_D0300_Q0.1,0.16,300.0,0.1,2.9719,160000000.0,300000000000.0,3.0058582161277734,-0.033958216127773166
N0.16_D0300_Q0.2,0.16,300.0,0.2,2.9407,160000000.0,300000000000.0,2.9613973213593066,-0.020697321359306464
N0.16_D0300_Q0.3,0.16,300.0,0.3,2.956,160000000.0,300000000000.0,2.916869963881885,0.03913003611811483
N0.16_D0300_Q0.4,0.16,300.0,0.4,2.8482,160000000.0,300000000000.0,2.87226646556028,-0.024066465560280026
