N_B,D_B,n_uncensored,h,rmse,L_classic
0.07,5,12,0.9268920297432469,0.02451633209404935,3.354576176684302
0.07,10,4,0.8858187472587101,0.05741857429793698,3.2151363237169477
0.07,20,12,0.8460990345139233,0.02313242017809073,3.1002997853296375
0.07,50,4,0.8122283533041267,0.024367622480972642,2.9789832434889414
0.07,100,12,0.7996920721547119,0.026442190822285022,2.9058144808361357
0.07,150,4,0.7795215458803485,0.0394505465375286,2.8691543700521915
0.07,300,4,0.7604882283070874,0.021550736674641184,2.8153642446084257
0.07,500,12,0.7660411856239701,0.022431599329080936,2.7818970475541502
0.07,1000,12,0.7585465668807052,0.02318549485257492,2.7435029463398006
0.07,2000,12,0.743323229591557,0.018152960958817296,2.711883250936219
0.16,5,12,0.6993321847633138,0.036459830349079465,3.140374009291551
0.16,10,4,0.6675393921606994,0.032098645923970055,3.000934156324197
0.16,20,12,0.6380265397337238,0.027032912341416672,2.886097617936887
0.16,50,4,0.6266759058366381,0.02973231597122487,2.7647810760961904
0.16,100,12,0.5977407491454843,0.017974307839595145,2.6916123134433847
0.16,150,4,0.5866960060433821,0.02129468105908499,2.6549522026594405
0.16,300,4,0.57279923465486,0.007306102354905585,2.6011620772156743
0.16,500,12,0.577023284718604,0.02078982915356614,2.5676948801613992
0.16,1000,12,0.5688908497303324,0.033102563847308454,2.5293007789470496
0.16,2000,12,0.5425809611762046,0.022515324160280126,2.497681083543468
0.41,5,12,0.49624688028304703,0.027293958468172428,2.959663589992641
0.41,10,4,0.4891532738561977,0.020311825988111938,2.8202237370252865
0.41,20,12,0.46157372526677265,0.02094190084826375,2.7053871986379763
0.41,50,4,0.42522553050402373,0.020462951759028448,2.58407065679728
0.41,100,12,0.41959419300077005,0.028759056428891407,2.5109018941444745
0.41,150,4,0.4215147070159884,0.010080573311746052,2.4742417833605304
0.41,300,4,0.4276099034989524,0.02471411891567817,2.4204516579167645
0.41,500,12,0.4115385128615064,0.015352440851351018,2.386984460862489
0.41,1000,11,0.4001920646791528,0.028198076443649103,2.3485903596481394
0.41,2000,11,0.4051909894635804,0.022858676273172437,2.316970664244558
0.7,5,12,0.39445092703784584,0.02105626343120219,2.879960899124865
0.7,10,11,0.3747714370368538,0.03628432998186127,2.740521046157511
0.7,20,11,0.3602526022997668,0.022215971002850863,2.6256845077702007
0.7,50,11,0.33724640765457203,0.01984319752114142,2.504367965929504
0.7,100,11,0.3421382480062417,0.01353437224669288,2.4311992032766985
0.7,150,11,0.3227238879907273,0.03126380094059777,2.3945390924927543
0.7,300,11,0.31892852881133854,0.021931358877402482,2.340748967048988
0.7,500,11,0.3218524786797457,0.015384226887569291,2.307281769994713
0.7,1000,11,0.32539287721133503,0.016990321476428198,2.2688876687803634
0.7,2000,11,0.2897940806986548,0.017189564548836703,2.237267973376782
1.0,5,11,0.30848067894526787,0.02616089314347419,2.834326281772385
1.0,10,11,0.30206320319139707,0.02469442632422493,2.694886428805031
1.0,20,11,0.2830185139407254,0.022169846766833444,2.5800498904177207
1.0,50,11,0.2956722667100794,0.020892818281954748,2.458733348577024
1.0,100,10,0.2659950688503397,0.03471496037129803,2.3855645859242185
1.0,150,10,0.2802036994918037,0.03769270420045962,2.3489044751402743
1.0,300,10,0.2846847896513407,0.048772151159395975,2.295114349696508
1.0,500,10,0.25899006224118015,0.02331901397745856,2.261647152642233
1.0,1000,10,0.2671606951430489,0.03863641424094492,2.2232530514278834
1.0,2000,10,0.2543668936063328,0.01682164854406831,2.191633356024302
2.8,5,10,0.17882447772565446,0.020619768664335875,2.729782895331478
2.8,10,10,0.1364693069276236,0.025578526169152765,2.5903430423641236
2.8,20,10,0.13370295953844438,0.017795285897384557,2.4755065039768134
