experiment_id,N_params_B,D_tokens_B,Q_score,val_loss,data_type,N,D,L_classic,censored
N0.07_D0005_Q0.05,0.07,5,0.05,1.0401,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.1,0.07,5,0.1,1.1624,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.2,0.07,5,0.2,1.4286,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.3,0.07,5,0.3,1.6112,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.4,0.07,5,0.4,1.8958,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.5,0.07,5,0.5,2.1434,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.6,0.07,5,0.6,2.4434,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.7,0.07,5,0.7,2.6519,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.8,0.07,5,0.8,2.8801,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.9,0.07,5,0.9,3.0925,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q0.95,0.07,5,0.95,3.2372,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0005_Q1.0,0.07,5,1.0,3.3659,calibrated,70000000.0,5000000000.0,3.354576176684302,False
N0.07_D0010_Q0.05,0.07,10,0.05,0.9918,calibrated,70000000.0,10000000000.0,3.2151363237169477,False
N0.07_D0010_Q0.5,0.07,10,0.5,2.0372,calibrated,70000000.0,10000000000.0,3.2151363237169477,False
N0.07_D0010_Q0.7,0.07,10,0.7,2.5538,calibrated,70000000.0,10000000000.0,3.2151363237169477,False
N0.07_D0010_Q0.95,0.07,10,0.95,3.2059,calibrated,70000000.0,10000000000.0,3.2151363237169477,False
N0.07_D0020_Q0.05,0.07,20,0.05,0.9701,calibrated,70000000.0,20000000000.0,3.1002997853296375,False
N0.07_D0020_Q0.1,0.07,20,0.1,1.096,calibrated,70000000.0,20000000000.0,3.1002997853296375,False
N0.07_D0020_Q0.2,0.07,20,0.2,1.2839,calibrated,70000000.0,20000000000.0,3.1002997853296375,False
N0.07_D0020_Q0.3,0.07,20,0.3,1.4876,calibrated,70000000.0,20000000000.0,3.1002997853296375,False
N0.07_D0020_Q0.4,0.07,20,0.4,1.7688,calibrated,70000000.0,20000000000.0,3.1002997853296375,False
N0.07_D0020_Q0.5,0.07,20,0.5,1.9631,calibrated,70000000.0,20000000000.0,3.1002997853296375,False
N0.07_D0020_Q0.6,0.07,20,0.6,2.1816,calibrated,70000000.0,20000000000.0,3.1002997853296375,False
N0.07_D0020_Q0.7,0.07,20,0.7,2.4162,calibrated,70000000.0,20000000000.0,3.1002997853296375,False
