model,classic_params,k,q_params,classic_fitted,B7_RMSE,B7_R2,AIC,BIC,B6fit_to_B7new_RMSE,B6fit_to_B7new_R2,LONO_CV_RMSE,LOQO_CV_RMSE,dBIC_vs_best
Q0 经典(忽略Q),锚定B1(H_U),0,[],"[1.6901, 406.4159, 0.34, 411.2306, 0.2801]",0.2072998578738234,0.6296543306581225,-1416.2300506322038,-1416.2300506322038,0.16158185553258367,0.7478075258794528,0.2072998578738234,0.2072998578738234,1247.4077199406927
Q1 有效数据 D·Q^κ,锚定B1(H_U),1,[1.07601],"[1.6901, 406.4159, 0.34, 411.2306, 0.2801]",0.11469557842037455,0.8866288338823316,-1946.9264242040351,-1942.8171766212708,0.10557876139857358,0.8923286729737648,0.11702080931964565,0.13432937597543768,720.8205939516256
Q2 有效参数 N·Q^κ,锚定B1(H_U),1,[0.83688],"[1.6901, 406.4159, 0.34, 411.2306, 0.2801]",0.09603157269259553,0.9205237541617167,-2106.770433432698,-2102.6611858499336,0.09464744662379436,0.9134703903584924,0.10277997668125083,0.12069490776841774,560.9765847229628
Q3 不可约项 E+e(1-Q)^γ,锚定B1(H_U),2,"[0.36203, 0.99034]","[1.6901, 406.4159, 0.34, 411.2306, 0.2801]",0.0730585570247167,0.954000676744597,-2350.8446075252764,-2342.626112359748,0.05951387691793297,0.9657876091303261,0.07819551389113046,0.07319750971031287,321.0116582131486
Q4 可约项幂乘子 Q^-κ,锚定B1(H_U),1,[0.18512],"[1.6901, 406.4159, 0.34, 411.2306, 0.2801]",0.08181583442807011,0.9423121982578856,-2250.9560312722238,-2246.8467836894592,0.08427338539545012,0.9313994146706059,0.08218410737816828,0.10318107723875845,416.7909868834372
Q5 可约项乘子 1+c(1-Q)^γ,锚定B1(H_U),2,"[0.45794, 0.98794]","[1.6901, 406.4159, 0.34, 411.2306, 0.2801]",0.057065168872839564,0.9719358769748309,-2573.2052156067843,-2564.986720441256,0.04669270900604174,0.9789406441529315,0.057659087473468484,0.057395361637199854,98.65105013164066
Q6 分项乘子(N项/D项各自),锚定B1(H_U),3,"[0.54469, 0.3569, 0.98808]","[1.6901, 406.4159, 0.34, 411.2306, 0.2801]",0.05540016492289815,0.9735496528047344,-2597.855437457139,-2585.527694708846,0.04534038670498711,0.9801428288095105,0.05965711829309565,0.055812563785245226,78.11007586405049
Q7 总损失乘子 L·(1+c(1-Q)^γ),锚定B1(H_U),2,"[0.14991, 0.98954]","[1.6901, 406.4159, 0.34, 411.2306, 0.2801]",0.06027597316516898,0.9686889433737726,-2523.939538663036,-2515.7210434975073,0.04982533788951189,0.9760200957172875,0.0633408956652881,0.060488466774429706,147.9167270753892
Q0 经典(忽略Q),自由,5,[],"[1.6846, 187.2904, 0.2832, 660.0248, 0.2996]",0.11823877449064983,0.8795160765823533,-1911.5442677851022,-1890.9980298712803,0.05895776076619726,0.9664240042506209,0.11892894661249215,0.12953972729914082,772.6397407016161
Q1 有效数据 D·Q^κ,自由,6,[1.17977],"[0.6794, 187.2903, 0.2832, 10.3235, 0.0831]",0.06954428026040985,0.9583195791408435,-2387.212442916865,-2362.5569574202786,0.05802153796025681,0.9674818812380714,0.0718882823694322,0.08431619050944061,301.0808131526178
Q2 有效参数 N·Q^κ,自由,6,[0.77014],"[1.5299, 62.061, 0.2237, 660.0224, 0.2996]",0.06448133061975382,0.9641674889356063,-2455.2415903508268,-2430.5861048542406,0.05418507420893685,0.9716399961707975,0.06935736026630303,0.08265141446090256,233.05166571865584
Q3 不可约项 E+e(1-Q)^γ,自由,7,"[0.36201, 0.99052]","[1.5208, 187.2903, 0.2832, 660.0256, 0.2996]",0.056297351058697646,0.9726860076701184,-2575.3970158695242,-2546.6322827901736,0.04159369800127511,0.9832890165690229,0.059661389427857404,0.05904564864882608,117.00548778272287
Q4 可约项幂乘子 Q^-κ,自由,6,[0.12556],"[1.571, 131.023, 0.2676, 200.9987, 0.2478]",0.06225779895382298,0.9665961298143164,-2486.8243203773927,-2462.1688348808066,0.05339066754278015,0.9724654716352547,0.06447490830226828,0.07854765399545452,201.46893569208987
Q5 可约项乘子 1+c(1-Q)^γ,自由,7,"[0.42379, 0.98628]","[1.6146, 130.4352, 0.2718, 275.9683, 0.2667]",0.04967158846138605,0.9787369598535687,-2688.0899530688957,-2659.325219989545,0.04293088797908241,0.9821972668086891,0.052122806479659695,0.05161223835981035,4.312550583351367
Q6 分项乘子(N项/D项各自),自由,8,"[0.52332, 0.27221, 0.98722]","[1.6073, 113.138, 0.2655, 325.3184, 0.2716]",0.049099720050518776,0.9792237437208323,-2696.511751235011,-2663.6377705728964,0.04269209300930226,0.9823947646977872,0.05225843535241208,0.0513063589850736,0.0
Q7 总损失乘子 L·(1+c(1-Q)^γ),自由,7,"[0.15027, 0.98861]","[1.5748, 174.2784, 0.2827, 616.9127, 0.2995]",0.05132189622326565,0.977300585766725,-2658.674011815299,-2629.909278735948,0.04136740738081855,0.9834703542357596,0.053840138462210266,0.05328444888559348,33.72849183694825
