experiment_id,N_params_B,D_tokens_B,Q_score,val_loss,pred,resid
N0.07_D0010_Q0.1,0.07,10.0,0.1,3.7216,3.8556924610695975,-0.1340924610695975
N0.07_D0010_Q0.2,0.07,10.0,0.2,3.6004,3.784519556919303,-0.18411955691930304
N0.07_D0010_Q0.3,0.07,10.0,0.3,3.6507,3.713346652769009,-0.06264665276900905
N0.07_D0010_Q0.4,0.07,10.0,0.4,3.5704,3.6421737486187142,-0.07177374861871444
N0.07_D0010_Q0.6,0.07,10.0,0.6,3.5458,3.4998279403181254,0.045972059681874455
N0.07_D0010_Q0.8,0.07,10.0,0.8,3.353,3.3574821320175365,-0.004482132017536333
N0.07_D0010_Q0.9,0.07,10.0,0.9,3.2211,3.2863092278672426,-0.0652092278672427
N0.07_D0010_Q1.0,0.07,10.0,1.0,3.1125,3.2151363237169477,-0.10263632371694786
N0.07_D0050_Q0.1,0.07,50.0,0.1,3.5105,3.5433349390331492,-0.03283493903314927
N0.07_D0050_Q0.2,0.07,50.0,0.2,3.4001,3.4806291950837926,-0.08052919508379253
N0.07_D0050_Q0.3,0.07,50.0,0.3,3.3596,3.4179234511344365,-0.0583234511344366
N0.07_D0050_Q0.4,0.07,50.0,0.4,3.2727,3.35521770718508,-0.08251770718508
N0.07_D0050_Q0.6,0.07,50.0,0.6,3.0798,3.2298062192863672,-0.15000621928636715
N0.07_D0050_Q0.8,0.07,50.0,0.8,3.1431,3.1043947313876545,0.03870526861234547
N0.07_D0050_Q0.9,0.07,50.0,0.9,3.0628,3.041688987438298,0.021111012561702225
N0.07_D0050_Q1.0,0.07,50.0,1.0,2.9922,2.9789832434889414,0.01321675651105858
N0.07_D0150_Q0.1,0.07,150.0,0.1,3.384,3.398065291389191,-0.014065291389190993
N0.07_D0150_Q0.2,0.07,150.0,0.2,3.2214,3.339297411240635,-0.11789741124063502
N0.07_D0150_Q0.3,0.07,150.0,0.3,3.3529,3.2805295310920797,0.07237046890792032
N0.07_D0150_Q0.4,0.07,150.0,0.4,3.1687,3.2217616509435243,-0.05306165094352444
N0.07_D0150_Q0.6,0.07,150.0,0.6,3.1017,3.104225890646413,-0.002525890646412954
N0.07_D0150_Q0.8,0.07,150.0,0.8,3.0179,2.9866901303493023,0.03120986965069772
N0.07_D0150_Q0.9,0.07,150.0,0.9,2.7658,2.9279222502007474,-0.16212225020074733
N0.07_D0150_Q1.0,0.07,150.0,1.0,2.9653,2.8691543700521915,0.09614562994780851
N0.07_D0300_Q0.1,0.07,300.0,0.1,3.2863,3.3269175838199208,-0.04061758381992053
N0.07_D0300_Q0.2,0.07,300.0,0.2,3.1355,3.2700783239075326,-0.13457832390753266
N0.07_D0300_Q0.3,0.07,300.0,0.3,3.1588,3.213239063995144,-0.0544390639951442
N0.07_D0300_Q0.4,0.07,300.0,0.4,3.2809,3.1563998040827554,0.12450019591724448
N0.07_D0300_Q0.6,0.07,300.0,0.6,3.0098,3.0427212842579787,-0.03292128425797891
N0.07_D0300_Q0.8,0.07,300.0,0.8,2.8391,2.929042764433202,-0.08994276443320182
N0.07_D0300_Q0.9,0.07,300.0,0.9,2.858,2.8722035045208143,-0.014203504520814203
N0.07_D0300_Q1.0,0.07,300.0,1.0,2.837,2.8153642446084257,0.021635755391574474
N0.07_D0600_Q0.1,0.07,600.0,0.1,3.1971,3.2683234568355757,-0.07122345683557585
N0.07_D0600_Q0.2,0.07,600.0,0.2,3.1469,3.2130725238402915,-0.06617252384029149
N0.07_D0600_Q0.3,0.07,600.0,0.3,3.1946,3.1578215908450082,0.03677840915499164
N0.07_D0600_Q0.4,0.07,600.0,0.4,3.1242,3.102570657849724,0.02162934215027601
N0.07_D0600_Q0.6,0.07,600.0,0.6,2.9753,2.992068791859156,-0.016768791859156362
N0.07_D0600_Q0.8,0.07,600.0,0.8,2.8695,2.8815669258685888,-0.012066925868588818
N0.07_D0600_Q0.9,0.07,600.0,0.9,2.8303,2.826315992873305,0.003984007126694777
N0.07_D0600_Q1.0,0.07,600.0,1.0,2.747,2.771065059878021,-0.02406505987802099
N0.16_D0010_Q0.1,0.16,10.0,0.1,3.4765,3.535997125025806,-0.059497125025806064
N0.16_D0010_Q0.2,0.16,10.0,0.2,3.4324,3.4765456840589612,-0.044145684058961354
N0.16_D0010_Q0.3,0.16,10.0,0.3,3.46,3.417094243092116,0.04290575690788412
N0.16_D0010_Q0.4,0.16,10.0,0.4,3.2484,3.35764280212527,-0.10924280212526982
N0.16_D0010_Q0.6,0.16,10.0,0.6,3.269,3.2387399201915787,0.03026007980842138
N0.16_D0010_Q0.8,0.16,10.0,0.8,3.2072,3.119837038257888,0.08736296174211189
N0.16_D0010_Q0.9,0.16,10.0,0.9,3.0024,3.0603855972910425,-0.05798559729104236
N0.16_D0010_Q1.0,0.16,10.0,1.0,3.0121,3.000934156324197,0.011165843675803089
N0.16_D0050_Q0.1,0.16,50.0,0.1,3.2175,3.223639602989358,-0.006139602989358117
N0.16_D0050_Q0.2,0.16,50.0,0.2,3.1458,3.172655322223451,-0.026855322223450884
N0.16_D0050_Q0.3,0.16,50.0,0.3,3.0796,3.1216710414575433,-0.042071041457543146
N0.16_D0050_Q0.4,0.16,50.0,0.4,3.002,3.0706867606916357,-0.06868676069163593
N0.16_D0050_Q0.6,0.16,50.0,0.6,2.8375,2.9687181991598206,-0.1312181991598207
N0.16_D0050_Q0.8,0.16,50.0,0.8,2.894,2.8667496376280055,0.02725036237199463
N0.16_D0050_Q0.9,0.16,50.0,0.9,2.6326,2.815765356862098,-0.1831653568620979
N0.16_D0050_Q1.0,0.16,50.0,1.0,2.793,2.7647810760961904,0.028218923903809756
N0.16_D0150_Q0.1,0.16,150.0,0.1,3.1249,3.0783699553453996,0.0465300446546002
N0.16_D0150_Q0.2,0.16,150.0,0.2,2.9746,3.0313235383802932,-0.05672353838029309
N0.16_D0150_Q0.3,0.16,150.0,0.3,3.0125,2.9842771214151864,0.02822287858481376
N0.16_D0150_Q0.4,0.16,150.0,0.4,2.9738,2.93723070445008,0.03656929554992017
N0.16_D0150_Q0.6,0.16,150.0,0.6,2.8802,2.8431378705198664,0.03706212948013343
N0.16_D0150_Q0.8,0.16,150.0,0.8,2.725,2.7490450365896537,-0.024045036589653623
N0.16_D0150_Q0.9,0.16,150.0,0.9,2.7204,2.7019986196245473,0.018401380375452803
N0.16_D0150_Q1.0,0.16,150.0,1.0,2.6657,2.6549522026594405,0.01074779734055964
N0.16_D0300_Q0.1,0.16,300.0,0.1,2.9719,3.0072222477761295,-0.035322247776129245
N0.16_D0300_Q0.2,0.16,300.0,0.2,2.9407,2.962104451047191,-0.021404451047190687
N0.16_D0300_Q0.3,0.16,300.0,0.3,2.956,2.9169866543182508,0.03901334568174919
N0.16_D0300_Q0.4,0.16,300.0,0.4,2.8482,2.8718688575893117,-0.02366885758931181
N0.16_D0300_Q0.6,0.16,300.0,0.6,2.8081,2.781633264131432,0.02646673586856796
N0.16_D0300_Q0.8,0.16,300.0,0.8,2.6978,2.6913976706735534,0.006402329326446576
N0.16_D0300_Q0.9,0.16,300.0,0.9,2.6348,2.6462798739446143,-0.011479873944614472
N0.16_D0300_Q1.0,0.16,300.0,1.0,2.6071,2.6011620772156743,0.0059379227843257
N0.16_D0600_Q0.1,0.16,600.0,0.1,2.98,2.9486281207917844,0.0313718792082156
N0.16_D0600_Q0.2,0.16,600.0,0.2,2.9212,2.9050986509799497,0.016101349020050115
N0.16_D0600_Q0.3,0.16,600.0,0.3,2.8818,2.861569181168115,0.020230818831885156
N0.16_D0600_Q0.4,0.16,600.0,0.4,2.8627,2.81803971135628,0.04466028864371996
N0.16_D0600_Q0.6,0.16,600.0,0.6,2.7288,2.7309807717326096,-0.0021807717326094433
N0.16_D0600_Q0.8,0.16,600.0,0.8,2.658,2.6439218321089397,0.0140781678910602
N0.16_D0600_Q0.9,0.16,600.0,0.9,2.5923,2.600392362297105,-0.008092362297105193
N0.16_D0600_Q1.0,0.16,600.0,1.0,2.5781,2.55686289248527,0.02123710751473018
