model_name,N_params_B,D_tokens_B,FLOPs,publication_date,organization,accessibility,country,family,N_params_B_B10,D_tokens_B_B10,val_loss,is_converged,FLOPs_over_6ND,tokens_per_param,is_open,usable_LLM_row,N,D,C6ND,L_B1_classic,L_Qref_pref,L_Q0p8_pref,L_Qref_pstar,N_opt_at_same_C_B,overtrain_ratio_tokens_per_param_vs_opt,N_equiv_mult_dQ0p1,N_equiv_mult_CI_low,N_equiv_mult_CI_high,diff_B10_minus_B1law
Ling-flash-base-2.0-20T,100.0,20000.0,7.32e+23,2025-09-10,Ant Group,Open weights (unrestricted),China,Ling-flash-base-2.0-20T,100.0,20000.0,1.8412,1.0,0.061,200.0,True,True,100000000000.0,20000000000000.0,1.2e+25,1.8414923728739596,1.8414923728739596,1.8295092826807124,1.831853342057582,126.91233297912886,1.610674026220528,1.5350465284251464,1.4710125925515372,1.626034672590984,-0.0002923728739596676
FaXin,100.0,3670.0,,2024-11-15,,,,FaXin,100.0,3670.0,1.8882,1.0,,36.7,False,True,100000000000.0,3670000000000.0,2.202e+24,1.8885608639479308,1.8885608639479308,1.873613966022859,1.877036388227206,59.00847990877945,0.34820007011448284,1.7245081830610853,1.627572551725593,1.883430767652947,-0.00036086394793066745
PLaMo-100B,100.0,2000.0,1.1999999999999999e+24,2024-06-14,Preferred Networks Inc,API access,Japan,PLaMo-100B,100.0,2000.0,1.9112,1.0,1.0,20.0,False,True,100000000000.0,2000000000000.0,1.2e+24,1.911634891281919,1.911634891281919,1.8952350685008257,1.8992428197811682,44.857946704367635,0.2012235382531887,1.8289131287973928,1.697807715991022,2.0493336453536206,-0.00043489128191898097
Yi-Large,100.0,3000.0,1.8e+24,2024-05-13,01.AI,API access,China,Yi-Large,100.0,3000.0,1.8954,1.0,1.0,30.0,False,True,100000000000.0,3000000000000.0,1.8e+24,1.8957923172869162,1.8957923172869162,1.8803900693638016,1.8839924127072025,53.873296403462646,0.29023320653753415,1.756349666095635,1.6561956197241752,1.9251858659487886,-0.0003923172869162439
Hunyuan,100.0,2000.0,1.1999999999999999e+24,2023-09-07,Tencent,API access,China,Hunyuan,100.0,2000.0,1.9112,1.0,1.0,20.0,False,True,100000000000.0,2000000000000.0,1.2e+24,1.911634891281919,1.911634891281919,1.8952350685008257,1.8992428197811682,44.857946704367635,0.2012235382531887,1.8289131287973928,1.7055784807399517,2.0328102813199345,-0.00043489128191898097
Luca 2.0,100.0,2000.0,1.1999999999999999e+24,2023-08-29,Mianbi Intelligence,Hosted access (no API),China,Luca 2.0,100.0,2000.0,1.9112,1.0,1.0,20.0,False,True,100000000000.0,2000000000000.0,1.2e+24,1.911634891281919,1.911634891281919,1.8952350685008257,1.8992428197811682,44.857946704367635,0.2012235382531887,1.8289131287973928,1.7055740637272512,2.030874080132675,-0.00043489128191898097
xTrimoPGLM -100B,100.0,275.0,6.2e+23,2023-07-06,"Tsinghua University,BioMap Research",Unreleased,"China,China",xTrimoPGLM -100B,100.0,275.0,2.0206,1.0,3.757575757575757,2.75,False,True,100000000000.0,275000000000.0,1.65e+23,2.0213091594062784,2.0213091594062784,1.998003369672934,2.0051504665713202,18.308019397455613,0.03351835742576109,2.4605731474237036,2.182751895435991,2.9432471266211766,-0.0007091594062784701
YaLM,100.0,300.0,2.2e+23,2022-06-23,Yandex,Open weights (unrestricted),Russia,YaLM,100.0,300.0,2.0144,1.0,1.2222222222222223,3.0,True,True,100000000000.0,300000000000.0,1.8e+23,2.0151158849541257,2.0151158849541257,1.9922000731930463,1.9991572279427032,19.041848826879207,0.03625920067457211,2.4177076473819277,2.146162979174935,2.8562367232900967,-0.0007158849541255563
FLM-101B,101.0,311.5,5.72e+22,2023-09-07,"Chinese Academy of Sciences,Harbin Institute of Technology,Nanyang Technological University,Beijing Academy of Artificial Intelligence / BAAI",Open weights (unrestricted),"China,China,Singapore,China",FLM-101B,101.0,311.5,2.0116,1.0,0.3030158553576064,3.084158415841584,True,True,101000000000.0,311500000000.0,1.88769e+23,2.0122350182238327,2.0122350182238327,1.9895088843407982,1.9963698511499999,19.45537802512949,0.037105355759307075,2.4055106054262825,2.112191365720228,2.971447241979733,-0.0006350182238326063
Solar Open 100B,102.0,19700.0,,2025-12-31,Upstage,API access,Korea (Republic of),Solar Open 100B,102.0,19700.0,1.841,1.0,,193.1372549019608,False,True,102000000000.0,19700000000000.0,1.20564e+25,1.841324641913739,1.841324641913739,1.829368555375468,1.8316926599478283,127.18139905790152,1.5547009098736249,1.5382286408882162,1.481504442072535,1.6402583289211723,-0.0003246419137390433
