index,metric/the_pile_arxiv_val_loss,metric/the_pile_freelaw_val_loss,metric/the_pile_pubmed_central_val_loss,metric/the_pile_wikipedia_en_val_loss,metric/the_pile_dm_mathematics_val_loss,metric/the_pile_github_val_loss,metric/the_pile_stackexchange_val_loss,metric/the_pile_gutenberg_pg_19_val_loss,metric/the_pile_pile_cc_val_loss,metric/the_pile_ubuntu_irc_val_loss,metric/the_pile_hackernews_val_loss,metric/the_pile_pubmed_abstracts_val_loss,metric/the_pile_uspto_backgrounds_val_loss
1,1.5541,1.1858,1.4458,1.2475,1.2876,1.4672,1.3511,1.0456,1.1435,1.5981,1.1518,1.3035,1.1984
2,1.2489,1.4407,1.5309,1.4300,1.2163,1.0916,1.2975,1.3058,1.4084,1.3911,1.2654,1.4901,1.4719
3,0.9504,1.4762,1.2029,1.5116,1.0388,1.6665,1.5489,1.4169,1.4030,1.9047,1.4000,1.4334,1.4031
4,1.3325,1.3742,1.4644,1.5972,1.4446,1.1316,1.2146,1.3892,1.5892,2.0425,1.5135,1.4365,1.2202
5,1.2608,1.7494,1.4666,1.8171,0.6276,1.4017,1.3279,1.5637,1.8002,2.2191,1.6654,1.7701,1.5042
6,0.9208,1.3206,1.2496,1.2925,1.3022,1.0327,1.2317,1.4352,1.4174,1.2713,1.3919,1.4461,1.3571
7,1.6900,1.8062,1.2997,1.7529,0.9252,1.8061,1.6152,1.6986,1.7068,1.8487,1.6251,1.5967,1.3403
8,1.6147,0.8958,1.4780,1.3020,1.3006,1.4953,1.4080,1.1654,1.1976,1.6500,1.2016,1.3079,1.2399
9,1.1299,1.3036,0.7569,1.2194,1.1220,1.5295,1.3731,1.3146,1.2526,1.6569,1.2757,0.9056,1.0869
10,1.3279,1.5480,1.1303,1.2996,1.4693,1.4300,1.3637,1.4155,1.4901,2.0588,1.5048,1.4152,1.4712
11,1.6332,0.8267,1.3224,1.2986,1.3014,1.2875,1.3555,1.1160,1.2974,1.7446,1.2705,1.1468,1.2271
12,1.3209,0.8770,0.9600,1.3010,1.2583,1.4634,1.3885,1.0597,1.2979,1.7057,1.2776,1.1155,1.2105
13,1.4144,1.3425,0.9785,1.4966,1.3879,1.7372,1.6057,1.3988,1.3957,1.7691,1.2990,1.2536,1.3559
14,1.7874,1.7158,1.3590,1.8106,0.7663,1.5330,1.6354,1.6596,1.8404,1.7666,1.5887,1.5029,1.6262
15,1.4122,1.7452,1.3716,1.5437,0.7629,1.2457,1.2479,1.5222,1.6654,2.0884,1.4592,1.3973,1.3719
16,1.4194,1.5753,1.4806,2.0437,0.6171,1.4748,1.5292,1.7574,1.9606,1.6659,1.8547,1.7891,1.5998
17,1.1074,1.2972,1.7529,1.7817,0.7827,1.4284,1.3558,1.6084,1.6846,1.5683,1.5703,1.7782,1.4369
18,1.6573,1.6793,1.3578,1.7513,0.7839,1.5292,1.4963,1.7154,1.6871,1.6137,1.6304,1.6171,1.7137
19,1.3060,1.3672,1.6282,1.6663,0.7836,1.7199,1.5201,1.6478,1.6551,1.6770,1.5244,1.7661,1.6736
20,1.4751,1.5597,1.1119,1.4794,1.5138,1.4199,1.5124,1.3391,1.4686,1.4992,1.3732,1.3132,1.4578
21,0.9388,1.4596,1.2234,1.4102,1.4187,1.3451,1.4080,1.4710,1.4854,1.3057,1.2800,1.4616,1.2452
22,1.5089,1.2996,1.5738,1.8087,0.6342,1.2530,1.5191,1.3517,1.7214,2.1567,1.6379,1.6651,1.3164
23,1.4494,1.4024,1.1258,1.6711,1.5436,1.3652,1.5036,1.6743,1.6590,1.3479,1.6052,1.3217,1.2240
24,1.6665,0.8554,1.4560,1.3895,1.2918,1.2192,1.3235,1.1537,1.3112,1.6579,1.2656,1.2796,0.9600
25,1.3485,1.1489,1.2258,1.6904,1.3623,1.3242,1.1251,1.5301,1.5748,1.4690,1.4902,1.4849,1.5149
26,1.0807,1.5835,1.1205,1.5514,1.5116,1.7045,1.5777,1.7034,1.6542,1.5981,1.6504,1.3914,1.4288
27,1.7073,1.2883,1.2648,1.6058,0.7468,1.5437,1.6667,1.4841,1.6947,1.8609,1.4873,1.4519,1.6311
28,1.2684,1.1397,1.6396,1.5942,0.4980,1.2570,1.1726,1.3680,1.5442,1.9588,1.4771,1.7058,1.4212
29,1.1615,1.2370,1.1832,1.2967,1.2207,1.6723,1.4661,0.9810,1.2228,1.7033,1.2198,1.1531,0.8482
30,1.7088,1.4333,1.4092,1.3130,1.4054,1.1223,1.3516,1.1989,1.4331,1.5792,1.4186,1.4383,1.0770
31,1.2010,1.3691,1.3564,1.3638,1.0387,1.6129,1.6131,1.2802,1.5019,2.1075,1.3985,1.3445,1.4719
32,1.5088,0.7261,1.2949,1.1744,1.2001,1.4353,1.3356,1.0372,1.0931,1.4867,1.0936,1.1089,0.9791
33,1.5494,1.3243,1.5143,1.3726,1.2764,0.9416,1.1719,1.0922,1.2745,1.6974,1.2448,1.4502,1.3371
34,1.4776,1.3626,1.3796,1.6987,1.3611,0.9664,1.2008,1.4146,1.5858,1.3904,1.4596,1.6157,1.5815
35,1.4004,1.6352,1.5257,1.3600,0.4964,1.3425,1.1454,1.6126,1.5365,1.5522,1.5333,1.6858,1.5586
36,1.1810,1.9874,1.3984,2.0438,0.8040,1.7205,1.4591,1.6395,1.8964,1.6143,1.7758,1.7213,1.7756
37,1.5608,1.5752,1.3114,1.5520,0.6212,1.5563,1.6192,1.6637,1.7608,2.3530,1.5846,1.5145,1.3870
38,1.3154,1.2885,1.5878,1.4943,1.4560,1.7336,1.5785,1.3785,1.3671,1.7689,1.3846,1.4305,1.1537
39,1.4703,1.3738,1.4692,1.4288,0.6432,1.3633,1.2126,1.5261,1.6087,2.0816,1.4471,1.6023,1.4385
40,1.1730,1.0686,1.0864,1.5973,1.4007,1.4925,1.3229,1.4589,1.4998,2.0037,1.4241,1.3198,1.4323
41,1.2966,1.6968,1.5194,1.6261,0.7027,1.0401,1.3463,1.4575,1.6228,1.6030,1.5226,1.6318,1.5200
42,1.4799,1.6868,1.4150,1.5691,0.7239,1.1810,1.4561,1.5212,1.6860,2.1206,1.4201,1.5756,1.3303
43,1.1858,1.7636,1.7170,1.5869,0.5945,1.5008,1.4017,1.4684,1.7058,2.1918,1.5710,1.7301,1.5572
44,1.3804,1.2363,1.1412,1.7602,0.5690,1.2788,1.2995,1.5552,1.6614,2.0320,1.5758,1.4515,1.5420
45,0.8006,1.1230,1.3101,1.4460,0.7258,1.2522,1.1050,1.3130,1.3570,1.7077,1.2852,1.3090,1.2529
46,1.4814,1.5118,1.2698,1.5471,1.0574,1.4444,1.4847,1.5715,1.6545,1.6620,1.5118,1.5332,1.6621
47,1.7909,1.2889,1.4355,1.0555,0.6299,1.6371,1.4720,1.2614,1.2203,1.2435,1.0934,1.2109,0.9238
48,1.0821,1.6251,1.1973,1.4714,1.3615,1.3521,1.1314,1.5310,1.5256,1.9907,1.4735,1.3784,1.1430
49,0.8635,1.0271,1.3893,1.4290,1.3191,1.6056,1.4813,1.2905,1.3334,1.8150,1.3246,1.3546,1.1439
50,1.0117,1.3382,1.2259,1.4118,0.7107,1.7297,1.6015,1.4716,1.5150,1.8076,1.2951,1.4321,1.2679
51,1.2417,1.4650,1.3355,1.4882,1.1597,0.8524,1.0106,1.3829,1.3887,1.6473,1.2794,1.1101,1.2920
52,1.3100,1.1988,1.5427,1.8773,0.7181,1.6595,1.4947,1.5506,1.7773,2.3191,1.6500,1.4634,1.3874
53,1.6391,0.9336,1.2638,1.4476,0.7502,1.2777,1.4002,1.2550,1.4235,1.8282,1.3818,1.2781,1.0328
54,1.1850,1.4661,1.6246,1.5357,0.8841,1.4895,1.5057,1.4283,1.4116,1.9905,1.3997,1.5620,1.2977
55,1.1548,1.1097,1.5304,1.6776,1.4679,1.4638,1.3076,1.4177,1.5639,1.9282,1.4163,1.2945,1.4861
56,1.4029,1.6257,1.5575,1.8437,0.8370,1.5984,1.5054,1.5256,1.6894,1.6763,1.5557,1.6347,1.4281
57,1.6211,1.2405,1.5132,1.3028,1.3407,1.5564,1.4125,1.1080,1.1940,1.6480,1.2053,1.3608,1.2541
58,1.1862,1.3163,1.4448,1.2602,1.3255,1.0904,1.2481,1.2647,1.2746,1.7854,1.2779,1.4408,1.3290
59,0.8512,1.4195,0.8472,1.4073,1.1542,1.2789,1.1667,1.4244,1.3488,1.6970,1.3117,1.0151,1.1820
60,1.0194,1.6086,1.1657,1.5833,1.3616,1.2206,1.1182,1.3275,1.5593,1.8436,1.4477,1.3385,1.4578
61,1.3723,1.2818,1.6946,1.7900,1.0582,1.4267,1.3173,1.6456,1.7253,2.2171,1.4448,1.4191,1.6402
62,1.2304,1.6278,1.2358,1.7300,0.8932,1.2939,1.3121,1.7654,1.7376,1.7133,1.6724,1.5380,1.3280
63,1.3080,1.4237,1.6040,1.7630,1.5047,1.4657,1.2819,1.5601,1.6272,1.8526,1.5593,1.2916,1.4078
