run_id,N_params_B,D_tokens_B,C_FLOPs_1e21,steps,batch_tokens_M,lr,wd,precision,gpu_days,step_time_ms,train_loss,val_loss,ppl,grad_norm_avg
cerebras_0.111B,0.111,14.000,0.009548,1000,14.3,6e-4,0.1,bf16,,,6.5040,6.4979,663.77,
cerebras_0.111B,0.111,29.000,0.019095,2000,14.3,6e-4,0.1,bf16,,,5.8141,5.7942,328.40,
cerebras_0.111B,0.111,43.000,0.028643,3000,14.3,6e-4,0.1,bf16,,,5.4758,5.4529,233.43,
cerebras_0.111B,0.111,57.000,0.038190,4000,14.3,6e-4,0.1,bf16,,,5.1889,5.1848,178.55,
cerebras_0.111B,0.111,72.000,0.047738,5000,14.3,6e-4,0.1,bf16,,,5.0567,5.0399,154.46,
cerebras_0.111B,0.111,86.000,0.057285,6000,14.3,6e-4,0.1,bf16,,,4.9145,4.9005,134.36,
cerebras_0.111B,0.111,100.000,0.066833,7000,14.3,6e-4,0.1,bf16,,,4.7979,4.7688,117.78,
cerebras_0.111B,0.111,115.000,0.076380,8000,14.3,6e-4,0.1,bf16,,,4.7400,4.7178,111.92,
cerebras_0.111B,0.111,129.000,0.085928,9000,14.3,6e-4,0.1,bf16,,,4.6540,4.6465,104.22,
cerebras_0.111B,0.111,143.000,0.095476,10000,14.3,6e-4,0.1,bf16,,,4.6171,4.6003,99.52,
cerebras_0.111B,0.111,158.000,0.105023,11000,14.3,6e-4,0.1,bf16,,,4.5494,4.5220,92.02,
cerebras_0.111B,0.111,172.000,0.114571,12000,14.3,6e-4,0.1,bf16,,,4.4673,4.4305,83.98,
cerebras_0.111B,0.111,186.000,0.124118,13000,14.3,6e-4,0.1,bf16,,,4.4258,4.4228,83.33,
cerebras_0.111B,0.111,201.000,0.133666,14000,14.3,6e-4,0.1,bf16,,,4.4239,4.3766,79.57,
cerebras_0.111B,0.111,215.000,0.143213,15000,14.3,6e-4,0.1,bf16,,,4.3468,4.3410,76.79,
cerebras_0.111B,0.111,229.000,0.152761,16000,14.3,6e-4,0.1,bf16,,,4.3317,4.3079,74.28,
cerebras_0.111B,0.111,244.000,0.162308,17000,14.3,6e-4,0.1,bf16,,,4.2845,4.2706,71.56,
cerebras_0.111B,0.111,258.000,0.171856,18000,14.3,6e-4,0.1,bf16,,,4.2927,4.2643,71.12,
cerebras_0.111B,0.111,272.000,0.181403,19000,14.3,6e-4,0.1,bf16,,,4.2413,4.2220,68.17,
cerebras_0.111B,0.111,287.000,0.190951,20000,14.3,6e-4,0.1,bf16,,,4.2141,4.1985,66.59,
cerebras_0.111B,0.111,301.000,0.200499,21000,14.3,6e-4,0.1,bf16,,,4.1940,4.1726,64.89,
cerebras_0.111B,0.111,315.000,0.210046,22000,14.3,6e-4,0.1,bf16,,,4.1770,4.1687,64.63,
cerebras_0.111B,0.111,330.000,0.219594,23000,14.3,6e-4,0.1,bf16,,,4.1775,4.1408,62.85,
