family,model_repo,config_bytes,readme_bytes,weight_file_count,weight_total_bytes,source_url,error
pythia,EleutherAI/pythia-14m,698,10560,2,56303938,https://huggingface.co/EleutherAI/pythia-14m,
pythia,EleutherAI/pythia-70m,567,14256,2,332078951,https://huggingface.co/EleutherAI/pythia-70m,
pythia,EleutherAI/pythia-160m,569,13593,2,750035541,https://huggingface.co/EleutherAI/pythia-160m,
pythia,EleutherAI/pythia-410m,570,13593,2,1822822845,https://huggingface.co/EleutherAI/pythia-410m,
pythia,EleutherAI/pythia-1b,569,13568,2,4181453493,https://huggingface.co/EleutherAI/pythia-1b,
pythia,EleutherAI/pythia-1.4b,570,13597,2,5860078981,https://huggingface.co/EleutherAI/pythia-1.4b,
pythia,EleutherAI/pythia-2.8b,571,13593,2,11369487041,https://huggingface.co/EleutherAI/pythia-2.8b,
pythia,EleutherAI/pythia-6.9b,571,13593,4,27697868990,https://huggingface.co/EleutherAI/pythia-6.9b,
pythia,EleutherAI/pythia-12b,571,13570,6,47686533355,https://huggingface.co/EleutherAI/pythia-12b,
cerebras_gpt,cerebras/Cerebras-GPT-111M,359,12566,1,486188257,https://huggingface.co/cerebras/Cerebras-GPT-111M,
cerebras_gpt,cerebras/Cerebras-GPT-256M,360,12567,1,1082688753,https://huggingface.co/cerebras/Cerebras-GPT-256M,
cerebras_gpt,cerebras/Cerebras-GPT-590M,360,12567,1,2436818753,https://huggingface.co/cerebras/Cerebras-GPT-590M,
cerebras_gpt,cerebras/Cerebras-GPT-1.3B,360,12567,1,5363661129,https://huggingface.co/cerebras/Cerebras-GPT-1.3B,
cerebras_gpt,cerebras/Cerebras-GPT-2.7B,361,12583,1,10740572549,https://huggingface.co/cerebras/Cerebras-GPT-2.7B,
cerebras_gpt,cerebras/Cerebras-GPT-6.7B,361,12584,1,26767978209,https://huggingface.co/cerebras/Cerebras-GPT-6.7B,
cerebras_gpt,cerebras/Cerebras-GPT-13B,800,12580,2,51581500674,https://huggingface.co/cerebras/Cerebras-GPT-13B,
olmo,allenai/OLMo-1B,1321,17433,2,9414146093,https://huggingface.co/allenai/OLMo-1B,
olmo,allenai/OLMo-7B,1322,17697,2,55104826062,https://huggingface.co/allenai/OLMo-7B,
