family,N_params_B,D_tokens_B,val_loss,source,is_converged
GPT-2,1.5,10,2.906,Kaplan et al. 2020,1
GPT-3,0.125,300,2.761,Kaplan et al. 2020,1
GPT-3,0.35,300,2.632,Kaplan et al. 2020,1
GPT-3,0.77,300,2.506,Kaplan et al. 2020,1
GPT-3,1.3,300,2.415,Kaplan et al. 2020,1
GPT-3,2.6,300,2.318,Kaplan et al. 2020,1
GPT-3,6.7,300,2.199,Kaplan et al. 2020,1
GPT-3,13,300,2.12,Kaplan et al. 2020,1
GPT-3,175,300,2.011,Kaplan et al. 2020,1
Chinchilla,0.5,5,3.015,Hoffmann et al. 2022,1
Chinchilla,1.0,20,2.628,Hoffmann et al. 2022,1
Chinchilla,1.4,20,2.517,Hoffmann et al. 2022,1
Chinchilla,4,80,2.227,Hoffmann et al. 2022,1
Chinchilla,7,140,2.106,Hoffmann et al. 2022,1
Chinchilla,13,260,1.989,Hoffmann et al. 2022,1
Chinchilla,20,400,1.917,Hoffmann et al. 2022,1
Chinchilla,40,800,1.818,Hoffmann et al. 2022,1
Chinchilla,70,1400,1.71,Hoffmann et al. 2022,1
Gopher,0.2,300,2.819,Hoffmann et al. 2022,1
Gopher,0.5,300,2.679,Hoffmann et al. 2022,1
Gopher,1.4,300,2.484,Hoffmann et al. 2022,1
Gopher,2.8,300,2.381,Hoffmann et al. 2022,1
Gopher,7.6,300,2.312,Hoffmann et al. 2022,1
Gopher,40,300,2.169,Hoffmann et al. 2022,1
Gopher,280,300,2.057,Hoffmann et al. 2022,1
LLaMA,7,1000,1.943,Touvron et al. 2023,1
LLaMA,13,1000,1.835,Touvron et al. 2023,1
LLaMA,33,1000,1.778,Touvron et al. 2023,1
LLaMA,65,1400,1.685,Touvron et al. 2023,1
LLaMA-2,7,2000,1.849,Touvron et al. 2023,1
LLaMA-2,13,2000,1.75,Touvron et al. 2023,1
LLaMA-2,70,2000,1.617,Touvron et al. 2023,1
PaLM,8,780,1.901,Chowdhery et al. 2022,1
PaLM,62,780,1.653,Chowdhery et al. 2022,1
PaLM,540,780,1.473,Chowdhery et al. 2022,1
OPT,1.3,180,2.723,Zhang et al. 2022,1
OPT,6.7,180,2.417,Zhang et al. 2022,1
OPT,30,180,2.256,Zhang et al. 2022,1
OPT,66,180,2.179,Zhang et al. 2022,1
OPT,175,180,2.042,Zhang et al. 2022,1
BLOOM,0.56,366,2.628,Scao et al. 2022,1
BLOOM,1.7,366,2.456,Scao et al. 2022,1
BLOOM,7.1,366,2.267,Scao et al. 2022,1
BLOOM,176,366,1.846,Scao et al. 2022,1
