model_repo,model_size,step,branch,commit
EleutherAI/pythia-14m,14m,142000,step142000,cca39af689139d049aedf10206e932638f19679a
EleutherAI/pythia-14m,14m,141000,step141000,37d03d13381a010ede721945b18170e2f61b0f95
EleutherAI/pythia-14m,14m,140000,step140000,a5891531bf82c6a04eeea84c2bb5b69da15c7c4b
EleutherAI/pythia-14m,14m,139000,step139000,d1fd0ae9d7cd2a98fb8e792c993e601cf17f910b
EleutherAI/pythia-14m,14m,138000,step138000,cb0d666c9b2ac495ce27b75d8f79216572ecc788
EleutherAI/pythia-14m,14m,137000,step137000,dde81509c53fa3f79f35d2098c7b6f55d2710544
EleutherAI/pythia-14m,14m,136000,step136000,fbfc8ed1f8fa4d97e5fbe1b08f94586d8d25cd9d
EleutherAI/pythia-14m,14m,135000,step135000,5b8abc4d3473fbada5aa627bc0b45cc60823d91d
EleutherAI/pythia-14m,14m,134000,step134000,eb7ddf920a5f9e977f0a791fb087005d45d17911
EleutherAI/pythia-14m,14m,133000,step133000,04930e11ddc5bea51ac8f14f37a148f8b9088283
EleutherAI/pythia-14m,14m,132000,step132000,e4d1cf1063b45ba20ecd11e7d3017529a215d3df
EleutherAI/pythia-14m,14m,131000,step131000,677beb266414c7ad23c1411a7ce546e7bc68b6ee
EleutherAI/pythia-14m,14m,130000,step130000,e910fdf6548f7d8773a3147451e17bd0d0c7b309
EleutherAI/pythia-14m,14m,129000,step129000,096a261e07cc28aee3e3d638190e527272360698
EleutherAI/pythia-14m,14m,128000,step128000,db784253a58eeaae4bad0ed27b889da2c542796a
EleutherAI/pythia-14m,14m,127000,step127000,29116458d64bfdd75728480caf7fec21c6bd2193
EleutherAI/pythia-14m,14m,126000,step126000,84c001b42f70bc12affed756fa39048fc869b0a2
EleutherAI/pythia-14m,14m,125000,step125000,71140a43d3d0f7ecd28901fd64eb6d52ce465984
EleutherAI/pythia-14m,14m,124000,step124000,5fda7afc77196593259a35a50750a577d40282e0
EleutherAI/pythia-14m,14m,123000,step123000,36555cc4e4d36b98417cbf02d8e022816d8113bb
EleutherAI/pythia-14m,14m,122000,step122000,19f0d2a23afb4907cdf9f9ada905b31c7c0f9e7f
EleutherAI/pythia-14m,14m,121000,step121000,9ba66414d3c6b14692ff5b1d9a32b1b0ec1ceba8
EleutherAI/pythia-14m,14m,120000,step120000,58e13afbca5078a60dbc2ffe5311e5e0fb3f25ba
EleutherAI/pythia-14m,14m,119000,step119000,bf1c52ede64d0685ca9fc942f45fc2082a6a99b2
