run_id,N_params_B,D_tokens_B,C_FLOPs_1e21,steps,batch_tokens_M,lr,wd,precision,gpu_days,step_time_ms,train_loss,val_loss,ppl,grad_norm_avg
8,0.070542,0.134,0.0001,64,2.09,0.000318,0.088,bf16,0.0,100.4,4.4729,4.7388,114.3,1.085
9,0.070542,0.268,0.0001,128,2.09,0.000318,0.098,fp16,0.0,100.4,4.1411,4.3541,77.8,0.582
10,0.070542,0.537,0.0002,256,2.1,0.000318,0.053,bf16,0.0,100.4,3.9212,4.0384,56.74,0.522
11,0.070542,1.074,0.0005,512,2.1,0.000318,0.074,fp16,0.0,100.4,3.5323,3.7776,43.71,1.073
12,0.070542,2.097,0.0009,1000,2.1,0.000318,0.082,bf16,0.0,100.4,3.377,3.5698,35.51,8.652
13,0.070542,4.194,0.0018,2000,2.1,0.000318,0.069,fp16,0.1,100.4,3.3164,3.3922,29.73,0.914
14,0.070542,6.291,0.0027,3000,2.1,0.000318,0.052,bf16,0.1,100.4,3.1983,3.3024,27.18,1.378
15,0.070542,8.389,0.0036,4000,2.1,0.000318,0.038,bf16,0.1,100.4,3.071,3.2452,25.67,0.753
16,0.070542,10.486,0.0044,5000,2.1,0.000318,0.095,fp16,0.2,100.4,2.999,3.2041,24.63,0.999
17,0.070542,12.583,0.0053,6000,2.1,0.000318,0.047,bf16,0.2,100.4,3.0927,3.172,23.86,0.682
18,0.070542,14.68,0.0062,7000,2.1,0.000318,0.085,fp16,0.2,100.4,3.0447,3.1466,23.26,0.71
19,0.070542,16.777,0.0071,8000,2.1,0.000318,0.096,fp16,0.3,100.4,3.0169,3.1248,22.76,1.22
20,0.070542,18.874,0.008,9000,2.1,0.000318,0.087,fp16,0.3,100.4,2.9922,3.1064,22.34,0.785
21,0.070542,20.972,0.0089,10000,2.1,0.000318,0.096,fp16,0.3,100.4,2.9376,3.0913,22.01,1.36
22,0.070542,23.069,0.0098,11000,2.1,0.000318,0.083,fp16,0.4,100.4,2.9798,3.077,21.69,0.94
23,0.070542,25.166,0.0107,12000,2.1,0.000318,0.068,bf16,0.4,100.4,2.8241,3.0646,21.43,0.962
24,0.070542,27.263,0.0115,13000,2.1,0.000318,0.092,bf16,0.4,100.4,2.9827,3.0531,21.18,1.208
25,0.070542,29.36,0.0124,14000,2.1,0.000318,0.057,bf16,0.5,100.4,2.9136,3.0432,20.97,0.973
26,0.070542,31.457,0.0133,15000,2.1,0.000318,0.059,bf16,0.5,100.4,2.8271,3.0342,20.78,1.154
27,0.070542,33.554,0.0142,16000,2.1,0.000318,0.078,bf16,0.5,100.4,2.8712,3.0254,20.6,1.101
28,0.070542,35.652,0.0151,17000,2.1,0.000318,0.091,bf16,0.6,100.4,2.8056,3.018,20.45,1.337
29,0.070542,37.749,0.016,18000,2.1,0.000318,0.047,bf16,0.6,100.4,2.8389,3.0105,20.3,0.823
30,0.070542,39.846,0.0169,19000,2.1,0.000318,0.1,bf16,0.6,100.4,2.8154,3.0039,20.16,0.708
31,0.070542,41.943,0.0178,20000,2.1,0.000318,0.057,fp16,0.7,100.4,2.901,2.9975,20.04,1.733
32,0.070542,44.04,0.0186,21000,2.1,0.000318,0.08,fp16,0.7,100.4,2.7855,2.9921,19.93,0.784
33,0.070542,46.137,0.0195,22000,2.1,0.000318,0.029,fp16,0.7,100.4,2.8755,2.9861,19.81,1.069
34,0.070542,48.234,0.0204,23000,2.1,0.000318,0.037,bf16,0.8,100.4,2.8621,2.9807,19.7,0.692
35,0.070542,50.332,0.0213,24000,2.1,0.000318,0.015,bf16,0.8,100.4,2.867,2.9761,19.61,0.646
36,0.070542,52.429,0.0222,25000,2.1,0.000318,0.035,bf16,0.8,100.4,2.7852,2.971,19.51,0.879
37,0.070542,54.526,0.0231,26000,2.1,0.000318,0.047,bf16,0.9,100.4,2.8032,2.9668,19.43,1.253
38,0.070542,56.623,0.024,27000,2.1,0.000318,0.042,bf16,0.9,100.4,2.8331,2.9621,19.34,1.23
39,0.070542,58.72,0.0249,28000,2.1,0.000318,0.038,bf16,0.9,100.4,2.827,2.9582,19.26,0.889
40,0.070542,60.817,0.0257,29000,2.1,0.000318,0.044,fp16,1.0,100.4,2.839,2.9546,19.19,1.429
