family,N_params_B,D_tokens_B,val_loss,is_converged
Phi,1.3,405,2.5317,1
LLaMA,65.0,11349,1.8828,1
LLaMA,13.0,2229,2.0796,1
LLaMA,33.0,4583,1.9757,1
Qwen2,20.0,3000,2.0858,1
Qwen2,72.0,33739,1.8505,1
Pythia,1.4,129,2.6238,1
Pythia,12.0,300,2.1077,1
Pythia,2.8,300,2.4276,1
Pythia,0.16,13,3.725,1
Phi,2.7,1084,2.32,1
LLaMA,7.0,1229,2.187,1
LLaMA,3.5,2200,2.3258,1
Pythia,0.41,41,3.1611,1
Pythia,6.9,300,2.3285,1
Qwen2,0.5,361,2.8399,1
Phi,14.0,4790,2.0512,1
Phi,4.2,350,2.3867,1
Phi,7.0,4448,2.1464,1
Qwen2,7.0,2221,2.2237,1
Gemma,2.0,1049,2.394,1
Gemma,7.0,4109,2.0973,1
Pythia,0.07,6,4.3629,1
Qwen2,1.5,680,2.5398,1
Pythia,1.0,111,2.7965,1
Phi,18.0,2800,2.0743,1
GPT2,0.12,40,3.0,1
GPT2,0.35,40,2.85,1
GPT2,0.77,40,2.75,1
GPT2,1.5,40,2.7,1
OPT,0.13,300,3.11,1
OPT,0.35,300,2.88,1
OPT,1.3,300,2.65,1
OPT,2.7,300,2.5,1
OPT,6.7,300,2.33,1
OPT,13.0,300,2.22,1
OPT,30.0,300,2.1,1
BLOOM,0.56,350,2.75,1
BLOOM,1.7,350,2.55,1
BLOOM,3.0,350,2.45,1
BLOOM,7.1,350,2.3,1
Falcon,7.0,1500,2.25,1
Falcon,40.0,1500,2.05,1
Mistral,7.0,8000,2.1,1
Yi,6.0,3000,2.1,1
Yi,34.0,3000,1.9,1
LLaMA,70.0,15000,1.71,1
Qwen2,32.0,18000,1.95,1
Qwen2,72.0,18000,1.85,1
Gemma,9.0,8000,2.1,1
Cerebras-GPT,0.11,2050,2.95,1
Cerebras-GPT,0.26,2050,2.7,1
Cerebras-GPT,0.59,2050,2.5,1
Cerebras-GPT,1.3,2050,2.35,1
Cerebras-GPT,2.7,2050,2.22,1
Cerebras-GPT,6.7,2050,2.08,1
Cerebras-GPT,13.0,2050,2.0,1
