experiment_id,N_params_B,D_tokens_B,Q_score,val_loss
N0.07_D0010_Q0.1,0.07,10,0.1,3.7216
N0.07_D0010_Q0.2,0.07,10,0.2,3.6004
N0.07_D0010_Q0.3,0.07,10,0.3,3.6507
N0.07_D0010_Q0.4,0.07,10,0.4,3.5704
N0.07_D0010_Q0.6,0.07,10,0.6,3.5458
N0.07_D0010_Q0.8,0.07,10,0.8,3.3530
N0.07_D0010_Q0.9,0.07,10,0.9,3.2211
N0.07_D0010_Q1.0,0.07,10,1.0,3.1125
N0.07_D0050_Q0.1,0.07,50,0.1,3.5105
N0.07_D0050_Q0.2,0.07,50,0.2,3.4001
N0.07_D0050_Q0.3,0.07,50,0.3,3.3596
N0.07_D0050_Q0.4,0.07,50,0.4,3.2727
N0.07_D0050_Q0.6,0.07,50,0.6,3.0798
N0.07_D0050_Q0.8,0.07,50,0.8,3.1431
N0.07_D0050_Q0.9,0.07,50,0.9,3.0628
N0.07_D0050_Q1.0,0.07,50,1.0,2.9922
N0.07_D0150_Q0.1,0.07,150,0.1,3.3840
N0.07_D0150_Q0.2,0.07,150,0.2,3.2214
N0.07_D0150_Q0.3,0.07,150,0.3,3.3529
N0.07_D0150_Q0.4,0.07,150,0.4,3.1687
N0.07_D0150_Q0.6,0.07,150,0.6,3.1017
N0.07_D0150_Q0.8,0.07,150,0.8,3.0179
N0.07_D0150_Q0.9,0.07,150,0.9,2.7658
N0.07_D0150_Q1.0,0.07,150,1.0,2.9653
N0.07_D0300_Q0.1,0.07,300,0.1,3.2863
N0.07_D0300_Q0.2,0.07,300,0.2,3.1355
N0.07_D0300_Q0.3,0.07,300,0.3,3.1588
N0.07_D0300_Q0.4,0.07,300,0.4,3.2809
N0.07_D0300_Q0.6,0.07,300,0.6,3.0098
N0.07_D0300_Q0.8,0.07,300,0.8,2.8391
N0.07_D0300_Q0.9,0.07,300,0.9,2.8580
N0.07_D0300_Q1.0,0.07,300,1.0,2.8370
N0.07_D0600_Q0.1,0.07,600,0.1,3.1971
N0.07_D0600_Q0.2,0.07,600,0.2,3.1469
N0.07_D0600_Q0.3,0.07,600,0.3,3.1946
N0.07_D0600_Q0.4,0.07,600,0.4,3.1242
N0.07_D0600_Q0.6,0.07,600,0.6,2.9753
N0.07_D0600_Q0.8,0.07,600,0.8,2.8695
N0.07_D0600_Q0.9,0.07,600,0.9,2.8303
N0.07_D0600_Q1.0,0.07,600,1.0,2.7470
N0.16_D0010_Q0.1,0.16,10,0.1,3.4765
N0.16_D0010_Q0.2,0.16,10,0.2,3.4324
N0.16_D0010_Q0.3,0.16,10,0.3,3.4600
N0.16_D0010_Q0.4,0.16,10,0.4,3.2484
N0.16_D0010_Q0.6,0.16,10,0.6,3.2690
N0.16_D0010_Q0.8,0.16,10,0.8,3.2072
N0.16_D0010_Q0.9,0.16,10,0.9,3.0024
N0.16_D0010_Q1.0,0.16,10,1.0,3.0121
N0.16_D0050_Q0.1,0.16,50,0.1,3.2175
N0.16_D0050_Q0.2,0.16,50,0.2,3.1458
N0.16_D0050_Q0.3,0.16,50,0.3,3.0796
N0.16_D0050_Q0.4,0.16,50,0.4,3.0020
N0.16_D0050_Q0.6,0.16,50,0.6,2.8375
N0.16_D0050_Q0.8,0.16,50,0.8,2.8940
N0.16_D0050_Q0.9,0.16,50,0.9,2.6326
N0.16_D0050_Q1.0,0.16,50,1.0,2.7930
N0.16_D0150_Q0.1,0.16,150,0.1,3.1249
N0.16_D0150_Q0.2,0.16,150,0.2,2.9746
N0.16_D0150_Q0.3,0.16,150,0.3,3.0125
N0.16_D0150_Q0.4,0.16,150,0.4,2.9738
N0.16_D0150_Q0.6,0.16,150,0.6,2.8802
N0.16_D0150_Q0.8,0.16,150,0.8,2.7250
N0.16_D0150_Q0.9,0.16,150,0.9,2.7204
N0.16_D0150_Q1.0,0.16,150,1.0,2.6657
N0.16_D0300_Q0.1,0.16,300,0.1,2.9719
N0.16_D0300_Q0.2,0.16,300,0.2,2.9407
N0.16_D0300_Q0.3,0.16,300,0.3,2.9560
N0.16_D0300_Q0.4,0.16,300,0.4,2.8482
N0.16_D0300_Q0.6,0.16,300,0.6,2.8081
N0.16_D0300_Q0.8,0.16,300,0.8,2.6978
N0.16_D0300_Q0.9,0.16,300,0.9,2.6348
N0.16_D0300_Q1.0,0.16,300,1.0,2.6071
N0.16_D0600_Q0.1,0.16,600,0.1,2.9800
N0.16_D0600_Q0.2,0.16,600,0.2,2.9212
N0.16_D0600_Q0.3,0.16,600,0.3,2.8818
N0.16_D0600_Q0.4,0.16,600,0.4,2.8627
N0.16_D0600_Q0.6,0.16,600,0.6,2.7288
N0.16_D0600_Q0.8,0.16,600,0.8,2.6580
N0.16_D0600_Q0.9,0.16,600,0.9,2.5923
N0.16_D0600_Q1.0,0.16,600,1.0,2.5781
N0.41_D0010_Q0.1,0.41,10,0.1,3.2280
N0.41_D0010_Q0.2,0.41,10,0.2,3.2291
N0.41_D0010_Q0.3,0.41,10,0.3,3.2054
N0.41_D0010_Q0.4,0.41,10,0.4,3.0181
N0.41_D0010_Q0.6,0.41,10,0.6,3.0836
N0.41_D0010_Q0.8,0.41,10,0.8,2.9795
N0.41_D0010_Q0.9,0.41,10,0.9,2.8227
N0.41_D0010_Q1.0,0.41,10,1.0,2.9558
N0.41_D0050_Q0.1,0.41,50,0.1,2.9760
N0.41_D0050_Q0.2,0.41,50,0.2,2.9489
N0.41_D0050_Q0.3,0.41,50,0.3,2.9676
N0.41_D0050_Q0.4,0.41,50,0.4,2.8049
