experiment_id,N_params_B,D_tokens_B,Q_score,val_loss,data_type
N0.07_D0005_Q0.05,0.07,5,0.05,1.0401,calibrated
N0.07_D0005_Q0.1,0.07,5,0.1,1.1624,calibrated
N0.07_D0005_Q0.2,0.07,5,0.2,1.4286,calibrated
N0.07_D0005_Q0.3,0.07,5,0.3,1.6112,calibrated
N0.07_D0005_Q0.4,0.07,5,0.4,1.8958,calibrated
N0.07_D0005_Q0.5,0.07,5,0.5,2.1434,calibrated
N0.07_D0005_Q0.6,0.07,5,0.6,2.4434,calibrated
N0.07_D0005_Q0.7,0.07,5,0.7,2.6519,calibrated
N0.07_D0005_Q0.8,0.07,5,0.8,2.8801,calibrated
N0.07_D0005_Q0.9,0.07,5,0.9,3.0925,calibrated
N0.07_D0005_Q0.95,0.07,5,0.95,3.2372,calibrated
N0.07_D0005_Q1.0,0.07,5,1.0,3.3659,calibrated
N0.07_D0010_Q0.05,0.07,10,0.05,0.9918,calibrated
N0.07_D0010_Q0.5,0.07,10,0.5,2.0372,calibrated
N0.07_D0010_Q0.7,0.07,10,0.7,2.5538,calibrated
N0.07_D0010_Q0.95,0.07,10,0.95,3.2059,calibrated
N0.07_D0020_Q0.05,0.07,20,0.05,0.9701,calibrated
N0.07_D0020_Q0.1,0.07,20,0.1,1.0960,calibrated
N0.07_D0020_Q0.2,0.07,20,0.2,1.2839,calibrated
N0.07_D0020_Q0.3,0.07,20,0.3,1.4876,calibrated
N0.07_D0020_Q0.4,0.07,20,0.4,1.7688,calibrated
N0.07_D0020_Q0.5,0.07,20,0.5,1.9631,calibrated
N0.07_D0020_Q0.6,0.07,20,0.6,2.1816,calibrated
N0.07_D0020_Q0.7,0.07,20,0.7,2.4162,calibrated
N0.07_D0020_Q0.8,0.07,20,0.8,2.6428,calibrated
N0.07_D0020_Q0.9,0.07,20,0.9,2.9260,calibrated
N0.07_D0020_Q0.95,0.07,20,0.95,2.9840,calibrated
N0.07_D0020_Q1.0,0.07,20,1.0,3.1277,calibrated
N0.07_D0050_Q0.05,0.07,50,0.05,0.9392,calibrated
N0.07_D0050_Q0.5,0.07,50,0.5,1.8871,calibrated
N0.07_D0050_Q0.7,0.07,50,0.7,2.2853,calibrated
N0.07_D0050_Q0.95,0.07,50,0.95,2.8636,calibrated
N0.07_D0100_Q0.05,0.07,100,0.05,0.8910,calibrated
N0.07_D0100_Q0.1,0.07,100,0.1,1.0093,calibrated
N0.07_D0100_Q0.2,0.07,100,0.2,1.2339,calibrated
N0.07_D0100_Q0.3,0.07,100,0.3,1.4034,calibrated
N0.07_D0100_Q0.4,0.07,100,0.4,1.6433,calibrated
N0.07_D0100_Q0.5,0.07,100,0.5,1.8327,calibrated
N0.07_D0100_Q0.6,0.07,100,0.6,2.1040,calibrated
N0.07_D0100_Q0.7,0.07,100,0.7,2.3189,calibrated
N0.07_D0100_Q0.8,0.07,100,0.8,2.4893,calibrated
N0.07_D0100_Q0.9,0.07,100,0.9,2.7270,calibrated
N0.07_D0100_Q0.95,0.07,100,0.95,2.7802,calibrated
N0.07_D0100_Q1.0,0.07,100,1.0,2.8644,calibrated
N0.07_D0150_Q0.05,0.07,150,0.05,0.8911,calibrated
N0.07_D0150_Q0.5,0.07,150,0.5,1.7749,calibrated
N0.07_D0150_Q0.7,0.07,150,0.7,2.3031,calibrated
N0.07_D0150_Q0.95,0.07,150,0.95,2.7592,calibrated
N0.07_D0300_Q0.05,0.07,300,0.05,0.8812,calibrated
