family,N_params_B,D_tokens_B,val_loss,is_converged
Ling-flash-base-2.0-20T,100.0,20000.0,1.8412,1
FaXin,100.0,3670.0,1.8882,1
PLaMo-100B,100.0,2000.0,1.9112,1
Yi-Large,100.0,3000.0,1.8954,1
Hunyuan,100.0,2000.0,1.9112,1
Luca 2.0,100.0,2000.0,1.9112,1
xTrimoPGLM -100B,100.0,275.0,2.0206,1
YaLM,100.0,300.0,2.0144,1
FLM-101B,101.0,311.5,2.0116,1
"Solar Open 100B
",102.0,19700.0,1.841,1
Odyssey 102B,102.0,179.7,2.0526,1
Yuan 2.0,102.6,289.1,2.0164,1
InternLM,104.0,1600.0,1.9197,1
Ring-flash-linear-2.0,104.2,1000.0,1.9417,1
GLM-4.5-Air,106.0,2603.8,1.8993,1
GLM-4.5V,108.0,2013.3,1.909,1
Llama 4 Scout,109.0,30000.0,1.8308,1
Telechat2-115B,115.0,10000.0,1.8543,1
gpt-oss-120b,116.8,7047.3,1.8636,1
Galactica,120.0,106.0,2.0947,1
Mistral Large 2,123.0,28861.8,1.8286,1
Step-Audio-Chat 130B,130.0,1668.0,1.9126,1
Step-1,130.0,800.0,1.948,1
Step-Omni,130.0,2468.0,1.8965,1
BlueLM 130B,130.0,1000.0,1.9364,1
GLM-130B,130.0,152.0,2.0607,1
DBRX,132.0,12000.0,1.8464,1
Pangu Ultra,135.0,13200.0,1.8436,1
MEB,135.0,500.0,1.9739,1
BIG-G 137B,137.0,681.2,1.9555,1
LaMDA,137.0,2080.0,1.9021,1
FLAN 137B,137.0,2490.0,1.8949,1
Mixtral 8x22B,141.0,2766.0,1.8903,1
dots.llm1,142.0,11328.0,1.8462,1
GPT-3 175B (davinci),174.6,238.0,2.0185,1
MegaScale (175B),175.0,300.0,2.0016,1
BlueLM 175B,175.0,1000.0,1.9299,1
OPT-IML (175B),175.0,2.0,2.77,1
BlenderBot 3,175.0,1.3,2.9007,1
OPT-175B,175.0,180.0,2.0402,1
BLUUMI,176.0,38.0,2.1978,1
BLOOMZ-176B,176.0,20.0,2.2857,1
XuanYuan 2.0,176.2,366.0,1.9879,1
BLOOM-176B,176.2,379.0,1.9856,1
Jurassic-1-Jumbo,178.0,300.0,2.0013,1
Falcon-180B,180.0,3500.0,1.8765,1
SenseChat,180.0,3601.9,1.8754,1
Mi:dm 200B,200.0,1000.0,1.9272,1
Amazon Titan,200.0,4000.0,1.8697,1
HyperCLOVA 204B,204.0,560.0,1.9584,1
PanGu-α,207.0,41.2,2.1845,1
Qwen3-235B-A22B-Thinking (Jul 2025),235.0,36000.0,1.8108,1
Qwen3-235B-A22B (Jul 2025),235.0,36000.0,1.8108,1
Qwen3-235B-A22B,235.0,36000.0,1.8108,1
K-EXAONE,236.0,11000.0,1.8366,1
DeepSeek-V2.5,236.0,1263.6,1.9127,1
DeepSeek-Coder-V2 236B,236.0,3191.0,1.8744,1
DeepSeek-V2 (MoE-236B),236.0,8100.0,1.8448,1
Yuan 1.0,245.7,180.0,2.0335,1
Aramco Metabrain AI,250.0,7000.0,1.8478,1
Llama Nemotron Ultra 253B,253.0,603.0,1.95,1
ERNIE 3.0 Titan,260.0,668.0,1.9436,1
ST-MoE,269.0,1500.0,1.9024,1
Gopher (280B),280.0,300.0,1.9926,1
"Ling-Plus (""Bailing"")",290.0,9000.0,1.8381,1
ERNIE-4.5-300B-A47B,300.0,1566.7,1.8986,1
EXAONE 1.0,300.0,942.0,1.9227,1
SB-LM,300.0,1800.0,1.8926,1
MiMo-V2-Flash,309.0,1310.7,1.9062,1
Grok-1,314.0,6200.0,1.8474,1
AMIE (Articulate Medical Intelligence Explorer),340.0,3598.0,1.8637,1
Nemotron-4 340B,340.0,9000.0,1.8354,1
PaLM 2,340.0,3600.0,1.8637,1
GLM-4.5,355.0,23100.0,1.8123,1
GLM-4.6,357.0,23000.0,1.8123,1
GLM-4.7,358.0,2057.7,1.884,1
Hunyuan-Large,389.0,7000.0,1.8403,1
Arcee Trinity Large,398.0,555.3,1.9471,1
Llama 4 Maverick,400.0,30000.0,1.8051,1
Hermes 3 405B,405.0,0.3,3.4691,1
Llama 3.1-405B,405.0,15600.0,1.8188,1
MiniMax-M1-80k,456.0,7500.0,1.8359,1
MiniMax-M1-40k,456.0,7500.0,1.8359,1
MiniMax-Text-01,456.0,7200.0,1.837,1
Qwen3-Coder-480B-A35B,480.0,7500.0,1.8351,1
Arctic,480.0,133.1,2.0479,1
Doubao-pro,500.0,8350.0,1.8315,1
Microsoft MAI-1 (2024 unreleased),500.0,5.3,2.5084,1
MegaScale (530B),530.0,300.0,1.9824,1
MegaScale (Production),530.0,1226.4,1.9008,1
Megatron-Turing NLG 530B,530.0,270.0,1.9899,1
U-PaLM (540B),540.0,1.3,2.8812,1
Flan-PaLM 540B,540.0,1.4,2.8576,1
Minerva (540B),540.4,26.0,2.2285,1
PaLM (540B),540.4,780.0,1.9234,1
LongCat-Flash,560.0,23000.0,1.8055,1
Hunyuan-TurboS,560.0,16000.0,1.8134,1
SenseChat 5.0,600.0,1835.0,1.8811,1
GShard (600B),600.0,1000.0,1.909,1
DeepSeek-V3.2-Exp,671.0,943.7,1.9105,1
DeepSeek-V3.1-Terminus,671.0,839.0,1.9165,1
DeepSeek-V3.1,671.0,840.0,1.9165,1
DeepSeek-R1 (May 2025),671.0,14800.0,1.8128,1
DeepSeek-V3 (Mar 2025),671.0,14800.0,1.8128,1
DeepSeek-R1,671.0,14800.0,1.8128,1
DeepSeek-V3,671.0,14800.0,1.8128,1
Pangu Ultra MoE,718.0,717.0,1.9241,1
GLM-5,744.0,1532.3,1.886,1
Kimi K2 Thinking,1000.0,700.0,1.9214,1
Ling-1T,1000.0,20000.0,1.8011,1
Qwen3-Max,1000.0,36000.0,1.7894,1
Kimi K2,1000.0,15500.0,1.8068,1
DLRM-2021,1000.0,0.1,4.0812,1
M6-T,1002.7,111.8,2.054,1
Kimi K2.5,1040.0,929.5,1.9059,1
PanGu-Σ,1085.0,329.0,1.967,1
MoE-1.1T,1100.0,112.0,2.0528,1
GLaM,1200.0,600.0,1.9281,1
QMoE: compressed SwitchTransformer,1571.0,576.0,1.9277,1
Switch,1571.0,86.4,2.074,1
Wu Dao 2.0,1750.0,4900.0,1.8325,1
GPT-4 (Mar 2023),1800.0,5416.7,1.8291,1
GPT-4 (Jun 2023),1800.0,5416.7,1.8291,1
Llama 4 Behemoth (preview),2000.0,30000.0,1.7857,1
Grok 4,3000.0,27777.8,1.7838,1
Grok 3,3000.0,19444.4,1.7912,1
DLRM-2022,3000.0,0.1,4.0707,1
M6-10T,10000.0,0.1,4.0628,1
