N_params_B,D_tokens_B,val_loss,step,interpolated
0.162405,0.134,4.5229,0,1
0.162405,0.136,4.5164,0,1
0.162405,0.138,4.5062,0,1
0.162405,0.140,4.4988,0,1
0.162405,0.143,4.4923,0,1
0.162405,0.145,4.4840,0,1
0.162405,0.147,4.4782,0,1
0.162405,0.149,4.4632,0,1
0.162405,0.152,4.4514,0,1
0.162405,0.154,4.4474,0,1
0.162405,0.156,4.4384,0,1
0.162405,0.159,4.4292,0,1
0.162405,0.161,4.4206,0,1
0.162405,0.164,4.4095,0,1
0.162405,0.166,4.4024,0,1
0.162405,0.169,4.3933,0,1
0.162405,0.172,4.3852,0,1
0.162405,0.174,4.3765,0,1
0.162405,0.177,4.3742,0,1
0.162405,0.180,4.3634,0,1
0.162405,0.183,4.3476,0,1
0.162405,0.185,4.3445,0,1
0.162405,0.188,4.3334,0,1
0.162405,0.191,4.3259,0,1
0.162405,0.194,4.3159,0,1
0.162405,0.197,4.3091,0,1
0.162405,0.200,4.3032,0,1
0.162405,0.203,4.2922,0,1
0.162405,0.207,4.2829,0,1
0.162405,0.210,4.2773,0,1
0.162405,0.213,4.2638,0,1
0.162405,0.216,4.2586,0,1
0.162405,0.220,4.2514,0,1
0.162405,0.223,4.2414,0,1
0.162405,0.227,4.2356,0,1
0.162405,0.230,4.2222,0,1
0.162405,0.234,4.2138,0,1
0.162405,0.237,4.2039,0,1
0.162405,0.241,4.1991,0,1
0.162405,0.245,4.1906,0,1
0.162405,0.249,4.1827,0,1
0.162405,0.253,4.1689,0,1
0.162405,0.256,4.1651,0,1
0.162405,0.260,4.1532,0,1
0.162405,0.265,4.1431,0,1
0.162405,0.269,4.1384,0,1
0.162405,0.273,4.1310,0,1
0.162405,0.277,4.1242,0,1
0.162405,0.281,4.1194,0,1
0.162405,0.286,4.1098,0,1
0.162405,0.290,4.1022,0,1
0.162405,0.295,4.0959,0,1
0.162405,0.299,4.0897,0,1
0.162405,0.304,4.0836,0,1
0.162405,0.309,4.0731,0,1
0.162405,0.314,4.0669,0,1
0.162405,0.318,4.0600,0,1
0.162405,0.323,4.0551,0,1
0.162405,0.328,4.0439,0,1
0.162405,0.334,4.0381,0,1
